%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 69 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6752281683700518
%.kernel.kernels[0].lengthscales: [4.25344921e-01 4.42708131e-01 7.09515554e-01 1.54751442e+00 3.10324338e-01 6.87688874e-01 1.48109591e+00 7.29510530e-01 3.60727544e-01 5.83248344e-01 7.78513555e-01 7.26204136e+02]
%.kernel.kernels[1].variance: 0.06939917017675531
%.likelihood.variance: 0.8941925877482464
%loglikelihood: -6729.976710782661
%RMSE:1.647
%Pearson_correlation_coefficient:0.691,P-value:0.000
%Spearman_correlation_coefficient:0.695,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion
1e5a,-0.6063,1.5296,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418,-0.4647,-1.9245,-1.276,-2.0683,2.1055,0.5084,-1.1547
1e66,0.7764,1.3952,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103,0.177,0.1939,-1.276,-1.353,0.5983,-0.6649,-0.7236
1ela,0.6594,1.3231,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784,-0.3325,0.0866,-0.1965,0.8574,-0.2156,0.1282,-0.241
1elb,0.3829,1.6507,0.6965,0.0673,0.4087,0.7071,1.185,1.1935,-0.3325,0.5157,-0.7219,0.8401,-0.2156,0.1282,0.5032
1f4e,-1.8719,1.1423,-3.4935,-0.8778,-0.6455,-0.1681,0.1697,-0.0893,-0.3325,-1.4687,-0.8707,0.2993,0.7038,0.975,-0.9518
1f4f,-0.0683,1.6057,-1.8335,0.2608,-0.0808,-1.379,0.9549,-0.1408,-0.3325,-0.1815,-0.9643,0.4433,-0.4944,0.9943,0.2971
1f4g,0.5229,1.6395,0.0265,0.9626,0.2873,-1.5311,0.9549,-0.0712,-0.3325,0.9179,-0.2105,0.6771,-0.8938,0.9943,0.2611
1f5k,-2.1094,0.0776,-2.7135,-1.364,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.0933,-1.276,-2.0498,0.7716,-1.7141,-0.7557
1fcx,1.1806,1.4842,0.7365,0.8816,0.4517,1.291,2.0289,-0.4443,1.3075,-0.2888,-0.7195,-0.3302,-0.2382,0.9359,-0.7429
1fcz,1.5543,1.2689,2.7665,0.666,0.149,1.1866,1.3158,-0.2541,1.1189,-0.4497,-0.6911,0.5617,-0.2608,0.9359,-0.7215
1fd0,1.0746,1.3029,1.9465,0.9646,0.4873,1.3356,1.8068,-0.4506,1.3075,-0.2352,-0.6376,-0.3276,-0.6074,0.9359,-0.6343
1fh7,-0.9990,0.6719,-1.2135,-0.6007,-0.7846,-1.6435,-1.214,-0.1141,-1.2618,0.2475,0.3119,-1.6578,1.5177,-0.7738,0.5454
1fh8,-1.0364,0.4844,0.4365,-0.8072,-0.8068,-1.3264,-1.214,-0.1349,-1.2618,-0.2888,0.6572,-1.6803,1.5478,-0.7738,-0.1363
1fh9,-1.3032,0.9296,-0.0235,-0.3638,-0.7775,-1.3927,-1.214,-0.1508,-1.2618,0.7302,1.0052,-1.642,0.9977,-0.54,1.2199
1fkb,1.2241,1.7241,3.2465,0.94,3.5241,1.7675,3.427,-0.0669,0.2216,0.4889,-0.0215,1.6996,-0.7807,0.0128,-0.3534
1fki,0.2836,1.6415,0.5465,-0.3495,0.4205,1.0845,0.7762,0.2869,-1.2618,-0.6642,-0.7504,0.8311,0.312,0.0621,-1.0413
1fkn,1.2355,1.5492,2.3465,2.3645,2.6978,-2.1261,1.5131,1.6678,-0.1436,2.0173,2.2767,1.3675,-2.8833,0.9943,1.6269
1flr,1.5769,0.6970,3.5465,0.0456,-0.0416,0.6748,0.0846,-0.4441,1.1203,0.0866,-0.4885,-0.0671,-0.9541,0.9357,-0.5581
1fo0,2.1299,1.7292,-0.8635,4.4805,3.3633,-2.1118,0.107,0.5969,0.9746,5.1547,3.7584,1.4624,-3.8705,0.9932,3.3779
1ftm,0.4003,0.2643,1.1565,-0.7727,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.0866,0.9219,-0.3065,0.5832,0.9258,0.1165
1fzk,1.1834,0.7751,1.9465,2.7587,3.3387,-1.3626,2.0474,-0.5839,0.7858,2.3391,0.8222,1.5354,-3.5916,0.9695,1.0548
1g7q,0.2835,1.6763,-0.3935,1.9569,2.132,-3.603,1.3538,0.4112,-1.2618,3.1972,2.1237,1.3675,-2.4763,0.9932,2.3799
1gni,0.2545,0.8387,1.6165,-0.4417,-0.2995,1.3341,0.456,2.9722,-0.8835,-1.3614,-1.1641,-0.5412,1.1635,0.9943,-1.0315
1gpk,0.1763,1.1344,-1.0835,-0.2393,-0.4012,0.2579,0.1701,-0.1158,0.5181,-0.8251,-0.7422,-0.0178,0.5456,-1.2405,-0.8402
1gz9,-0.8152,1.3770,-2.9435,0.0016,0.0633,-2.1533,-0.9148,-0.2456,-1.2618,0.2743,0.5875,-1.2949,1.3067,-0.712,0.0521
1h23,1.6739,1.6870,1.8965,1.4138,1.2569,0.9558,1.5405,-0.7908,0.8446,1.3201,-0.4226,0.0878,0.116,-1.2267,0.7109
1ha2,-0.4339,0.9238,-0.9135,-0.4143,-0.1425,0.9754,-0.144,-0.2792,1.1115,-1.3078,-1.0205,0.3198,-0.4115,0.5195,-1.0441
1hfs,3.1500,1.7084,2.2465,2.9854,2.3295,1.9564,3.2623,-0.7268,2.6524,2.7145,0.2489,1.4508,-2.2427,0.991,0.4441
1hi4,-1.7243,0.5264,-1.9635,-0.3868,-0.0838,-0.1346,-1.214,-0.4461,-0.8678,0.462,-0.1578,-0.4335,-0.0573,1.2352,1.0579
1hk4,0.5242,1.7365,-1.1435,-0.5408,-0.56,0.6353,4.0312,-0.2287,0.1139,-0.8251,-1.0453,-0.3627,2.0528,0.9258,-0.0739
1if7,1.8697,0.4889,4.0665,-0.5533,0.1935,0.5888,0.8621,-0.5231,0.8048,-1.0933,-0.8331,0.3742,-0.2306,-1.1682,-0.4053
1j16,-2.0850,0.0990,-2.6135,-1.3886,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-0.9056,-1.276,-2.0498,0.7716,-1.7141,-0.812
1j17,-0.1571,0.2403,-1.2335,0.3562,0.7813,0.984,1.3966,-0.9165,0.792,0.6497,-1.276,0.8833,-0.2608,-0.9536,-0.3931
1jaq,-0.3489,1.6955,-1.9735,-0.4569,-0.6385,-0.6727,-0.379,3.0645,-1.2618,-0.2888,0.2553,0.3908,0.1311,-0.9891,-0.0011
1jq9,-0.0410,1.5838,1.9965,1.2966,1.6616,-1.0833,1.1705,0.3381,0.7858,1.3738,0.7822,1.1709,-1.6549,0.9695,3.7658
1jqd,-1.3861,0.2688,-1.2935,0.2693,-0.1741,-1.2116,-0.9649,-0.5656,-0.8678,0.0598,0.1651,-0.3489,0.2592,0.9259,0.3044
1jqe,0.3617,1.5828,-0.0135,0.1364,0.4326,1.2668,1.8239,-0.2759,0.0284,0.4352,-1.276,-1.3764,0.2215,0.4121,-0.3946
1jys,-2.8649,0.4775,-2.9335,-1.4828,-1.2174,-0.1567,-1.214,-0.2214,-0.8678,-1.3078,-1.0738,-2.14,0.5154,-0.841,-0.7858
1k4g,-1.0977,0.8029,-0.6035,-0.5019,-0.4364,0.2031,-0.4432,-0.493,-0.0007,-1.0128,-0.1116,0.0707,-0.1101,-0.6561,-0.5741
1k9s,-1.5250,0.4040,0.0665,-0.1669,-0.5348,-0.9012,-1.214,-0.4605,-0.8868,0.1134,0.3632,-1.5672,0.3949,-0.712,-0.0979
1kv1,-0.2255,0.5653,-0.5135,-0.384,-0.4689,1.1003,-0.1584,-0.16,0.0175,-1.1469,-0.5399,0.2179,0.2441,-1.4663,-1.0405
1l2s,-0.5498,1.3020,-1.8635,-0.6633,-0.7205,0.3457,0.3394,-0.2581,0.1594,-0.7983,0.3934,0.045,0.5757,0.9258,-0.3444
1l83,-2.4767,0.3184,-3.0535,-1.7068,-1.5179,0.3829,-1.214,0.268,-0.1286,-2.005,-1.276,-2.2354,1.1711,-4.3218,-1.3051
1li3,-0.6856,0.3236,-2.2035,-1.4619,-1.4183,0.4935,-0.4223,0.2418,-0.3494,-1.8173,-0.9873,-2.1736,1.2389,0.5338,-1.1941
1li6,-3.5804,0.6289,-2.6535,-1.6971,-1.4327,0.2709,-0.4079,0.179,-0.5132,-1.8709,-1.1169,-2.2022,1.2163,-0.9973,-1.1066
1lol,-1.4773,0.6184,-0.0635,-0.3369,-0.216,-0.7474,-1.214,-0.4515,-0.4135,0.033,0.7586,-0.1188,0.0181,1.2311,0.2478
1loq,-0.7477,0.3312,-2.7535,-0.3557,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,0.1671,1.1847,-0.0502,0.4175,1.2311,0.6474
1m0n,0.3326,1.5431,-4.2335,0.595,-0.1164,0.8876,0.1986,0.1017,-0.5431,1.2397,1.4077,-0.0146,0.2366,1.2338,2.4885
1m0q,-0.9732,1.5454,-2.5635,0.2727,-0.3959,0.6028,-0.6155,0.7803,-0.5431,1.1056,1.7488,-0.4271,0.2366,1.2338,2.0859
1m2q,-0.5903,0.4164,-0.3535,-0.2589,-0.5198,0.5613,-0.4223,-0.2658,0.3182,-0.3156,-0.8468,0.1639,-0.5697,0.5243,-0.3997
1mq6,1.2574,1.0714,4.6965,0.646,0.4704,1.5376,-0.1884,-0.815,0.8252,0.9983,-0.8771,0.6231,-0.5396,0.3877,-0.4789
1n2v,-0.5096,0.4493,-2.3735,-0.8139,-0.7025,-0.0498,-0.9357,-0.2012,-0.4325,-0.5838,-0.036,-0.2157,0.3647,-1.3258,-0.3251
1nc1,2.2092,0.4093,-0.3335,-0.0227,-0.5308,-0.1381,-0.68,-0.4871,-0.683,0.4084,0.0954,-1.5243,0.7415,-0.7783,0.257
1ndw,-0.2019,1.0167,-1.2235,-0.3912,-0.5457,0.217,-0.4144,-0.1013,0.4243,0.1671,-0.231,-0.2115,0.1462,-0.7049,0.1788
1ndy,1.0227,0.6408,-0.2835,-0.0346,-0.1097,0.5723,0.0561,-0.4012,0.8021,0.033,-0.2238,-0.1424,-0.2457,-0.7049,-0.0957
1ndz,1.3119,1.4088,1.6565,1.5653,1.1632,0.7932,0.6191,-0.9225,1.1921,2.205,-0.261,0.6244,-1.5871,-0.7049,1.5982
1nfy,1.2876,0.5229,2.4365,0.3055,0.3935,0.1875,0.5837,-0.7882,0.7539,0.5157,-1.006,0.6076,-0.095,-1.3403,-0.6052
1nhu,-0.9342,1.3311,-0.7935,-0.5349,0.2219,1.4086,0.8698,-0.3043,2.0141,-1.2273,-0.74,0.7489,-0.5245,0.9693,-0.9114
1nja,-0.5613,0.5696,-0.1435,-0.4462,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.4765,1.0481,-0.0533,0.4476,1.2311,-0.045
1nje,-0.6960,0.3380,-2.6535,-0.4597,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.1011,1.5687,-0.0533,0.4476,1.2311,0.3659
1nny,1.2939,1.7025,1.2065,1.6728,2.208,0.34,1.6253,-0.8653,2.2817,1.7492,2.237,0.9921,-3.3354,0.935,1.0799
1nvq,1.5346,0.5543,1.7965,0.9592,1.2758,0.7317,-0.387,-0.8289,0.5969,0.1403,0.0168,0.7801,-0.826,-0.967,-0.4108
1nwl,-0.8870,1.2726,-4.0635,-0.3664,0.0813,-0.2099,-0.1007,-0.321,-0.52,0.0062,-0.6573,0.5303,-0.0046,0.9165,0.9903
1o0h,-0.9882,0.3769,-0.5335,-0.0312,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,1.3201,0.5408,-0.2803,0.1612,1.3418,1.3723
1o3f,-0.1982,0.4731,1.5065,-0.2617,0.1494,0.6865,0.3485,-0.6096,1.1785,0.5157,-0.6908,-1.5374,-0.9013,0.5195,1.9106
1o3p,0.7214,0.7993,0.2065,0.0082,0.0703,0.3936,1.2189,-0.7179,0.0453,0.6497,-0.6908,-1.6306,-0.517,0.4885,0.5608
1om1,-0.0949,1.0349,0.3165,-0.0498,-0.0829,0.2411,-0.4223,-0.3825,0.7466,-0.6106,-1.0398,0.1844,-0.5622,0.9903,-0.3454
1p1q,0.2362,0.3876,-1.5635,-0.78,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.3011,0.7523,-0.3065,0.5832,0.9258,0.9527
1pb9,-0.7710,1.5302,-2.8335,-1.5958,-1.4668,-0.8582,-1.214,0.0382,-1.2618,-0.5838,0.7123,-0.5896,1.2992,-1.2388,-0.1862
1pbq,-1.6376,1.0445,-0.1835,-0.7117,-0.982,0.3595,-0.6862,-0.0545,-0.2033,0.0598,-0.4103,-0.6693,0.6134,0.9174,-0.2493
1ppm,1.1058,1.5234,-0.6535,1.2085,1.2043,1.0091,0.4062,0.0875,0.9746,1.0788,0.7984,0.9816,-1.1726,0.0888,-0.0487
1pr5,-1.3978,0.6020,-2.5335,-0.5881,-0.6269,-0.5604,-0.9501,-0.4607,-0.683,-0.4765,0.1184,-1.5752,0.4476,-0.712,-0.2854
1pxo,0.1785,1.4326,2.2465,-0.1077,-0.3792,0.8315,-0.387,-0.592,0.3696,-0.7715,-0.7494,-0.5042,-0.5547,-0.9133,-0.2631
1pz5,0.2560,1.6900,-1.0535,2.0405,3.1383,-1.9879,1.2082,-0.0781,0.4284,2.3928,-0.188,1.4927,-3.2676,0.9932,1.2199
1q7a,-0.3323,0.7607,0.7365,-0.4483,-0.1916,0.9396,0.6477,-0.415,0.438,-1.1737,-1.2289,0.6228,-0.3663,0.5344,-0.6717
1q8t,-0.4024,1.0369,-1.6935,-0.363,-0.5788,0.3121,0.7264,-0.0746,-0.4982,-1.1201,-1.0015,0.4051,0.6888,-1.1308,-0.5014
1rdi,-0.6504,0.7281,-4.3935,-1.6242,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-1.2273,1.1369,-1.8861,1.6081,-0.777,-0.182
1rdj,-1.0093,0.6736,-4.7935,-1.644,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-1.2273,0.9574,-1.9292,1.6081,-0.777,-0.2877
1rdl,-1.2386,0.6961,-4.2135,-1.6012,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.3346,0.9806,-1.9119,1.578,-0.712,-0.1231
1re8,1.4315,1.0161,3.0665,1.4416,0.6968,0.4826,1.1755,-0.7185,1.7002,1.3469,0.5143,0.6472,-1.3836,0.5344,-0.089
1rnt,-1.6076,0.5729,-1.2635,-0.5375,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,0.3011,1.0597,-0.0224,0.0181,1.236,0.6716
1s39,-1.1684,0.9933,1.2465,-1.1721,-0.9942,0.019,-0.6862,-0.0618,-0.1827,-0.4497,0.3887,-0.2648,0.3722,-0.9765,-0.5833
1sl3,1.0922,1.6488,5.3965,1.2735,0.5592,0.3807,0.54,-0.8556,1.6106,1.4274,-0.198,1.3304,-1.3836,1.7371,-0.0289
1slg,-0.5997,1.7134,-2.5535,1.1519,2.3798,-2.4523,0.1632,-0.188,0.4243,-0.1011,0.0934,1.4465,-3.1093,0.9683,-0.3628
1sqa,0.1682,1.4974,2.7565,0.0172,0.5274,0.1196,0.8685,-0.6656,1.5344,-0.1279,-1.1612,0.6411,-1.4816,-1.1452,-0.4414
1sv3,-1.1006,0.4886,-2.1035,-1.303,-1.2607,-0.1186,0.0846,0.2239,-0.3325,-1.281,-1.1315,-0.7659,0.6209,0.9359,-0.9066
1syh,-0.0926,1.3316,-0.0435,-0.4014,-0.6758,-1.2503,-0.379,0.024,-0.2586,0.8375,2.0672,-0.0092,0.3346,0.9254,0.3747
1tmn,-0.2650,1.6408,0.8465,0.1415,0.8381,-0.237,0.0716,-0.2905,0.9787,-0.2083,1.4497,0.9775,-0.9918,0.9694,0.1087
1toi,-1.8739,0.2803,-2.4035,-1.1212,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1737,0.0453,-0.7463,0.7716,0.9942,-0.7661
1toj,-1.7336,0.2642,-3.0635,-1.069,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1201,0.0598,-0.7463,0.7716,0.9942,-0.7125
1tok,-3.0779,0.9850,-3.9835,-1.457,-1.5596,-1.048,-0.6854,0.9736,-0.8835,-1.2005,0.4394,-1.1783,0.7641,0.943,-0.404
1trd,-2.3392,0.3450,-1.0535,-1.4304,-1.3868,-0.2977,-1.214,1.0549,-1.2618,-0.691,0.4496,-0.7683,1.0731,1.2357,0.0415
1tsy,-0.8336,0.2067,-1.4935,-0.5265,-0.5168,-0.3922,-1.214,-0.1357,-0.2287,-0.0743,1.4819,-0.0843,0.4476,1.2311,0.2315
1ttm,1.2620,0.7450,0.8965,-0.7465,-0.275,0.3698,0.6701,-0.3499,-0.0217,-1.0128,-0.7817,0.153,0.3572,-0.3983,-0.3414
1tyr,-2.2962,1.9487,0.5465,-1.2971,-0.21,1.1782,1.5064,1.196,0.57,-0.8519,-1.276,-0.5399,0.3798,0.9429,15.3253
1u1b,0.2546,1.2102,1.3465,0.8462,1.9049,0.0631,-0.9148,-0.977,0.1504,0.2207,0.5044,0.4073,-1.1274,1.2575,-0.3106
1u2y,-1.7319,1.3382,-4.7135,-1.2398,-1.197,-1.1162,-1.214,0.5212,-1.2618,-1.4419,-0.9477,-1.8282,1.0882,-0.54,-0.9472
1u33,-0.5993,1.2571,-1.8535,0.958,0.2531,-2.2554,-1.214,-0.3102,-1.2618,1.052,1.6727,-1.331,0.7867,-0.54,1.4853
1utp,-2.3740,0.3781,-5.0135,-1.3623,-1.0187,0.2488,-0.136,0.4216,-0.1436,-1.3078,-0.7839,-1.8802,1.1409,-1.1043,-0.5813
1uwt,-2.3231,0.3532,-0.4835,-0.7969,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.033,1.1214,-1.8282,1.0882,-0.54,0.1912
1v2o,-2.0077,0.3097,-1.7235,-0.5976,0.3213,-0.5563,0.3838,-0.1029,0.7708,-0.5301,-0.7961,0.4436,-0.6828,0.0933,-0.2812
1v48,0.1039,1.5451,1.3465,-0.0874,-0.3549,0.3313,-0.6573,-0.1827,-0.7412,0.2743,0.7181,0.6374,0.0331,0.2963,0.1336
1vfn,-1.1544,0.4161,-0.8535,-1.3172,-1.1655,-0.2457,-1.214,-0.0835,-0.5442,-0.8251,-0.4391,-0.4924,0.5154,-1.3101,-0.4937
1vzq,0.7507,1.5784,0.9865,0.9485,0.6058,-0.8287,0.0846,-0.9175,0.5819,1.1592,-0.6888,1.0148,-0.826,-0.058,0.5305
1x1z,-1.7413,0.3507,4.6065,0.255,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9481,-0.0023,0.2667,1.2311,1.2462
1xgj,-1.0624,0.8968,-0.4535,-0.6246,-0.5808,-0.4505,-0.1884,-0.2122,-0.0126,-0.3424,0.4582,0.0949,-0.1929,0.9359,0.3528
1y1m,-2.2464,0.7338,-4.6335,-1.3943,-1.3146,-0.6633,-0.6573,0.521,-1.2618,-0.7447,0.562,-0.5162,1.3293,0.9235,-0.4411
1y6q,2.2433,0.1906,5.2465,-0.0804,-0.3795,-0.359,-0.9439,-0.4421,-0.698,-0.1279,-0.2732,-1.5048,0.7716,-0.787,-0.5884
1ydt,1.5085,1.0106,0.8665,0.5575,0.2757,0.6497,0.3489,-0.5891,1.1379,0.1134,-0.9619,0.4989,0.2065,-1.229,-0.2227
1zc9,-1.1021,1.3370,-3.2335,-0.6892,-0.814,-0.0371,-0.9148,0.6694,-0.5431,0.0598,-0.3037,-0.7007,0.6812,1.2338,0.7273
1zoe,0.4227,0.9155,0.9465,-0.6317,-0.9669,1.3048,1.569,-0.1969,-0.7026,-1.0664,-1.276,-1.8148,2.0678,-1.2028,-0.6633
1zs0,1.1356,1.3282,-0.3035,0.3656,0.0788,0.9961,0.585,-0.0601,0.2491,0.5425,-0.5112,0.4032,0.1386,0.4124,0.5023
1zvx,1.1171,1.3755,2.7665,0.3738,0.0788,0.9961,0.585,-0.0601,0.2491,0.6766,-0.2552,0.4032,0.1386,0.4124,0.4224
2aou,0.4636,0.8865,1.2765,0.0526,0.0606,1.0224,1.2318,-0.359,0.5841,0.0598,-1.1591,-1.5325,0.0256,0.5287,-0.2142
2ayr,1.6147,1.5836,2.8365,1.1954,1.1983,1.3593,2.7383,-0.8795,1.1934,0.0866,-0.1878,0.1947,-0.9164,0.5342,0.0976
2b1v,0.1920,1.4517,-0.7135,-0.3892,-0.5026,0.7255,0.4127,-0.2834,0.0309,-1.4955,-0.6908,-1.3945,0.7641,0.5344,-0.8655
2b7d,0.1310,1.6620,2.2465,0.5968,0.9154,-0.7793,1.3976,-0.4684,0.7708,0.9715,0.0597,0.1093,-2.4537,0.9939,1.4701
2baj,0.7470,1.3060,1.9465,0.3602,-0.0325,1.749,-0.1584,-0.4166,0.9299,-0.0475,-0.4095,0.4154,-0.1251,-1.4657,-0.5883
2bak,0.8219,1.2688,0.9765,1.3596,1.5439,0.859,0.6477,-1.0217,0.798,0.3011,-0.8279,0.7753,-1.6172,0.369,-0.3953
2bok,0.1619,1.3897,0.0965,0.3754,0.4303,-0.7682,-0.6862,-0.5634,-0.1586,0.6766,-0.8207,1.0172,0.0633,-1.2039,-0.2139
2brb,-0.9227,1.2743,-1.5935,-0.1793,-0.0044,1.0836,-0.971,-0.5792,0.8239,-0.7178,-1.276,-1.6597,-0.6376,-0.2405,-0.9269
2brm,-0.7971,0.9495,-0.5635,-0.1474,0.0454,1.002,-0.7281,-0.5407,0.8239,-0.7178,-1.0696,-1.5306,-0.6376,-0.7014,-0.8598
2bz6,0.7642,1.6900,0.6365,0.5595,0.1753,-0.2108,0.4048,-0.4103,0.401,1.5078,-1.1062,1.7391,-0.7506,0.9653,-0.2223
2bzz,-0.1165,1.6894,-0.0235,1.7001,1.8861,-0.1794,-1.214,-1.2864,-0.4737,2.4196,-0.0199,0.1581,-0.9767,1.3602,1.8331
