%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 33 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.4354262967144813
%.kernel.kernels[0].lengthscales: [0.35769563 0.14212666 0.29459135 0.68249169 0.07183749 0.31920441]
%.kernel.kernels[1].variance: 0.22461774677860483
%.likelihood.variance: 1.1740472301302096
%loglikelihood: -6930.2314834093095
%RMSE:1.682
%Pearson_correlation_coefficient:0.677,P-value:0.000
%Spearman_correlation_coefficient:0.674,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7
1d7j,-1.8085,1.0983,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366,-1.2618
1det,-1.9559,1.1132,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172,-0.7412
1df8,1.1115,0.2022,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302,-1.2618
1dhi,-0.1409,0.4233,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488,0.0385
1e1v,-0.2339,1.4354,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791,-1.0648
1e5a,-0.4765,1.4284,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418,-0.4647
1e66,0.5849,1.3125,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103,0.177
1ela,0.1136,1.3631,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784,-0.3325
1elb,0.2907,1.4408,0.6965,0.0673,0.4087,0.7071,1.185,1.1935,-0.3325
1f4e,-1.2814,0.7707,-3.4935,-0.8778,-0.6455,-0.1681,0.1697,-0.0893,-0.3325
1f4f,0.1350,1.4437,-1.8335,0.2608,-0.0808,-1.379,0.9549,-0.1408,-0.3325
1f4g,0.6429,1.4446,0.0265,0.9626,0.2873,-1.5311,0.9549,-0.0712,-0.3325
1f5k,-2.2189,0.0911,-2.7135,-1.364,-1.2488,-0.3983,-0.6862,0.3726,-0.1436
1fcx,1.8475,1.0398,0.7365,0.8816,0.4517,1.291,2.0289,-0.4443,1.3075
1fcz,1.5732,1.3694,2.7665,0.666,0.149,1.1866,1.3158,-0.2541,1.1189
1fd0,1.8483,1.0169,1.9465,0.9646,0.4873,1.3356,1.8068,-0.4506,1.3075
1fh7,-0.6417,0.7643,-1.2135,-0.6007,-0.7846,-1.6435,-1.214,-0.1141,-1.2618
1fh8,-0.4627,0.7651,0.4365,-0.8072,-0.8068,-1.3264,-1.214,-0.1349,-1.2618
1fh9,-0.4585,0.6673,-0.0235,-0.3638,-0.7775,-1.3927,-1.214,-0.1508,-1.2618
1fkb,0.9024,1.4825,3.2465,0.94,3.5241,1.7675,3.427,-0.0669,0.2216
1fki,-0.0960,1.4490,0.5465,-0.3495,0.4205,1.0845,0.7762,0.2869,-1.2618
1fkn,0.9256,1.4541,2.3465,2.3645,2.6978,-2.1261,1.5131,1.6678,-0.1436
1flr,1.4289,0.6357,3.5465,0.0456,-0.0416,0.6748,0.0846,-0.4441,1.1203
1fo0,2.5806,1.4709,-0.8635,4.4805,3.3633,-2.1118,0.107,0.5969,0.9746
1ftm,0.3916,0.4068,1.1565,-0.7727,-1.0519,-1.0058,-0.9148,0.4506,-0.5843
1fzk,1.4231,0.6121,1.9465,2.7587,3.3387,-1.3626,2.0474,-0.5839,0.7858
1g7q,0.2397,1.3884,-0.3935,1.9569,2.132,-3.603,1.3538,0.4112,-1.2618
1gni,0.4173,0.4174,1.6165,-0.4417,-0.2995,1.3341,0.456,2.9722,-0.8835
1gpk,0.1361,1.1833,-1.0835,-0.2393,-0.4012,0.2579,0.1701,-0.1158,0.5181
1gz9,-1.4179,0.8854,-2.9435,0.0016,0.0633,-2.1533,-0.9148,-0.2456,-1.2618
1h23,2.4282,1.1343,1.8965,1.4138,1.2569,0.9558,1.5405,-0.7908,0.8446
1ha2,-0.3868,1.2796,-0.9135,-0.4143,-0.1425,0.9754,-0.144,-0.2792,1.1115
1hfs,3.6222,1.4567,2.2465,2.9854,2.3295,1.9564,3.2623,-0.7268,2.6524
1hi4,-1.6792,0.2822,-1.9635,-0.3868,-0.0838,-0.1346,-1.214,-0.4461,-0.8678
1hk4,0.8724,1.4773,-1.1435,-0.5408,-0.56,0.6353,4.0312,-0.2287,0.1139
1if7,1.7701,0.6681,4.0665,-0.5533,0.1935,0.5888,0.8621,-0.5231,0.8048
1j16,-2.2567,0.0868,-2.6135,-1.3886,-1.2488,-0.3983,-0.6862,0.3726,-0.1436
1j17,-0.2181,0.2877,-1.2335,0.3562,0.7813,0.984,1.3966,-0.9165,0.792
1jaq,-0.8864,1.4383,-1.9735,-0.4569,-0.6385,-0.6727,-0.379,3.0645,-1.2618
1jq9,0.6168,1.4425,1.9965,1.2966,1.6616,-1.0833,1.1705,0.3381,0.7858
1jqd,-0.8864,0.1900,-1.2935,0.2693,-0.1741,-1.2116,-0.9649,-0.5656,-0.8678
1jqe,0.8144,1.4310,-0.0135,0.1364,0.4326,1.2668,1.8239,-0.2759,0.0284
1jys,-2.5802,0.3487,-2.9335,-1.4828,-1.2174,-0.1567,-1.214,-0.2214,-0.8678
1k4g,0.5904,0.7773,-0.6035,-0.5019,-0.4364,0.2031,-0.4432,-0.493,-0.0007
1k9s,-1.0126,0.4711,0.0665,-0.1669,-0.5348,-0.9012,-1.214,-0.4605,-0.8868
1kv1,-0.5562,0.5995,-0.5135,-0.384,-0.4689,1.1003,-0.1584,-0.16,0.0175
1l2s,0.2789,0.8887,-1.8635,-0.6633,-0.7205,0.3457,0.3394,-0.2581,0.1594
1l83,-2.5599,0.4080,-3.0535,-1.7068,-1.5179,0.3829,-1.214,0.268,-0.1286
1li3,-1.5425,0.5528,-2.2035,-1.4619,-1.4183,0.4935,-0.4223,0.2418,-0.3494
1li6,-2.9644,0.7272,-2.6535,-1.6971,-1.4327,0.2709,-0.4079,0.179,-0.5132
1lol,0.1872,0.8355,-0.0635,-0.3369,-0.216,-0.7474,-1.214,-0.4515,-0.4135
1loq,-1.0857,0.5986,-2.7535,-0.3557,-0.4945,-0.7093,-1.214,-0.0977,-0.2287
1m0n,0.8530,1.4073,-4.2335,0.595,-0.1164,0.8876,0.1986,0.1017,-0.5431
1m0q,0.4115,1.4363,-2.5635,0.2727,-0.3959,0.6028,-0.6155,0.7803,-0.5431
1m2q,0.1082,0.9906,-0.3535,-0.2589,-0.5198,0.5613,-0.4223,-0.2658,0.3182
1mq6,1.5287,1.2860,4.6965,0.646,0.4704,1.5376,-0.1884,-0.815,0.8252
1n2v,-1.4551,0.5440,-2.3735,-0.8139,-0.7025,-0.0498,-0.9357,-0.2012,-0.4325
1nc1,0.7994,0.6927,-0.3335,-0.0227,-0.5308,-0.1381,-0.68,-0.4871,-0.683
1ndw,-0.0697,1.0256,-1.2235,-0.3912,-0.5457,0.217,-0.4144,-0.1013,0.4243
1ndy,0.8767,0.9017,-0.2835,-0.0346,-0.1097,0.5723,0.0561,-0.4012,0.8021
1ndz,1.8167,1.1970,1.6565,1.5653,1.1632,0.7932,0.6191,-0.9225,1.1921
1nfy,1.1803,0.6580,2.4365,0.3055,0.3935,0.1875,0.5837,-0.7882,0.7539
1nhu,-0.0777,1.4322,-0.7935,-0.5349,0.2219,1.4086,0.8698,-0.3043,2.0141
1nja,-0.8779,0.5471,-0.1435,-0.4462,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523
1nje,-0.8843,0.5439,-2.6535,-0.4597,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523
1nny,2.1686,1.2099,1.2065,1.6728,2.208,0.34,1.6253,-0.8653,2.2817
1nvq,1.6042,0.7097,1.7965,0.9592,1.2758,0.7317,-0.387,-0.8289,0.5969
1nwl,0.0879,1.3247,-4.0635,-0.3664,0.0813,-0.2099,-0.1007,-0.321,-0.52
1o0h,-1.2948,0.1044,-0.5335,-0.0312,-0.1291,-0.2696,-1.214,-0.5488,-0.8678
1o3f,0.1383,0.5835,1.5065,-0.2617,0.1494,0.6865,0.3485,-0.6096,1.1785
1o3p,0.3967,1.1158,0.2065,0.0082,0.0703,0.3936,1.2189,-0.7179,0.0453
1om1,0.2654,1.1644,0.3165,-0.0498,-0.0829,0.2411,-0.4223,-0.3825,0.7466
1p1q,0.3856,0.4018,-1.5635,-0.78,-1.0519,-1.0058,-0.9148,0.4506,-0.5843
1pb9,-1.4520,1.0402,-2.8335,-1.5958,-1.4668,-0.8582,-1.214,0.0382,-1.2618
1pbq,-1.1721,0.9056,-0.1835,-0.7117,-0.982,0.3595,-0.6862,-0.0545,-0.2033
1ppm,1.1870,1.4392,-0.6535,1.2085,1.2043,1.0091,0.4062,0.0875,0.9746
1pr5,-1.2140,0.6293,-2.5335,-0.5881,-0.6269,-0.5604,-0.9501,-0.4607,-0.683
1pxo,0.0135,0.7701,2.2465,-0.1077,-0.3792,0.8315,-0.387,-0.592,0.3696
1pz5,0.5405,1.4557,-1.0535,2.0405,3.1383,-1.9879,1.2082,-0.0781,0.4284
1q7a,-0.3810,0.9838,0.7365,-0.4483,-0.1916,0.9396,0.6477,-0.415,0.438
1q8t,0.1351,1.1989,-1.6935,-0.363,-0.5788,0.3121,0.7264,-0.0746,-0.4982
1rdi,-2.1762,0.3688,-4.3935,-1.6242,-1.1983,-0.6111,-0.9148,0.4658,-1.2618
1rdj,-2.5337,0.7354,-4.7935,-1.644,-1.2766,-0.8126,-0.9148,0.4337,-1.2618
1rdl,-2.7575,0.6462,-4.2135,-1.6012,-1.2721,-1.1292,-1.214,0.4478,-1.2618
1re8,1.8379,1.2251,3.0665,1.4416,0.6968,0.4826,1.1755,-0.7185,1.7002
1rnt,-0.9069,1.0265,-1.2635,-0.5375,-0.2728,-0.6584,-1.214,-0.4172,-0.7412
1s39,-1.5599,0.4169,1.2465,-1.1721,-0.9942,0.019,-0.6862,-0.0618,-0.1827
1sl3,1.6047,1.3924,5.3965,1.2735,0.5592,0.3807,0.54,-0.8556,1.6106
1slg,-0.4306,1.4565,-2.5535,1.1519,2.3798,-2.4523,0.1632,-0.188,0.4243
1sqa,-0.4840,1.3724,2.7565,0.0172,0.5274,0.1196,0.8685,-0.6656,1.5344
1sv3,-1.4386,1.0063,-2.1035,-1.303,-1.2607,-0.1186,0.0846,0.2239,-0.3325
1syh,0.1567,1.3122,-0.0435,-0.4014,-0.6758,-1.2503,-0.379,0.024,-0.2586
1tmn,-0.4212,1.4068,0.8465,0.1415,0.8381,-0.237,0.0716,-0.2905,0.9787
1toi,-0.9739,0.2085,-2.4035,-1.1212,-1.1866,-0.023,-0.4144,0.3699,-0.1436
1toj,-0.9383,0.2171,-3.0635,-1.069,-1.1866,-0.023,-0.4144,0.3699,-0.1436
1tok,-1.6782,1.4127,-3.9835,-1.457,-1.5596,-1.048,-0.6854,0.9736,-0.8835
1trd,-1.1091,0.4096,-1.0535,-1.4304,-1.3868,-0.2977,-1.214,1.0549,-1.2618
1tsy,-0.8073,0.2247,-1.4935,-0.5265,-0.5168,-0.3922,-1.214,-0.1357,-0.2287
1ttm,0.5482,0.8704,0.8965,-0.7465,-0.275,0.3698,0.6701,-0.3499,-0.0217
1tyr,-0.5856,1.4444,0.5465,-1.2971,-0.21,1.1782,1.5064,1.196,0.57
1u1b,0.2569,1.2245,1.3465,0.8462,1.9049,0.0631,-0.9148,-0.977,0.1504
1u2y,-1.9188,0.3347,-4.7135,-1.2398,-1.197,-1.1162,-1.214,0.5212,-1.2618
1u33,-0.3848,1.2926,-1.8535,0.958,0.2531,-2.2554,-1.214,-0.3102,-1.2618
1utp,-2.2982,0.4509,-5.0135,-1.3623,-1.0187,0.2488,-0.136,0.4216,-0.1436
1uwt,-1.4972,0.2556,-0.4835,-0.7969,-1.197,-1.1162,-1.214,0.5212,-1.2618
1v2o,-1.9484,0.3617,-1.7235,-0.5976,0.3213,-0.5563,0.3838,-0.1029,0.7708
1v48,-0.0285,1.3122,1.3465,-0.0874,-0.3549,0.3313,-0.6573,-0.1827,-0.7412
1vfn,-0.7572,0.6040,-0.8535,-1.3172,-1.1655,-0.2457,-1.214,-0.0835,-0.5442
1vzq,0.5965,1.4369,0.9865,0.9485,0.6058,-0.8287,0.0846,-0.9175,0.5819
1x1z,-1.3222,0.6925,4.6065,0.255,-0.4763,-0.8,-1.214,-0.0741,-0.4216
1xgj,-0.0526,0.9917,-0.4535,-0.6246,-0.5808,-0.4505,-0.1884,-0.2122,-0.0126
1y1m,-1.4629,1.0454,-4.6335,-1.3943,-1.3146,-0.6633,-0.6573,0.521,-1.2618
1y6q,2.4636,0.2082,5.2465,-0.0804,-0.3795,-0.359,-0.9439,-0.4421,-0.698
1ydt,1.6997,0.8466,0.8665,0.5575,0.2757,0.6497,0.3489,-0.5891,1.1379
1zc9,0.1317,1.1011,-3.2335,-0.6892,-0.814,-0.0371,-0.9148,0.6694,-0.5431
1zoe,0.5088,1.3949,0.9465,-0.6317,-0.9669,1.3048,1.569,-0.1969,-0.7026
1zs0,0.2908,1.3141,-0.3035,0.3656,0.0788,0.9961,0.585,-0.0601,0.2491
1zvx,0.2924,1.3121,2.7665,0.3738,0.0788,0.9961,0.585,-0.0601,0.2491
2aou,1.2742,1.1517,1.2765,0.0526,0.0606,1.0224,1.2318,-0.359,0.5841
2ayr,1.9484,1.4398,2.8365,1.1954,1.1983,1.3593,2.7383,-0.8795,1.1934
2b1v,0.5663,0.5877,-0.7135,-0.3892,-0.5026,0.7255,0.4127,-0.2834,0.0309
2b7d,0.4116,1.4401,2.2465,0.5968,0.9154,-0.7793,1.3976,-0.4684,0.7708
2baj,0.7117,1.4193,1.9465,0.3602,-0.0325,1.749,-0.1584,-0.4166,0.9299
2bak,1.2303,1.4071,0.9765,1.3596,1.5439,0.859,0.6477,-1.0217,0.798
2bok,-0.2052,0.9681,0.0965,0.3754,0.4303,-0.7682,-0.6862,-0.5634,-0.1586
2brb,-0.2037,1.3568,-1.5935,-0.1793,-0.0044,1.0836,-0.971,-0.5792,0.8239
2brm,-0.1289,1.2056,-0.5635,-0.1474,0.0454,1.002,-0.7281,-0.5407,0.8239
2bz6,0.8002,1.2028,0.6365,0.5595,0.1753,-0.2108,0.4048,-0.4103,0.401
2bzz,0.6590,1.4572,-0.0235,1.7001,1.8861,-0.1794,-1.214,-1.2864,-0.4737
2c02,-1.8625,0.2817,-2.4135,-0.3694,-0.1291,-0.2696,-1.214,-0.5488,-0.8678
2ceq,-0.4633,0.1944,0.8265,-0.6656,-1.0165,-0.6958,-1.214,-0.0451,-0.6939
2cer,0.7049,1.0618,2.7665,0.1345,-0.3332,-0.1458,-0.4144,-0.4179,0.4094
2cet,0.5746,0.9987,1.5665,0.0354,-0.3332,-0.1458,-0.4144,-0.4179,0.4094
2cgr,0.0558,1.4451,0.8265,-0.0725,0.1376,0.0284,0.3276,-0.2914,1.904
2ctc,-2.0992,0.5475,-2.5635,-0.9657,-1.165,-0.3401,-0.971,0.3889,-0.1436
2d0k,-0.1343,1.4082,-1.4335,-0.0202,0.2332,-0.973,0.3983,-0.639,0.3621
2d1o,1.1465,0.6466,1.2465,0.6458,0.7374,-0.1627,0.942,0.8187,-0.1586
2d3u,1.1313,0.9327,0.4665,-0.1676,0.0129,0.7135,0.6268,-0.4959,0.9382
2d3z,0.7665,0.9290,0.1865,-0.214,-0.1089,0.7959,0.6477,-0.5403,0.9461
2drc,-0.2593,1.0750,3.4365,-0.0375,0.2714,-0.8765,0.3983,-0.5488,0.0385
2er9,1.6258,1.4503,0.9465,2.3991,3.2866,0.2677,1.5549,-0.3966,0.9923
2f01,1.1359,0.1898,6.5465,-0.4089,-0.8944,-0.3025,-0.379,-0.2302,-1.2618
2f80,3.1148,0.0549,1.7265,1.3327,1.0178,0.5951,0.8987,-0.5478,0.6119
2fai,-1.0703,0.9013,-0.2135,-0.3496,-0.4066,0.8013,0.3918,-0.1941,0.0309
2fdp,1.6179,1.3660,1.1365,1.3288,1.3567,1.3127,1.7113,-0.21,1.897
2flb,0.7827,0.9974,-0.7135,-0.1624,-0.042,0.1067,-0.4223,-0.7294,0.423
2fzc,0.1970,1.2605,-3.7535,-0.7618,-0.8361,-0.3441,-1.214,2.0259,-1.2618
2g5u,0.2188,1.4267,2.0365,-0.6419,-1.0185,1.5203,0.3276,-0.1361,0.1216
2g8r,-1.1019,1.4308,-2.4635,-0.6984,-0.1343,-1.6154,-1.214,-0.268,-0.2287
2g94,1.3722,1.4491,3.0665,1.8212,1.5943,0.3032,0.9773,1.5238,-0.717
2gss,0.0552,1.1375,-1.5135,-1.0226,-0.8261,0.563,-0.1645,0.3896,-0.0179
2hdq,-1.9065,0.9929,-5.0535,-1.602,-1.436,-0.1023,-0.7162,0.0644,-0.5642
2i0d,3.5148,0.9097,5.6465,1.695,1.5969,0.9904,1.4474,-0.5331,1.5412
2j77,-1.3446,0.0905,-1.5635,-1.0918,-1.2037,-1.367,-1.214,0.6124,-1.2618
2j78,-1.4821,0.2861,-0.0335,-0.7641,-1.197,-1.1162,-1.214,0.5212,-1.2618
2qwb,-0.7693,1.1372,-3.7135,-0.4501,-0.7588,-1.7408,-1.214,0.9317,-1.2618
2qwd,-0.9212,0.9678,-1.6035,-0.4574,-0.7254,-1.724,-1.214,0.9206,-0.8926
2qwe,-0.7612,0.4893,1.0265,-0.0538,-0.5432,-2.2103,-0.9497,1.0376,-0.8926
2rkm,-0.6483,1.4439,-2.5535,-0.1517,-0.5096,-1.4751,0.1777,3.135,-1.2618
2std,2.3098,0.5983,3.3965,-0.2077,-0.5807,1.3228,0.1344,-0.0827,-0.1755
2usn,-0.2457,1.3137,0.0565,-0.3581,-0.0366,1.0412,-0.7281,-0.6122,0.9746
3gss,-0.4731,1.4266,-0.6335,0.5531,0.4548,-1.1979,-0.4079,0.9307,-0.3962
3pce,-1.8069,0.1969,-4.4535,-1.1085,-1.2254,-0.2339,-0.4432,0.3661,-0.3325
3pch,-0.7553,0.5595,-1.0535,-1.0456,-1.3356,-0.0107,-0.1793,0.307,-0.3643
3pcj,-1.3748,0.4491,0.7665,-1.0074,-1.257,-0.6146,-0.9501,0.3628,-0.1936
3std,1.6119,1.3527,4.6565,0.6668,0.2485,1.4455,-0.1858,-0.6288,1.9081
4er2,2.5346,0.3917,2.8465,1.2211,1.6844,-0.0959,0.929,5.2552,-1.2618
4fiv,2.1523,0.8943,0.0665,2.4414,2.9702,0.9633,1.2844,-0.4809,1.7301
4tln,-2.4109,0.8192,-2.7335,-1.482,-1.2462,-0.3991,-0.9566,2.4856,-1.2618
5abp,-0.8306,0.3900,0.1865,-0.9019,-1.2721,-1.1292,-1.214,0.4478,-1.2618
5er1,-0.2820,1.4452,-0.4335,0.4089,1.0283,-0.1295,-0.4562,1.6225,-0.1436
6fiv,0.8705,0.6506,1.6265,0.2216,0.4965,0.5294,0.107,-0.009,0.9746
6rnt,-1.8445,0.6066,-4.0835,-0.771,-0.3818,-0.4407,-1.214,-0.4392,-0.8678
6std,0.5738,1.0912,2.1865,-0.0586,-0.5701,0.9623,-0.144,-0.1185,-0.1927
8abp,-0.8400,0.3874,1.5465,-0.9083,-1.2721,-1.1292,-1.214,0.4478,-1.2618
1f8b,-2.0941,0.2285,-1.0535,-0.4251,-0.7984,-1.4928,-0.9497,0.8026,-0.8926
1f8c,-0.9312,0.9688,0.9465,-0.462,-0.7254,-1.724,-1.214,0.9206,-0.8926
1f8d,-1.3460,1.0338,-3.0535,-0.3731,-0.7254,-1.724,-0.9497,0.8483,-0.8926
1hnn,-1.0971,0.8427,-0.2135,-0.8217,-0.8064,-0.4592,-0.4432,-0.0048,-0.3474
1igj,0.4111,1.4609,3.5465,-0.0707,1.0154,0.62,2.8215,-0.7831,-0.8985
1lbk,-1.6977,0.4143,-3.2735,-0.654,-0.8019,-1.8597,-1.214,2.585,-1.2618
1lor,-1.3247,0.6937,4.6065,0.257,-0.4763,-0.8,-1.214,-0.0741,-0.4216
1n1m,-1.3099,1.1371,-0.7535,-1.0625,-1.0315,-0.1751,-0.6573,0.6043,-1.2618
1o5b,-0.7072,0.2939,-0.6835,-1.0228,-0.9682,0.1622,0.5643,-0.168,-0.2423
1oyt,0.8827,1.2929,0.7865,0.6006,0.409,-0.3852,0.0846,-0.7528,0.9526
1ps3,-0.5663,0.4964,-4.1735,-0.5265,-1.0186,-1.4529,-1.214,-0.054,-1.2618
1q8u,0.3061,1.2906,-0.4935,-0.0782,-0.0562,0.1373,-0.1086,-0.2283,-0.1354
1qi0,-2.6264,0.4314,-4.1035,-0.9622,-0.6237,-1.7996,-1.214,0.0167,-1.2618
1r5y,-0.1285,0.4972,0.0065,-1.0255,-0.9467,-0.1098,-0.4223,-0.0749,-0.3716
1sln,0.0056,1.4376,0.1865,0.4659,0.7301,-0.9819,0.691,0.2526,0.8007
1uto,-2.0531,0.2544,-4.1835,-1.436,-1.1944,0.0084,-0.971,0.3714,-0.1436
1w3k,-0.3290,0.5611,-2.1535,-0.237,-0.6567,-1.8615,-1.214,-0.0156,-1.2618
1w3l,-0.7498,1.2529,-0.1735,0.6733,0.0411,-2.5318,-1.214,-0.3483,-1.2618
1w4o,-2.0289,0.1964,-1.2335,-0.7145,-0.4945,-0.7093,-1.214,-0.0386,-0.2287
1xd0,-0.3157,1.4060,0.6665,2.043,1.7599,-3.7373,-0.9148,-0.7398,-1.2618
1yc1,0.4213,1.1048,-0.2835,0.519,-0.0686,0.4208,0.342,-0.6269,0.0344
1z95,0.2377,1.2631,0.6665,0.7615,-0.0727,0.7505,0.9326,-0.0739,0.5899
1zea,-0.9937,1.4768,-1.2335,1.0454,3.1498,-3.1182,0.3918,-0.176,0.2355
2cbj,0.5102,0.2423,1.8165,-0.2476,-0.3886,-0.3936,-0.461,-0.2048,-0.3175
2fvd,1.0268,1.1878,2.0665,0.5896,0.1453,0.2985,-0.1295,-0.5329,0.0203
2g70,-1.1923,0.6364,1.3165,-0.7128,-0.8608,-0.2676,-0.971,0.0031,-0.0313
2hb1,-0.5757,1.3705,-2.6535,-1.0227,-1.2539,-0.444,-0.5183,0.0178,-0.8022
2iwx,0.2432,1.1526,0.2265,0.0422,-0.2722,1.0741,-0.1007,0.1014,-0.1898
2j62,2.4610,0.9498,4.8865,0.6544,0.0844,0.0945,-0.4144,-0.3152,0.4094
2jdm,-0.9359,0.2048,-1.0535,-1.2678,-1.1983,-0.6111,-0.9148,0.4658,-1.2618
2jdu,-0.9549,0.2016,0.2665,-1.2774,-1.1983,-0.6111,-0.9148,0.4658,-1.2618
2jdy,-2.4980,0.2793,-2.0835,-1.248,-1.1823,-0.9277,-1.214,0.4884,-1.2618
2obf,0.9497,1.1088,2.3965,0.2297,-0.1669,0.2087,0.6124,-0.4448,0.565
2ole,0.5209,1.0962,0.7965,0.0406,0.2131,0.7003,0.6557,-0.3532,0.9535
2p4y,2.0266,1.4417,2.5465,1.468,0.9707,1.6761,1.4748,-0.731,0.9468
2pcp,-1.0309,0.8270,2.2465,-0.3479,-0.4121,0.7613,0.1777,-0.1163,-0.1436
2qbp,1.8874,1.1123,1.9465,0.6878,0.716,0.5029,1.0522,-0.7446,0.9041
2qbr,1.1912,0.9520,-0.1235,-0.0661,-0.0871,0.5663,0.4955,-0.5474,0.9041
2qmj,-1.4917,0.4218,-2.2435,0.8412,0.9594,-3.0916,-0.407,-0.557,-0.8985
2r23,-0.8089,1.2775,-2.7335,-0.0807,0.0842,-2.6618,-1.214,0.3298,-0.8685
2v00,-1.3400,0.7654,-2.7935,-0.7572,-0.7117,0.2137,-0.4144,-0.1992,0.5469
2v7a,0.9445,1.1367,1.8465,0.6496,0.7936,0.2412,0.0846,-0.9859,1.1376
2vl4,-1.1650,0.1117,-0.4435,-1.0627,-1.2037,-1.3038,-1.214,0.6124,-1.2618
2vo5,-0.0486,1.2444,-1.5635,-0.2316,-0.4411,-0.7779,-1.214,-0.2549,-0.1436
2vot,1.4697,0.6227,0.6865,0.0716,-0.3771,-0.1991,-0.6862,-0.4544,0.2355
2vvn,0.8267,0.9158,0.8465,-0.4191,-0.9329,-0.5969,-0.9148,-0.2653,-1.2618
2vw5,0.9187,1.4435,2.0665,0.437,0.8692,1.3107,2.0269,0.7445,0.2054
2w66,-0.6856,1.1620,-2.4035,-0.5043,-0.8901,-1.5196,-1.214,0.936,-1.2618
2wbg,-0.4857,0.5194,-2.0035,-0.0413,-0.3692,-0.1927,-0.9357,-0.1338,-1.2618
2wca,0.3656,0.6830,-0.8535,-0.3913,-0.1893,-0.1532,-0.1827,-0.1413,-0.3175
2weg,-0.8720,0.1691,0.0465,-1.2527,-1.1937,0.009,-0.6862,0.3968,-0.3245
