%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 97 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6858093557475486
%.kernel.kernels[0].lengthscales: [ 0.4459262   0.42873226  0.9906523   2.62970555  0.33622558  0.90776844  1.9561593   0.80081986  0.44421837  0.69457334  1.12073376 31.49524015  1.46187927  0.62748511]
%.kernel.kernels[1].variance: 0.05114749959534973
%.likelihood.variance: 0.8742907363780765
%loglikelihood: -6669.2774565980435
%RMSE:1.594
%Pearson_correlation_coefficient:0.717,P-value:0.000
%Spearman_correlation_coefficient:0.718,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1
1nny,1.1761,1.7188,1.2065,1.6728,2.208,0.34,1.6253,-0.8653,2.2817,1.7492,2.237,0.9921,-3.3354,0.935,1.0799,1.3227,1.4729
1nvq,1.5103,0.7135,1.7965,0.9592,1.2758,0.7317,-0.387,-0.8289,0.5969,0.1403,0.0168,0.7801,-0.826,-0.967,-0.4108,1.0006,0.8142
1nwl,-1.3423,1.5579,-4.0635,-0.3664,0.0813,-0.2099,-0.1007,-0.321,-0.52,0.0062,-0.6573,0.5303,-0.0046,0.9165,0.9903,2.4503,0.2924
1o0h,-0.9497,0.2882,-0.5335,-0.0312,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,1.3201,0.5408,-0.2803,0.1612,1.3418,1.3723,-1.2831,-0.0241
1o3f,-0.2718,0.4538,1.5065,-0.2617,0.1494,0.6865,0.3485,-0.6096,1.1785,0.5157,-0.6908,-1.5374,-0.9013,0.5195,1.9106,-0.2211,-0.6741
1o3p,0.5713,0.6630,0.2065,0.0082,0.0703,0.3936,1.2189,-0.7179,0.0453,0.6497,-0.6908,-1.6306,-0.517,0.4885,0.5608,-0.7544,-0.3833
1om1,0.2971,0.7339,0.3165,-0.0498,-0.0829,0.2411,-0.4223,-0.3825,0.7466,-0.6106,-1.0398,0.1844,-0.5622,0.9903,-0.3454,-0.0281,-0.3799
1p1q,0.2577,0.3165,-1.5635,-0.78,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.3011,0.7523,-0.3065,0.5832,0.9258,0.9527,-0.6455,-0.0571
1pb9,-0.4818,1.4320,-2.8335,-1.5958,-1.4668,-0.8582,-1.214,0.0382,-1.2618,-0.5838,0.7123,-0.5896,1.2992,-1.2388,-0.1862,-1.2831,-0.9425
1pbq,-1.7463,0.8682,-0.1835,-0.7117,-0.982,0.3595,-0.6862,-0.0545,-0.2033,0.0598,-0.4103,-0.6693,0.6134,0.9174,-0.2493,-0.7497,-0.3718
1ppm,1.3314,1.4719,-0.6535,1.2085,1.2043,1.0091,0.4062,0.0875,0.9746,1.0788,0.7984,0.9816,-1.1726,0.0888,-0.0487,0.1475,0.2662
1pr5,-1.3192,0.6927,-2.5335,-0.5881,-0.6269,-0.5604,-0.9501,-0.4607,-0.683,-0.4765,0.1184,-1.5752,0.4476,-0.712,-0.2854,-0.9855,0.5699
1pxo,0.0206,1.2295,2.2465,-0.1077,-0.3792,0.8315,-0.387,-0.592,0.3696,-0.7715,-0.7494,-0.5042,-0.5547,-0.9133,-0.2631,0.0695,-0.6162
1pz5,0.2246,1.6853,-1.0535,2.0405,3.1383,-1.9879,1.2082,-0.0781,0.4284,2.3928,-0.188,1.4927,-3.2676,0.9932,1.2199,3.479,3.5169
1q7a,-0.8797,0.8904,0.7365,-0.4483,-0.1916,0.9396,0.6477,-0.415,0.438,-1.1737,-1.2289,0.6228,-0.3663,0.5344,-0.6717,-0.6884,-0.9796
1q8t,-0.4392,0.9917,-1.6935,-0.363,-0.5788,0.3121,0.7264,-0.0746,-0.4982,-1.1201,-1.0015,0.4051,0.6888,-1.1308,-0.5014,1.0135,-0.6166
1rdi,-0.9993,0.6518,-4.3935,-1.6242,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-1.2273,1.1369,-1.8861,1.6081,-0.777,-0.182,-0.7456,0.2292
1rdj,-1.5926,0.6402,-4.7935,-1.644,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-1.2273,0.9574,-1.9292,1.6081,-0.777,-0.2877,-1.0848,0.252
1rdl,-2.3692,0.8775,-4.2135,-1.6012,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.3346,0.9806,-1.9119,1.578,-0.712,-0.1231,-1.2831,0.5656
1re8,1.1350,1.1599,3.0665,1.4416,0.6968,0.4826,1.1755,-0.7185,1.7002,1.3469,0.5143,0.6472,-1.3836,0.5344,-0.089,-0.1752,0.2763
1rnt,-1.5480,0.4567,-1.2635,-0.5375,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,0.3011,1.0597,-0.0224,0.0181,1.236,0.6716,-1.2831,-0.0241
1s39,-0.8890,0.8460,1.2465,-1.1721,-0.9942,0.019,-0.6862,-0.0618,-0.1827,-0.4497,0.3887,-0.2648,0.3722,-0.9765,-0.5833,-1.2831,-0.9421
1sl3,1.3064,1.6144,5.3965,1.2735,0.5592,0.3807,0.54,-0.8556,1.6106,1.4274,-0.198,1.3304,-1.3836,1.7371,-0.0289,-0.1452,-0.3217
1slg,-0.6870,1.7258,-2.5535,1.1519,2.3798,-2.4523,0.1632,-0.188,0.4243,-0.1011,0.0934,1.4465,-3.1093,0.9683,-0.3628,1.5048,3.2308
1sqa,-0.0534,1.3812,2.7565,0.0172,0.5274,0.1196,0.8685,-0.6656,1.5344,-0.1279,-1.1612,0.6411,-1.4816,-1.1452,-0.4414,0.6564,-0.2906
1sv3,-0.8336,0.4218,-2.1035,-1.303,-1.2607,-0.1186,0.0846,0.2239,-0.3325,-1.281,-1.1315,-0.7659,0.6209,0.9359,-0.9066,-1.2831,-0.3946
1syh,0.1042,1.2122,-0.0435,-0.4014,-0.6758,-1.2503,-0.379,0.024,-0.2586,0.8375,2.0672,-0.0092,0.3346,0.9254,0.3747,-0.3439,-0.3347
1tmn,-0.2562,1.6064,0.8465,0.1415,0.8381,-0.237,0.0716,-0.2905,0.9787,-0.2083,1.4497,0.9775,-0.9918,0.9694,0.1087,1.4529,0.8794
1toi,-1.9417,0.2939,-2.4035,-1.1212,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1737,0.0453,-0.7463,0.7716,0.9942,-0.7661,-0.731,-0.6854
1toj,-1.7543,0.2865,-3.0635,-1.069,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1201,0.0598,-0.7463,0.7716,0.9942,-0.7125,-0.731,-0.6854
1tok,-3.2641,0.8969,-3.9835,-1.457,-1.5596,-1.048,-0.6854,0.9736,-0.8835,-1.2005,0.4394,-1.1783,0.7641,0.943,-0.404,-1.2831,-0.0776
1trd,-1.9779,0.3972,-1.0535,-1.4304,-1.3868,-0.2977,-1.214,1.0549,-1.2618,-0.691,0.4496,-0.7683,1.0731,1.2357,0.0415,-1.2831,-1.2932
1tsy,-0.6489,0.2108,-1.4935,-0.5265,-0.5168,-0.3922,-1.214,-0.1357,-0.2287,-0.0743,1.4819,-0.0843,0.4476,1.2311,0.2315,-0.2548,-0.6888
1ttm,0.6687,0.5163,0.8965,-0.7465,-0.275,0.3698,0.6701,-0.3499,-0.0217,-1.0128,-0.7817,0.153,0.3572,-0.3983,-0.3414,0.1968,-0.7653
1tyr,-2.2383,1.9573,0.5465,-1.2971,-0.21,1.1782,1.5064,1.196,0.57,-0.8519,-1.276,-0.5399,0.3798,0.9429,15.3253,0.1046,-0.6854
1u1b,0.5150,1.0885,1.3465,0.8462,1.9049,0.0631,-0.9148,-0.977,0.1504,0.2207,0.5044,0.4073,-1.1274,1.2575,-0.3106,-0.0797,-0.0469
1u2y,-2.1591,1.2514,-4.7135,-1.2398,-1.197,-1.1162,-1.214,0.5212,-1.2618,-1.4419,-0.9477,-1.8282,1.0882,-0.54,-0.9472,-1.2831,0.607
1u33,-0.6926,1.1558,-1.8535,0.958,0.2531,-2.2554,-1.214,-0.3102,-1.2618,1.052,1.6727,-1.331,0.7867,-0.54,1.4853,-0.9438,3.629
1utp,-2.3887,0.2990,-5.0135,-1.3623,-1.0187,0.2488,-0.136,0.4216,-0.1436,-1.3078,-0.7839,-1.8802,1.1409,-1.1043,-0.5813,-0.8866,-0.9425
1uwt,-2.2422,0.3207,-0.4835,-0.7969,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.033,1.1214,-1.8282,1.0882,-0.54,0.1912,-1.2831,0.607
1v2o,-1.9926,0.2938,-1.7235,-0.5976,0.3213,-0.5563,0.3838,-0.1029,0.7708,-0.5301,-0.7961,0.4436,-0.6828,0.0933,-0.2812,-0.6455,-0.6765
1v48,0.1788,1.3732,1.3465,-0.0874,-0.3549,0.3313,-0.6573,-0.1827,-0.7412,0.2743,0.7181,0.6374,0.0331,0.2963,0.1336,-0.134,-0.6617
1vfn,-0.8849,0.4214,-0.8535,-1.3172,-1.1655,-0.2457,-1.214,-0.0835,-0.5442,-0.8251,-0.4391,-0.4924,0.5154,-1.3101,-0.4937,-1.2831,-0.6822
1vzq,1.1603,1.4989,0.9865,0.9485,0.6058,-0.8287,0.0846,-0.9175,0.5819,1.1592,-0.6888,1.0148,-0.826,-0.058,0.5305,-0.4433,-0.0977
1x1z,-1.1670,0.5144,4.6065,0.255,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9481,-0.0023,0.2667,1.2311,1.2462,-1.2831,-0.0616
1xgj,-0.9513,0.9175,-0.4535,-0.6246,-0.5808,-0.4505,-0.1884,-0.2122,-0.0126,-0.3424,0.4582,0.0949,-0.1929,0.9359,0.3528,-1.0149,0.236
1y1m,-1.7934,0.6579,-4.6335,-1.3943,-1.3146,-0.6633,-0.6573,0.521,-1.2618,-0.7447,0.562,-0.5162,1.3293,0.9235,-0.4411,-0.14,-0.3347
