%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
%Optimization success: True in 22 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.5741558752847657
%.kernel.kernels[0].lengthscales: 1.339882942824264
%.kernel.kernels[1].variance: 0.03068973887062306
%.likelihood.variance: 0.9492974458627557
%loglikelihood: -6594.480444843923
%RMSE:1.522
%Pearson_correlation_coefficient:0.750,P-value:0.000
%Spearman_correlation_coefficient:0.752,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,BalabanJ,BertzCT,HallKierAlpha,MaxAbsEStateIndex,MaxAbsPartialCharge,MolLogP,NOCount,PEOE_VSA1,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA7,as_flex_all,cc_A.HD_4,cc_N.N_4,lig_OA,vina_gauss2,vina_hydrogen,vina_repulsion
1flr,0.5441,0.3945,3.5465,-0.4441,-0.0416,-0.9541,-0.0671,0.9357,0.6748,-0.6265,-0.1007,-0.8144,0.0712,0.0846,0.3637,1.1203,0.0866,-0.6375,-0.7232,-0.1672,0.0456,-0.4885,-0.5581
1fo0,1.9625,1.6917,-0.8635,0.5969,3.3633,-3.8705,1.4624,0.9932,-2.1118,3.5335,3.5706,-0.8144,2.89,0.107,2.2589,0.9746,5.1547,4.0595,3.5934,2.5012,4.4805,3.7584,3.3779
1ftm,0.4655,0.2456,1.1565,0.4506,-1.0519,0.5832,-0.3065,0.9258,-1.0058,-0.4075,-0.0571,-0.8144,-0.9016,-0.9148,-0.6455,-0.5843,0.0866,1.2413,0.7156,-0.434,-0.7727,0.9219,0.1165
1fzk,1.1811,0.7728,1.9465,-0.5839,3.3387,-3.5916,1.5354,0.9695,-1.3626,3.0957,2.8873,-0.8144,1.3524,2.0474,2.1383,0.7858,2.3391,1.9458,-0.0038,1.9675,2.7587,0.8222,1.0548
1g7q,0.3169,1.6297,-0.3935,0.4112,2.132,-2.4763,1.3675,0.9932,-3.603,3.5335,3.1316,-0.8144,-0.9016,1.3538,1.7224,-1.2618,3.1972,3.1201,2.1545,2.2344,1.9569,2.1237,2.3799
1gni,0.0853,0.4419,1.6165,2.9722,-0.2995,1.1635,-0.5412,0.9943,1.3341,-1.2833,-0.6854,-0.8144,1.9134,0.456,1.0531,-0.8835,-1.3614,-0.6375,-0.7232,-0.7009,-0.4417,-1.1641,-1.0315
1gpk,0.4550,0.6042,-1.0835,-0.1158,-0.4012,0.5456,-0.0178,-1.2405,0.2579,-1.0644,-0.637,-0.8144,-0.1901,0.1701,0.8691,0.5181,-0.8251,0.3019,-0.0038,-0.9677,-0.2393,-0.7422,-0.8402
1gz9,-1.5732,0.8100,-2.9435,-0.2456,0.0633,1.3067,-1.2949,-0.712,-2.1533,1.563,3.2968,-0.8144,-0.9016,-0.9148,-1.0848,-1.2618,0.2743,0.3019,-0.7232,2.7681,0.0016,0.5875,0.0521
1h23,1.6294,1.4799,1.8965,-0.7908,1.2569,0.116,0.0878,-1.2267,0.9558,-0.4075,-0.0311,-0.8144,0.6374,1.5405,3.1138,0.8446,1.3201,-0.1678,-0.0038,-0.7009,1.4138,-0.4226,0.7109
1ha2,-0.0293,0.4387,-0.9135,-0.2792,-0.1425,-0.4115,0.3198,0.5195,0.9754,-0.8454,-0.7085,-0.26,0.8008,-0.144,-0.2953,1.1115,-1.3078,-0.4026,-0.7232,-0.434,-0.4143,-1.0205,-1.0441
1hfs,2.7121,1.5946,2.2465,-0.7268,2.3295,-2.2427,1.4508,0.991,1.9564,0.0304,0.2673,-0.3067,2.8249,3.2623,2.1095,2.6524,2.7145,-0.6375,-0.7232,0.0996,2.9854,0.2489,0.4441
1hi4,-1.1308,1.2081,-1.9635,-0.4461,-0.0838,-0.0573,-0.4335,1.2352,-0.1346,1.563,-0.3377,1.9609,-0.9016,-1.214,-1.2831,-0.8678,0.462,-0.6375,2.1545,1.4339,-0.3868,-0.1578,1.0579
1hk4,0.3114,1.6475,-1.1435,-0.2287,-0.56,2.0528,-0.3627,0.9258,0.6353,-0.6265,0.2697,-0.8144,-0.9016,4.0312,-0.8437,0.1139,-0.8251,-0.1678,-0.0038,-0.1672,-0.5408,-1.0453,-0.0739
1if7,2.2757,0.4224,4.0665,-0.5231,0.1935,-0.2306,0.3742,-1.1682,0.5888,-0.4075,-0.6869,0.7517,0.1038,0.8621,0.5715,0.8048,-1.0933,1.0064,1.4351,-0.434,-0.5533,-0.8331,-0.4053
1j16,-1.8916,0.1172,-2.6135,0.3726,-1.2488,0.7716,-2.0498,-1.7141,-0.3983,-1.2833,-1.2932,-0.8144,-0.172,-0.6862,-1.2831,-0.1436,-0.9056,-0.6375,-0.0038,-1.2346,-1.3886,-1.276,-0.812
1j17,-0.3891,0.2913,-1.2335,-0.9165,0.7813,-0.2608,0.8833,-0.9536,0.984,-0.1886,-0.6916,0.159,0.0517,1.3966,2.8506,0.792,0.6497,-0.6375,-0.7232,-0.434,0.3562,-1.276,-0.3931
1jaq,-0.3974,1.5491,-1.9735,3.0645,-0.6385,0.1311,0.3908,-0.9891,-0.6727,0.2493,-0.2902,-0.1815,-0.35,-0.379,-0.4901,-1.2618,-0.2888,1.4761,0.7156,0.0996,-0.4569,0.2553,-0.0011
1jq9,0.5759,1.6096,1.9965,0.3381,1.6616,-1.6549,1.1709,0.9695,-1.0833,1.3441,1.947,-0.8144,1.3524,1.1705,0.5869,0.7858,1.3738,0.5367,2.1545,0.9002,1.2966,0.7822,3.7658
1jqd,-1.5577,0.3983,-1.2935,-0.5656,-0.1741,0.2592,-0.3489,0.9259,-1.2116,0.6872,0.9344,0.9146,-0.9016,-0.9649,-0.3044,-0.8678,0.0598,-0.6375,0.7156,0.0996,0.2693,0.1651,0.3044
1jqe,1.1447,1.1493,-0.0135,-0.2759,0.4326,0.2215,-1.3764,0.4121,1.2668,-0.8454,-0.3761,-0.2381,-0.4347,1.8239,0.6275,0.0284,0.4352,0.0671,-0.7232,-0.9677,0.1364,-1.276,-0.3946
1jys,-3.0988,0.7589,-2.9335,-0.2214,-1.2174,0.5154,-2.14,-0.841,-0.1567,-0.6265,-0.6366,0.9146,-0.9016,-1.214,-1.2831,-0.8678,-1.3078,-0.6375,0.7156,-1.2346,-1.4828,-1.0738,-0.7858
1k4g,-0.9042,0.5442,-0.6035,-0.493,-0.4364,-0.1101,0.0707,-0.6561,0.2031,-0.1886,-0.2855,0.3383,-0.4282,-0.4432,-0.0066,-0.0007,-1.0128,-0.6375,-0.7232,-0.9677,-0.5019,-0.1116,-0.5741
1k9s,-0.6245,1.1595,0.0665,-0.4605,-0.5348,0.3949,-1.5672,-0.712,-0.9012,0.2493,0.2895,-0.2863,-0.9016,-1.214,-1.2831,-0.8868,0.1134,0.5367,2.8739,-0.1672,-0.1669,0.3632,-0.0979
1kv1,-0.5449,0.4735,-0.5135,-0.16,-0.4689,0.2441,0.2179,-1.4663,1.1003,-0.6265,-0.9673,-0.26,0.3927,-0.1584,0.9148,0.0175,-1.1469,-0.6375,-0.7232,-0.9677,-0.384,-0.5399,-1.0405
1l2s,-0.6793,0.6554,-1.8635,-0.2581,-0.7205,0.5757,0.045,0.9258,0.3457,-0.6265,-0.6854,0.159,-0.4347,0.3394,-0.7668,0.1594,-0.7983,-0.6375,-0.7232,-0.1672,-0.6633,0.3934,-0.3444
1l83,-2.6184,0.2480,-3.0535,0.268,-1.5179,1.1711,-2.2354,-4.3218,0.3829,-1.7212,-1.2932,-0.8144,0.5576,-1.214,-1.2831,-0.1286,-2.005,-0.6375,-0.7232,-1.2346,-1.7068,-1.276,-1.3051
1li3,-1.6855,0.1905,-2.2035,0.2418,-1.4183,1.2389,-2.1736,0.5338,0.4935,-1.5023,-0.9796,-0.8144,-0.1915,-0.4223,-1.0409,-0.3494,-1.8173,-0.6375,-0.7232,-0.9677,-1.4619,-0.9873,-1.1941
1li6,-3.4800,0.4337,-2.6535,0.179,-1.4327,1.2163,-2.2022,-0.9973,0.2709,-1.5023,-0.9877,-0.8144,-0.9016,-0.4079,-0.4897,-0.5132,-1.8709,-0.4026,-0.7232,-1.2346,-1.6971,-1.1169,-1.1066
1lol,-1.1245,0.5369,-0.0635,-0.4515,-0.216,0.0181,-0.1188,1.2311,-0.7474,1.1251,-0.3752,0.8395,-0.9016,-1.214,-1.2831,-0.4135,0.033,-0.6375,0.7156,1.167,-0.3369,0.7586,0.2478
1loq,-2.0900,0.4255,-2.7535,-0.0977,-0.4945,0.4175,-0.0502,1.2311,-0.7093,0.6872,-0.3752,0.2631,-0.9016,-1.214,-0.6942,-0.2287,0.1671,-0.6375,-0.7232,1.167,-0.3557,1.1847,0.6474
1m0n,-0.6556,1.3365,-4.2335,0.1017,-0.1164,0.2366,-0.0146,1.2338,0.8876,0.4683,-0.9796,1.2924,-0.9016,0.1986,0.5762,-0.5431,1.2397,-0.1678,1.4351,0.9002,0.595,1.4077,2.4885
1m0q,-1.4088,1.1412,-2.5635,0.7803,-0.3959,0.2366,-0.4271,1.2338,0.6028,0.4683,-0.9796,1.2924,-0.9016,-0.6155,0.2458,-0.5431,1.1056,-0.1678,1.4351,0.9002,0.2727,1.7488,2.0859
1m2q,-0.1921,0.3585,-0.3535,-0.2658,-0.5198,-0.5697,0.1639,0.5243,0.5613,-0.1886,-0.3948,-0.8144,-0.6584,-0.4223,-0.9918,0.3182,-0.3156,-0.6375,-0.7232,-0.434,-0.2589,-0.8468,-0.3997
1mq6,2.3365,1.1027,4.6965,-0.815,0.4704,-0.5396,0.6231,0.3877,1.5376,0.2493,0.241,0.3392,0.4992,-0.1884,0.6638,0.8252,0.9983,-0.6375,1.4351,-0.1672,0.646,-0.8771,-0.4789
1n2v,-2.1926,0.2881,-2.3735,-0.2012,-0.7025,0.3647,-0.2157,-1.3258,-0.0498,-0.4075,-0.9877,-0.2381,-0.3693,-0.9357,-0.3811,-0.4325,-0.5838,-0.4026,-0.0038,-0.7009,-0.8139,-0.036,-0.3251
1nc1,1.0393,0.7433,-0.3335,-0.4871,-0.5308,0.7415,-1.5243,-0.7783,-0.1381,-0.1886,0.2563,0.3383,-0.9016,-0.68,-0.3801,-0.683,0.4084,-0.6375,-0.0038,-0.434,-0.0227,0.0954,0.257
1ndw,-0.0076,0.6816,-1.2235,-0.1013,-0.5457,0.1462,-0.2115,-0.7049,0.217,-0.6265,-0.3481,-0.2381,0.3144,-0.4144,-0.7212,0.4243,0.1671,0.3019,-0.7232,-0.7009,-0.3912,-0.231,0.1788
1ndy,0.8539,0.3855,-0.2835,-0.4012,-0.1097,-0.2457,-0.1424,-0.7049,0.5723,-0.6265,-0.3481,-0.2381,0.8008,0.0561,-0.7212,0.8021,0.033,-0.1678,-0.7232,-0.7009,-0.0346,-0.2238,-0.0957
1ndz,1.3826,1.4804,1.6565,-0.9225,1.1632,-1.5871,0.6244,-0.7049,0.7932,0.4683,0.5385,0.3383,-0.172,0.6191,1.577,1.1921,2.205,-0.1678,-0.7232,-0.434,1.5653,-0.261,1.5982
1nfy,1.5499,0.3654,2.4365,-0.7882,0.3935,-0.095,0.6076,-1.3403,0.1875,-0.1886,-0.9924,0.159,0.2949,0.5837,0.2573,0.7539,0.5157,-0.6375,-0.7232,-0.434,0.3055,-1.006,-0.6052
1nhu,-0.8734,0.8868,-0.7935,-0.3043,0.2219,-0.5245,0.7489,0.9693,1.4086,-0.8454,-0.3846,-0.8144,1.7347,0.8698,-0.5956,2.0141,-1.2273,-0.6375,-0.7232,-0.434,-0.5349,-0.74,-0.9114
1nja,-0.7456,0.5975,-0.1435,-0.1787,-0.5711,0.4476,-0.0533,1.2311,-0.3032,0.4683,-0.3377,0.2631,-0.9016,-0.9501,-0.5461,-0.5523,-0.4765,1.0064,-0.0038,0.6333,-0.4462,1.0481,-0.045
1nje,-0.7173,0.3273,-2.6535,-0.1787,-0.5711,0.4476,-0.0533,1.2311,-0.3032,0.4683,-0.3377,0.2631,-0.9016,-0.9501,-0.5461,-0.5523,-0.1011,0.3019,-0.0038,0.6333,-0.4597,1.5687,0.3659
1nny,1.5125,1.4785,1.2065,-0.8653,2.208,-3.3354,0.9921,0.935,0.34,1.1251,1.4729,-0.8144,2.0168,1.6253,1.3227,2.2817,1.7492,-0.6375,-0.7232,1.4339,1.6728,2.237,1.0799
1nvq,2.1378,0.4819,1.7965,-0.8289,1.2758,-0.826,0.7801,-0.967,0.7317,0.0304,0.8142,-0.8144,0.5576,-0.387,1.0006,0.5969,0.1403,-0.6375,-0.7232,-0.1672,0.9592,0.0168,-0.4108
1nwl,-0.7571,1.4397,-4.0635,-0.321,0.0813,-0.0046,0.5303,0.9165,-0.2099,0.4683,0.2924,-0.2381,-0.0327,-0.1007,2.4503,-0.52,0.0062,-0.6375,0.7156,0.0996,-0.3664,-0.6573,0.9903
1o0h,-0.9744,0.4560,-0.5335,-0.5488,-0.1291,0.1612,-0.2803,1.3418,-0.2696,1.563,-0.0241,1.9704,-0.9016,-1.214,-1.2831,-0.8678,1.3201,-0.6375,-0.0038,1.4339,-0.0312,0.5408,1.3723
1o3f,-0.2056,0.8793,1.5065,-0.6096,0.1494,-0.9013,-1.5374,0.5195,0.6865,-0.8454,-0.6741,-0.8144,0.8008,0.3485,-0.2211,1.1785,0.5157,-0.6375,-0.0038,-0.9677,-0.2617,-0.6908,1.9106
1o3p,0.6634,0.7804,0.2065,-0.7179,0.0703,-0.517,-1.6306,0.4885,0.3936,-0.4075,-0.3833,-0.2381,-0.6584,1.2189,-0.7544,0.0453,0.6497,-0.6375,-0.7232,-0.7009,0.0082,-0.6908,0.5608
1om1,0.1658,0.4006,0.3165,-0.3825,-0.0829,-0.5622,0.1844,0.9903,0.2411,-0.6265,-0.3799,-0.8144,0.3144,-0.4223,-0.0281,0.7466,-0.6106,-0.6375,-0.7232,-0.434,-0.0498,-1.0398,-0.3454
1p1q,-0.0193,0.5476,-1.5635,0.4506,-1.0519,0.5832,-0.3065,0.9258,-1.0058,-0.4075,-0.0571,-0.8144,-0.9016,-0.9148,-0.6455,-0.5843,0.3011,1.2413,0.7156,-0.434,-0.78,0.7523,0.9527
1pb9,0.1005,1.0737,-2.8335,0.0382,-1.4668,1.2992,-0.5896,-1.2388,-0.8582,-0.8454,-0.9425,-0.1815,-0.9016,-1.214,-1.2831,-1.2618,-0.5838,1.2413,2.1545,-0.7009,-1.5958,0.7123,-0.1862
1pbq,-1.9259,0.4433,-0.1835,-0.0545,-0.982,0.6134,-0.6693,0.9174,0.3595,-0.8454,-0.3718,-0.2381,0.0323,-0.6862,-0.7497,-0.2033,0.0598,-0.6375,-0.7232,-0.434,-0.7117,-0.4103,-0.2493
1ppm,1.9896,0.9778,-0.6535,0.0875,1.2043,-1.1726,0.9816,0.0888,1.0091,0.9062,0.2662,1.3502,2.082,0.4062,0.1475,0.9746,1.0788,-0.6375,-0.7232,1.167,1.2085,0.7984,-0.0487
1pr5,-0.6660,0.4387,-2.5335,-0.4607,-0.6269,0.4476,-1.5752,-0.712,-0.5604,0.0304,0.5699,0.3383,-0.9016,-0.9501,-0.9855,-0.683,-0.4765,0.0671,-0.0038,-0.1672,-0.5881,0.1184,-0.2854
1pxo,0.9332,0.6972,2.2465,-0.592,-0.3792,-0.5547,-0.5042,-0.9133,0.8315,0.0304,-0.6162,0.9146,-0.2021,-0.387,0.0695,0.3696,-0.7715,0.0671,-0.0038,-1.2346,-0.1077,-0.7494,-0.2631
