%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 76 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.511584253769103
%.kernel.kernels[0].lengthscales: [1.78804003e+00 2.40481870e-01 1.95671292e-05]
%.kernel.kernels[1].variance: 0.47761458505927107
%.likelihood.variance: 1.176843187747037
%loglikelihood: -7059.3539879851005
%RMSE:1.698
%Pearson_correlation_coefficient:0.679,P-value:0.000
%Spearman_correlation_coefficient:0.680,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP
1o0h,-1.4723,0.0611,-0.5335,-0.0312,-0.1291,-0.2696
1o3f,-0.1151,0.6672,1.5065,-0.2617,0.1494,0.6865
1o3p,0.1631,1.5117,0.2065,0.0082,0.0703,0.3936
1om1,0.0645,1.5117,0.3165,-0.0498,-0.0829,0.2411
1p1q,0.4913,0.4245,-1.5635,-0.78,-1.0519,-1.0058
1pb9,-1.8283,1.5143,-2.8335,-1.5958,-1.4668,-0.8582
1pbq,-0.4345,1.5128,-0.1835,-0.7117,-0.982,0.3595
1ppm,1.5193,1.5137,-0.6535,1.2085,1.2043,1.0091
1pr5,-0.5731,0.7051,-2.5335,-0.5881,-0.6269,-0.5604
1pxo,0.3109,1.5127,2.2465,-0.1077,-0.3792,0.8315
1pz5,0.7745,1.5285,-1.0535,2.0405,3.1383,-1.9879
1q7a,-0.0533,1.5127,0.7365,-0.4483,-0.1916,0.9396
1q8t,-0.1514,1.5121,-1.6935,-0.363,-0.5788,0.3121
1rdi,-1.4402,0.1987,-4.3935,-1.6242,-1.1983,-0.6111
1rdj,-3.3229,0.5231,-4.7935,-1.644,-1.2766,-0.8126
1rdl,-1.4024,0.8171,-4.2135,-1.6012,-1.2721,-1.1292
1re8,1.6498,1.5149,3.0665,1.4416,0.6968,0.4826
1rnt,-1.3849,0.4739,-1.2635,-0.5375,-0.2728,-0.6584
1s39,-1.0823,1.5128,1.2465,-1.1721,-0.9942,0.019
1sl3,1.4491,1.5143,5.3965,1.2735,0.5592,0.3807
1slg,-0.2492,1.5282,-2.5535,1.1519,2.3798,-2.4523
1sqa,-0.0335,1.5125,2.7565,0.0172,0.5274,0.1196
1sv3,-1.2322,1.5132,-2.1035,-1.303,-1.2607,-0.1186
1syh,-0.8409,1.5132,-0.0435,-0.4014,-0.6758,-1.2503
1tmn,-0.1102,1.5137,0.8465,0.1415,0.8381,-0.237
1toi,-1.0068,1.5129,-2.4035,-1.1212,-1.1866,-0.023
1toj,-0.9495,1.5129,-3.0635,-1.069,-1.1866,-0.023
1tok,-1.7388,1.5144,-3.9835,-1.457,-1.5596,-1.048
1trd,-0.4407,0.1549,-1.0535,-1.4304,-1.3868,-0.2977
1tsy,-1.0098,0.1762,-1.4935,-0.5265,-0.5168,-0.3922
1ttm,-0.3822,1.4831,0.8965,-0.7465,-0.275,0.3698
1tyr,-1.0621,1.0048,0.5465,-1.2971,-0.21,1.1782
1u1b,0.5814,1.5173,1.3465,0.8462,1.9049,0.0631
1u2y,-2.2522,0.3692,-4.7135,-1.2398,-1.197,-1.1162
1u33,0.0390,1.5178,-1.8535,0.958,0.2531,-2.2554
1utp,-1.8983,0.6620,-5.0135,-1.3623,-1.0187,0.2488
1uwt,-1.7839,0.3124,-0.4835,-0.7969,-1.197,-1.1162
1v2o,-2.0039,0.3140,-1.7235,-0.5976,0.3213,-0.5563
1v48,0.1150,1.5120,1.3465,-0.0874,-0.3549,0.3313
1vfn,-0.6942,0.6633,-0.8535,-1.3172,-1.1655,-0.2457
1vzq,0.5679,1.5132,0.9865,0.9485,0.6058,-0.8287
1x1z,0.0318,1.5137,4.6065,0.255,-0.4763,-0.8
1xgj,-0.7632,1.5121,-0.4535,-0.6246,-0.5808,-0.4505
1y1m,-1.5539,1.5136,-4.6335,-1.3943,-1.3146,-0.6633
1y6q,2.7993,0.2465,5.2465,-0.0804,-0.3795,-0.359
1ydt,0.8344,1.5124,0.8665,0.5575,0.2757,0.6497
1zc9,-0.6120,1.5122,-3.2335,-0.6892,-0.814,-0.0371
1zoe,0.0533,1.5147,0.9465,-0.6317,-0.9669,1.3048
1zs0,0.8102,1.5129,-0.3035,0.3656,0.0788,0.9961
1zvx,0.8191,1.5129,2.7665,0.3738,0.0788,0.9961
2aou,0.4818,1.5125,1.2765,0.0526,0.0606,1.0224
2ayr,1.6556,1.5143,2.8365,1.1954,1.1983,1.3593
2b1v,-0.0188,1.5124,-0.7135,-0.3892,-0.5026,0.7255
2b7d,0.1426,1.5133,2.2465,0.5968,0.9154,-0.7793
2baj,1.1472,1.5153,1.9465,0.3602,-0.0325,1.749
2bak,1.5545,1.5141,0.9765,1.3596,1.5439,0.859
2bok,-0.0004,1.5124,0.0965,0.3754,0.4303,-0.7682
2brb,0.2664,1.5127,-1.5935,-0.1793,-0.0044,1.0836
2brm,0.2232,1.4672,-0.5635,-0.1474,0.0454,1.002
2bz6,0.4892,1.5122,0.6365,0.5595,0.1753,-0.2108
2bzz,0.5709,1.3951,-0.0235,1.7001,1.8861,-0.1794
2c02,-1.7002,0.1242,-2.4135,-0.3694,-0.1291,-0.2696
2ceq,-0.5862,0.1751,0.8265,-0.6656,-1.0165,-0.6958
2cer,0.1506,1.5123,2.7665,0.1345,-0.3332,-0.1458
2cet,0.0419,1.5121,1.5665,0.0354,-0.3332,-0.1458
2cgr,-0.0944,1.5117,0.8265,-0.0725,0.1376,0.0284
2ctc,-0.9755,1.5128,-2.5635,-0.9657,-1.165,-0.3401
2d0k,-0.4828,1.5128,-1.4335,-0.0202,0.2332,-0.973
2d1o,1.1744,0.6618,1.2465,0.6458,0.7374,-0.1627
2d3u,0.1180,1.5121,0.4665,-0.1676,0.0129,0.7135
2d3z,0.1261,1.5122,0.1865,-0.214,-0.1089,0.7959
2drc,-0.5993,0.3532,3.4365,-0.0375,0.2714,-0.8765
2er9,2.1006,1.5221,0.9465,2.3991,3.2866,0.2677
2f01,1.3668,0.1287,6.5465,-0.4089,-0.8944,-0.3025
2f80,2.9779,0.0542,1.7265,1.3327,1.0178,0.5951
2fai,0.0381,1.5124,-0.2135,-0.3496,-0.4066,0.8013
2fdp,1.7509,1.5145,1.1365,1.3288,1.3567,1.3127
2flb,-0.1243,1.5117,-0.7135,-0.1624,-0.042,0.1067
2fzc,-0.8181,1.5123,-3.7535,-0.7618,-0.8361,-0.3441
2g5u,0.1441,1.5155,2.0365,-0.6419,-1.0185,1.5203
2g8r,-1.4283,1.5156,-2.4635,-0.6984,-0.1343,-1.6154
2g94,1.8137,1.5146,3.0665,1.8212,1.5943,0.3032
2gss,-0.7193,1.5129,-1.5135,-1.0226,-0.8261,0.563
2hdq,-1.5187,1.5139,-5.0535,-1.602,-1.436,-0.1023
2i0d,3.6242,0.6752,5.6465,1.695,1.5969,0.9904
2j77,-1.2542,0.0937,-1.5635,-1.0918,-1.2037,-1.367
2j78,-1.7475,0.3140,-0.0335,-0.7641,-1.197,-1.1162
2qwb,0.1311,0.4081,-3.7135,-0.4501,-0.7588,-1.7408
2qwd,-1.0945,1.5144,-1.6035,-0.4574,-0.7254,-1.724
2qwe,-0.7174,0.4277,1.0265,-0.0538,-0.5432,-2.2103
2rkm,-0.6956,1.5137,-2.5535,-0.1517,-0.5096,-1.4751
2std,2.5578,0.6631,3.3965,-0.2077,-0.5807,1.3228
2usn,0.2142,1.4657,0.0565,-0.3581,-0.0366,1.0412
3gss,0.0065,1.5133,-0.6335,0.5531,0.4548,-1.1979
3pce,-2.8168,0.6751,-4.4535,-1.1085,-1.2254,-0.2339
3pch,-0.8893,1.5133,-1.0535,-1.0456,-1.3356,-0.0107
3pcj,-0.3453,0.6620,0.7665,-1.0074,-1.257,-0.6146
3std,1.2988,1.5145,4.6565,0.6668,0.2485,1.4455
4er2,2.5115,0.3142,2.8465,1.2211,1.6844,-0.0959
4fiv,2.4949,0.6759,0.0665,2.4414,2.9702,0.9633
4tln,-1.5509,1.5136,-2.7335,-1.482,-1.2462,-0.3991
5abp,-0.5767,0.6646,0.1865,-0.9019,-1.2721,-1.1292
5er1,0.1916,1.5135,-0.4335,0.4089,1.0283,-0.1295
6fiv,1.0069,0.6622,1.6265,0.2216,0.4965,0.5294
6rnt,-2.7674,0.1251,-4.0835,-0.771,-0.3818,-0.4407
6std,0.4578,1.5138,2.1865,-0.0586,-0.5701,0.9623
8abp,-0.5838,0.6650,1.5465,-0.9083,-1.2721,-1.1292
1f8b,-2.0545,0.1777,-1.0535,-0.4251,-0.7984,-1.4928
1f8c,-1.0996,1.5144,0.9465,-0.462,-0.7254,-1.724
1f8d,-1.0021,1.5145,-3.0535,-0.3731,-0.7254,-1.724
1hnn,-0.9387,1.5123,-0.2135,-0.8217,-0.8064,-0.4592
1igj,-0.0121,1.5158,3.5465,-0.0707,1.0154,0.62
1lbk,-1.6173,0.2079,-3.2735,-0.654,-0.8019,-1.8597
1lor,0.0340,1.5137,4.6065,0.257,-0.4763,-0.8
1n1m,-1.0375,1.5126,-0.7535,-1.0625,-1.0315,-0.1751
1o5b,-0.5821,0.3119,-0.6835,-1.0228,-0.9682,0.1622
1oyt,0.4141,1.5121,0.7865,0.6006,0.409,-0.3852
1ps3,-0.7036,0.4308,-4.1735,-0.5265,-1.0186,-1.4529
1q8u,-0.0162,1.5116,-0.4935,-0.0782,-0.0562,0.1373
1qi0,-2.6183,0.1905,-4.1035,-0.9622,-0.6237,-1.7996
1r5y,-0.9857,1.5125,0.0065,-1.0255,-0.9467,-0.1098
1sln,-0.0510,1.5134,0.1865,0.4659,0.7301,-0.9819
1uto,-2.4442,0.6659,-4.1835,-1.436,-1.1944,0.0084
1w3k,-0.9250,1.5150,-2.1535,-0.237,-0.6567,-1.8615
1w3l,-0.3496,1.5183,-0.1735,0.6733,0.0411,-2.5318
1w4o,-2.2768,0.1782,-1.2335,-0.7145,-0.4945,-0.7093
1xd0,0.3013,1.5294,0.6665,2.043,1.7599,-3.7373
1yc1,0.7620,1.5131,-0.2835,0.519,-0.0686,0.4208
1z95,1.1692,1.5149,0.6665,0.7615,-0.0727,0.7505
1zea,-0.8008,1.5455,-1.2335,1.0454,3.1498,-3.1182
2cbj,0.8178,0.1394,1.8165,-0.2476,-0.3886,-0.3936
2fvd,-0.6934,0.8141,2.0665,0.5896,0.1453,0.2985
2g70,-0.7269,1.5123,1.3165,-0.7128,-0.8608,-0.2676
2hb1,-1.0650,1.5131,-2.6535,-1.0227,-1.2539,-0.444
2iwx,0.4659,1.5084,0.2265,0.0422,-0.2722,1.0741
2j62,0.7413,1.5129,4.8865,0.6544,0.0844,0.0945
2jdm,-0.9209,0.1794,-1.0535,-1.2678,-1.1983,-0.6111
2jdu,-0.9347,0.1787,0.2665,-1.2774,-1.1983,-0.6111
2jdy,-2.8554,0.2578,-2.0835,-1.248,-1.1823,-0.9277
2obf,0.3736,1.5122,2.3965,0.2297,-0.1669,0.2087
2ole,0.3015,1.5121,0.7965,0.0406,0.2131,0.7003
2p4y,2.1341,1.5164,2.5465,1.468,0.9707,1.6761
2pcp,0.0239,1.5124,2.2465,-0.3479,-0.4121,0.7613
2qbp,0.8282,1.5122,1.9465,0.6878,0.716,0.5029
2qbr,0.2442,1.5090,-0.1235,-0.0661,-0.0871,0.5663
2qmj,-1.8287,0.2765,-2.2435,0.8412,0.9594,-3.0916
2r23,-1.2401,1.5184,-2.7335,-0.0807,0.0842,-2.6618
2v00,-0.5996,1.5122,-2.7935,-0.7572,-0.7117,0.2137
2v7a,0.6596,1.5122,1.8465,0.6496,0.7936,0.2412
2vl4,-0.5307,0.6622,-0.4435,-1.0627,-1.2037,-1.3038
2vo5,-0.4992,1.5123,-1.5635,-0.2316,-0.4411,-0.7779
2vot,1.6189,0.6627,0.6865,0.0716,-0.3771,-0.1991
2vvn,1.3370,0.6723,0.8465,-0.4191,-0.9329,-0.5969
2vw5,0.8677,1.5137,2.0665,0.437,0.8692,1.3107
2w66,-1.0265,1.5141,-2.4035,-0.5043,-0.8901,-1.5196
2wbg,-0.2257,0.6618,-2.0035,-0.0413,-0.3692,-0.1927
2wca,-0.0187,0.6696,-0.8535,-0.3913,-0.1893,-0.1532
2weg,-0.2090,0.6622,0.0465,-1.2527,-1.1937,0.009
2wtv,0.7203,0.7154,2.2865,0.6744,0.4153,1.26
2x00,1.4305,1.5156,4.8765,0.7981,1.231,1.868
2x0y,-0.6534,1.5124,-1.8535,-0.3793,-0.5691,-0.8186
2x8z,-0.6572,0.2261,1.5065,-0.9569,-1.0426,-0.3545
2xb8,0.0556,0.4253,1.1365,0.2719,-0.5519,-0.7438
2xbv,1.1596,1.5128,1.9765,0.9874,0.6493,0.4789
2xdl,-0.1974,1.5128,-3.3535,-0.5032,-0.8434,0.4434
2xhm,1.4287,1.5134,0.3465,1.2173,0.8421,0.6073
2xnb,0.5379,1.5120,0.3765,0.4139,0.1711,0.2759
2xys,0.2009,1.5116,0.9665,0.2139,0.1873,0.0072
2y5h,0.7372,0.4293,-0.6635,0.3274,0.4661,0.4351
2yfe,0.1079,1.5122,0.1765,-0.2332,-0.1023,0.8055
2yge,0.1690,0.6673,-1.3935,0.729,0.9818,0.6053
2yki,1.8372,1.5149,3.0065,1.3028,0.9696,1.4041
2ymd,0.9093,0.6620,-3.2935,-0.8843,-0.8496,0.066
2zjw,0.0936,1.5122,1.2465,-0.1003,-0.456,0.2677
2zwz,-1.5660,1.5143,1.3365,-1.0414,-1.0531,-1.4785
2zx6,-0.3582,1.5120,4.1465,-0.0726,-0.054,-0.6779
2zxd,-1.3160,1.5131,-1.2335,-1.0595,-1.0717,-0.8544
3acw,0.1485,1.5119,-1.6935,-0.0735,-0.2264,0.4332
3ag9,-0.4631,1.5456,1.5965,1.2528,3.4568,-2.7186
3ao4,-0.3756,1.4839,-4.3835,-0.676,-0.7955,0.294
3b3s,-0.9942,0.2493,-3.9035,-1.415,-1.3079,-0.6319
3b3w,-0.9301,0.2486,-2.2635,-1.3489,-1.3079,-0.6319
3b68,1.6194,1.5176,1.9465,1.1245,-0.0298,0.8925
3bfu,-0.5226,0.6625,-0.1835,-0.9449,-1.1736,-1.1429
3bkk,1.4701,1.5144,-0.3735,1.4041,0.7046,0.161
3bpc,-1.1409,1.5150,-1.6535,-0.3912,-0.0064,-1.6724
3cft,-0.0043,0.8117,-2.2635,-0.923,-0.7888,0.2718
3cj2,-0.6243,1.5133,-1.6035,-1.0085,-0.6427,0.8336
3coy,0.5972,1.5145,-0.4335,0.9989,0.274,-1.0419
3cyx,1.9404,0.1280,1.5465,2.0913,2.1809,0.3794
3d4z,-0.6638,0.1738,-1.5635,-0.7276,-1.0165,-0.6958
3dd0,1.0213,0.4389,2.5465,-0.8838,-0.7636,0.2769
3dxg,-2.2716,0.1762,-4.0535,-0.701,-0.4945,-0.7093
3e93,1.8263,1.5145,2.3965,1.4084,1.1678,1.1982
3ebp,-0.1667,1.5125,-0.5435,-0.2851,0.2233,0.4448
3ehy,-0.6406,1.5123,-0.6035,-0.5712,-0.8202,-0.4103
3ejr,0.2755,1.5119,2.1165,0.294,-0.0118,-0.1154
3f17,0.1590,1.5124,2.1765,-0.1167,-0.4712,0.4563
3f3a,-1.3077,0.3152,-2.2635,-0.6129,-0.7671,-0.423
3f3c,-0.7615,1.5130,-0.4335,-0.684,-1.0911,-0.5284
3f3e,-0.8655,0.2515,1.2465,-1.2816,-1.3079,-0.6319
3f80,-1.0256,1.5133,-2.2335,-0.8314,-1.1949,-0.8165
3fcq,-0.8862,1.5126,-3.6835,-0.979,-1.0623,-0.0493
3fv1,1.1122,0.6639,2.8465,0.0911,-0.5826,-2.1899
3g0w,0.6876,1.5142,3.0665,0.2476,-0.4744,0.758
3g2n,-0.2234,1.5132,-2.3635,-0.0561,-0.6673,-0.6863
3g2z,-1.2001,1.5130,-4.0935,-1.2624,-1.07,-0.0602
3gbb,-0.7712,1.5137,0.4465,-0.3366,-0.7978,-1.3095
3gcs,2.1565,0.6745,0.7965,0.8741,0.1163,1.5731
3ge7,-0.0607,1.5122,2.2465,0.2272,0.4317,-0.528
3gnw,2.0727,1.5165,2.6465,1.4307,1.6114,1.9225
3gy4,-1.3165,1.5131,-1.3535,-1.2108,-1.2037,-0.527
3huc,0.2557,1.5128,-0.4635,-0.1542,0.1416,1.0612
3imc,-0.7304,1.5130,-3.4935,-1.0586,-1.0342,0.5338
3ivg,0.8700,1.5124,-2.1535,0.7186,0.3726,0.3638
3jvs,0.0028,1.5144,0.0865,-0.434,0.2853,1.2534
3k5v,0.6311,1.5132,-0.1535,0.1281,-0.1967,1.0601
3kgp,-1.2789,1.5130,-3.8835,-1.1807,-1.1876,-0.5089
3kv2,-1.2786,1.5142,0.8665,-0.8575,-1.2322,-1.3598
3kwa,-1.4522,1.5139,-2.3735,-0.9461,-0.7574,-1.3206
3l3n,-0.5037,0.6641,1.7265,1.2831,0.9671,-0.7404
3l4u,-0.8421,1.5142,1.0665,-0.2404,-0.5981,-1.6315
3l4w,-1.1374,0.6627,-0.4535,-0.7874,-1.0086,-1.5784
3l7b,-0.4653,1.5130,-4.0535,-0.2351,-0.7305,-0.8222
3lka,-0.9180,1.5127,-3.6335,-1.0213,-1.0976,-0.0312
3mfv,-1.0602,1.5132,-3.9335,-0.7766,-1.053,-0.9732
3mss,-0.8123,1.5130,-1.7935,-0.8897,-0.3497,0.2221
3myg,0.2180,1.5122,4.2465,0.1197,0.4694,0.419
3n7a,-1.2746,1.5136,-2.7535,-0.9898,-1.2429,-1.0151
3n86,0.4750,1.5148,-0.8135,0.5362,-0.4336,-0.4639
3nox,0.0164,1.5121,2.2065,-0.1812,0.0974,0.549
3nq3,-1.0654,1.5135,-2.6735,-1.3285,-1.0355,0.4416
3nw9,1.6014,1.5142,2.5465,1.4307,0.8478,0.4664
3oe5,0.9054,1.5136,0.4265,0.7767,0.0488,0.1486
3ov1,-0.3633,1.5126,-1.2535,-0.043,0.3606,-0.5755
3owj,-0.1679,1.5130,-0.3835,-0.5312,-0.0765,0.937
3ozt,0.6938,1.5130,-2.3235,0.7366,0.1316,-0.2066
3pe2,0.2874,1.5119,3.3065,0.0495,0.032,0.5615
3pww,1.7661,0.1242,0.8665,1.8734,2.1809,0.3794
3pxf,-2.1768,0.3560,-2.0235,-1.1766,-0.287,0.9378
3s8o,-0.1254,1.5130,0.3965,0.088,0.6643,-0.2149
3su2,0.5503,0.4245,0.8965,1.2127,2.0791,0.9821
3su3,0.6950,0.6816,2.6765,1.2833,2.4597,1.2135
3su5,0.5790,0.6704,-0.8735,1.1822,2.4597,1.2135
3u9q,-0.8945,1.5131,-2.0735,-1.1726,-1.0355,0.4416
3udh,-1.0113,1.5125,-3.6035,-1.005,-0.8648,-0.1849
3ueu,-0.6464,0.4380,-1.2135,-1.1876,-0.8549,0.682
3uex,-0.2475,0.2396,0.4665,-0.7477,-0.2815,1.4031
3uo4,0.6028,1.5127,0.0665,0.1629,0.2159,1.0939
3uri,1.3378,1.5263,2.5465,2.4234,3.2757,-1.5883
3utu,1.0620,1.5142,4.4665,1.2749,1.6478,-0.0303
3vh9,-0.8447,1.5131,-0.2135,-1.1442,-1.0879,0.4611
3zso,0.6654,1.5153,-1.3335,0.5444,1.4224,0.8142
3zsx,-0.0370,1.5134,-3.1735,-0.0368,0.6778,0.3192
4de1,-0.3112,0.6618,-0.4935,-0.2029,-0.2079,0.478
4de2,-0.0966,1.5116,-2.3335,-0.1454,-0.1059,0.0985
4des,-0.7499,0.6876,-0.6035,-0.3419,-0.5203,0.7479
4dew,-0.8447,0.4305,0.5465,-0.4522,-0.4526,0.5665
4djr,1.7041,1.5140,5.0665,1.4386,1.2748,0.8831
4djv,0.2955,1.5118,0.2665,0.1585,0.2762,0.4125
4g8m,0.0664,0.3895,1.4365,-0.9962,-1.1911,-1.3313
4gid,2.4847,1.5171,4.3165,2.4282,1.9497,0.4793
4gqq,-1.1950,1.5138,-3.5635,-1.4072,-0.9503,0.3791
1c5z,-2.2450,0.0925,-2.4435,-1.3742,-1.2488,-0.3983
1eby,2.3511,1.5164,3.2465,2.2029,1.6583,0.6113
1g2k,1.9009,1.5147,1.5065,1.7009,1.6816,0.8571
1gpn,-0.1533,1.4634,0.0265,-0.145,-0.2706,0.1917
1h22,1.3549,1.5131,2.6465,1.145,1.049,0.7154
1k1i,-0.1499,1.5146,0.1265,0.1774,1.0072,-0.3448
