%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 50 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6508567456571912
%.kernel.kernels[0].lengthscales: [0.36147224 0.30537304 0.64910271 1.00913709 0.30139496 0.55126363 1.86076357 0.7238796  0.27640168 0.52172518]
%.kernel.kernels[1].variance: 0.08517059040920728
%.likelihood.variance: 0.9380203235728295
%loglikelihood: -6787.177963391054
%RMSE:1.641
%Pearson_correlation_coefficient:0.696,P-value:0.000
%Spearman_correlation_coefficient:0.696,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha
1bma,0.5200,1.5310,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058,0.7858,0.6497,-0.4641,0.986,-0.8034
1bra,-2.2223,0.0792,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276,-2.0498,0.7716
1bxo,1.5330,1.5915,3.5465,1.7364,1.4263,0.6615,0.3225,0.538,-0.1586,2.0978,0.7709,1.2168,-0.8335
1c84,-1.2240,1.0229,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342,0.0453,-0.0475,0.2422,-0.4412,-0.419
1d7j,-1.1633,1.3054,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366,-1.2618,-1.9245,-1.0441,-0.6511,1.48
1det,-1.5403,0.9323,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,-0.3424,0.682,-0.0224,0.0181
1df8,0.8799,0.3046,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.4497,0.0879,-0.1887,1.0731
1dhi,0.0730,0.6252,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.262,0.0458,0.3451,-1.67
1e1v,-1.4202,1.3231,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791,-1.0648,-0.7178,-0.6908,-1.6511,0.3647
1e5a,-0.6210,1.5084,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418,-0.4647,-1.9245,-1.276,-2.0683,2.1055
1e66,0.6810,1.4614,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103,0.177,0.1939,-1.276,-1.353,0.5983
1ela,0.4441,1.4639,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784,-0.3325,0.0866,-0.1965,0.8574,-0.2156
1elb,0.4514,1.6564,0.6965,0.0673,0.4087,0.7071,1.185,1.1935,-0.3325,0.5157,-0.7219,0.8401,-0.2156
1f4e,-1.9680,0.5779,-3.4935,-0.8778,-0.6455,-0.1681,0.1697,-0.0893,-0.3325,-1.4687,-0.8707,0.2993,0.7038
1f4f,0.1349,1.6162,-1.8335,0.2608,-0.0808,-1.379,0.9549,-0.1408,-0.3325,-0.1815,-0.9643,0.4433,-0.4944
1f4g,0.5784,1.6537,0.0265,0.9626,0.2873,-1.5311,0.9549,-0.0712,-0.3325,0.9179,-0.2105,0.6771,-0.8938
1f5k,-2.1222,0.0834,-2.7135,-1.364,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.0933,-1.276,-2.0498,0.7716
1fcx,1.3437,1.6077,0.7365,0.8816,0.4517,1.291,2.0289,-0.4443,1.3075,-0.2888,-0.7195,-0.3302,-0.2382
1fcz,1.4759,1.3646,2.7665,0.666,0.149,1.1866,1.3158,-0.2541,1.1189,-0.4497,-0.6911,0.5617,-0.2608
1fd0,1.2165,1.5095,1.9465,0.9646,0.4873,1.3356,1.8068,-0.4506,1.3075,-0.2352,-0.6376,-0.3276,-0.6074
1fh7,-1.2675,0.7800,-1.2135,-0.6007,-0.7846,-1.6435,-1.214,-0.1141,-1.2618,0.2475,0.3119,-1.6578,1.5177
1fh8,-0.9051,0.6621,0.4365,-0.8072,-0.8068,-1.3264,-1.214,-0.1349,-1.2618,-0.2888,0.6572,-1.6803,1.5478
1fh9,-1.4853,0.9935,-0.0235,-0.3638,-0.7775,-1.3927,-1.214,-0.1508,-1.2618,0.7302,1.0052,-1.642,0.9977
1fkb,1.1405,1.7084,3.2465,0.94,3.5241,1.7675,3.427,-0.0669,0.2216,0.4889,-0.0215,1.6996,-0.7807
1fki,0.1668,1.6455,0.5465,-0.3495,0.4205,1.0845,0.7762,0.2869,-1.2618,-0.6642,-0.7504,0.8311,0.312
1fkn,1.0291,1.6003,2.3465,2.3645,2.6978,-2.1261,1.5131,1.6678,-0.1436,2.0173,2.2767,1.3675,-2.8833
1flr,1.4573,0.7824,3.5465,0.0456,-0.0416,0.6748,0.0846,-0.4441,1.1203,0.0866,-0.4885,-0.0671,-0.9541
1fo0,2.0717,1.7021,-0.8635,4.4805,3.3633,-2.1118,0.107,0.5969,0.9746,5.1547,3.7584,1.4624,-3.8705
1ftm,0.4992,0.3086,1.1565,-0.7727,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.0866,0.9219,-0.3065,0.5832
1fzk,1.2581,0.7446,1.9465,2.7587,3.3387,-1.3626,2.0474,-0.5839,0.7858,2.3391,0.8222,1.5354,-3.5916
1g7q,0.2589,1.6643,-0.3935,1.9569,2.132,-3.603,1.3538,0.4112,-1.2618,3.1972,2.1237,1.3675,-2.4763
1gni,0.2779,0.9300,1.6165,-0.4417,-0.2995,1.3341,0.456,2.9722,-0.8835,-1.3614,-1.1641,-0.5412,1.1635
1gpk,0.7408,1.0390,-1.0835,-0.2393,-0.4012,0.2579,0.1701,-0.1158,0.5181,-0.8251,-0.7422,-0.0178,0.5456
1gz9,-1.0218,1.4227,-2.9435,0.0016,0.0633,-2.1533,-0.9148,-0.2456,-1.2618,0.2743,0.5875,-1.2949,1.3067
1h23,1.5335,1.6642,1.8965,1.4138,1.2569,0.9558,1.5405,-0.7908,0.8446,1.3201,-0.4226,0.0878,0.116
1ha2,0.2682,0.9772,-0.9135,-0.4143,-0.1425,0.9754,-0.144,-0.2792,1.1115,-1.3078,-1.0205,0.3198,-0.4115
1hfs,3.3983,1.6803,2.2465,2.9854,2.3295,1.9564,3.2623,-0.7268,2.6524,2.7145,0.2489,1.4508,-2.2427
1hi4,-1.6100,0.6148,-1.9635,-0.3868,-0.0838,-0.1346,-1.214,-0.4461,-0.8678,0.462,-0.1578,-0.4335,-0.0573
1hk4,1.0442,1.7127,-1.1435,-0.5408,-0.56,0.6353,4.0312,-0.2287,0.1139,-0.8251,-1.0453,-0.3627,2.0528
1if7,1.7125,0.5300,4.0665,-0.5533,0.1935,0.5888,0.8621,-0.5231,0.8048,-1.0933,-0.8331,0.3742,-0.2306
1j16,-2.1885,0.0937,-2.6135,-1.3886,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-0.9056,-1.276,-2.0498,0.7716
1j17,-0.2150,0.2563,-1.2335,0.3562,0.7813,0.984,1.3966,-0.9165,0.792,0.6497,-1.276,0.8833,-0.2608
1jaq,-0.8819,1.5563,-1.9735,-0.4569,-0.6385,-0.6727,-0.379,3.0645,-1.2618,-0.2888,0.2553,0.3908,0.1311
1jq9,0.5195,1.5924,1.9965,1.2966,1.6616,-1.0833,1.1705,0.3381,0.7858,1.3738,0.7822,1.1709,-1.6549
1jqd,-1.4031,0.2904,-1.2935,0.2693,-0.1741,-1.2116,-0.9649,-0.5656,-0.8678,0.0598,0.1651,-0.3489,0.2592
1jqe,0.5083,1.6434,-0.0135,0.1364,0.4326,1.2668,1.8239,-0.2759,0.0284,0.4352,-1.276,-1.3764,0.2215
1jys,-2.6269,0.5073,-2.9335,-1.4828,-1.2174,-0.1567,-1.214,-0.2214,-0.8678,-1.3078,-1.0738,-2.14,0.5154
1k4g,-0.9079,0.7525,-0.6035,-0.5019,-0.4364,0.2031,-0.4432,-0.493,-0.0007,-1.0128,-0.1116,0.0707,-0.1101
1k9s,-1.3275,0.5118,0.0665,-0.1669,-0.5348,-0.9012,-1.214,-0.4605,-0.8868,0.1134,0.3632,-1.5672,0.3949
1kv1,-0.3107,0.5579,-0.5135,-0.384,-0.4689,1.1003,-0.1584,-0.16,0.0175,-1.1469,-0.5399,0.2179,0.2441
1l2s,-0.6987,1.3078,-1.8635,-0.6633,-0.7205,0.3457,0.3394,-0.2581,0.1594,-0.7983,0.3934,0.045,0.5757
1l83,-2.7482,0.3299,-3.0535,-1.7068,-1.5179,0.3829,-1.214,0.268,-0.1286,-2.005,-1.276,-2.2354,1.1711
1li3,-1.0672,0.2962,-2.2035,-1.4619,-1.4183,0.4935,-0.4223,0.2418,-0.3494,-1.8173,-0.9873,-2.1736,1.2389
1li6,-2.9952,0.4073,-2.6535,-1.6971,-1.4327,0.2709,-0.4079,0.179,-0.5132,-1.8709,-1.1169,-2.2022,1.2163
1lol,-0.6345,0.6966,-0.0635,-0.3369,-0.216,-0.7474,-1.214,-0.4515,-0.4135,0.033,0.7586,-0.1188,0.0181
1loq,-0.7278,0.3939,-2.7535,-0.3557,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,0.1671,1.1847,-0.0502,0.4175
1m0n,0.5599,1.6028,-4.2335,0.595,-0.1164,0.8876,0.1986,0.1017,-0.5431,1.2397,1.4077,-0.0146,0.2366
1m0q,-0.3753,1.6124,-2.5635,0.2727,-0.3959,0.6028,-0.6155,0.7803,-0.5431,1.1056,1.7488,-0.4271,0.2366
1m2q,-0.1354,0.5305,-0.3535,-0.2589,-0.5198,0.5613,-0.4223,-0.2658,0.3182,-0.3156,-0.8468,0.1639,-0.5697
1mq6,1.5534,1.0767,4.6965,0.646,0.4704,1.5376,-0.1884,-0.815,0.8252,0.9983,-0.8771,0.6231,-0.5396
1n2v,-0.7245,0.4431,-2.3735,-0.8139,-0.7025,-0.0498,-0.9357,-0.2012,-0.4325,-0.5838,-0.036,-0.2157,0.3647
1nc1,1.7831,0.5297,-0.3335,-0.0227,-0.5308,-0.1381,-0.68,-0.4871,-0.683,0.4084,0.0954,-1.5243,0.7415
1ndw,0.0075,0.8114,-1.2235,-0.3912,-0.5457,0.217,-0.4144,-0.1013,0.4243,0.1671,-0.231,-0.2115,0.1462
1ndy,0.7516,0.5760,-0.2835,-0.0346,-0.1097,0.5723,0.0561,-0.4012,0.8021,0.033,-0.2238,-0.1424,-0.2457
1ndz,1.2058,1.3988,1.6565,1.5653,1.1632,0.7932,0.6191,-0.9225,1.1921,2.205,-0.261,0.6244,-1.5871
1nfy,1.3525,0.5598,2.4365,0.3055,0.3935,0.1875,0.5837,-0.7882,0.7539,0.5157,-1.006,0.6076,-0.095
1nhu,-0.8590,1.4094,-0.7935,-0.5349,0.2219,1.4086,0.8698,-0.3043,2.0141,-1.2273,-0.74,0.7489,-0.5245
1nja,-1.1133,0.6181,-0.1435,-0.4462,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.4765,1.0481,-0.0533,0.4476
1nje,-0.6978,0.3921,-2.6535,-0.4597,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.1011,1.5687,-0.0533,0.4476
1nny,1.3572,1.6799,1.2065,1.6728,2.208,0.34,1.6253,-0.8653,2.2817,1.7492,2.237,0.9921,-3.3354
1nvq,1.3742,0.6382,1.7965,0.9592,1.2758,0.7317,-0.387,-0.8289,0.5969,0.1403,0.0168,0.7801,-0.826
1nwl,-0.1193,1.2262,-4.0635,-0.3664,0.0813,-0.2099,-0.1007,-0.321,-0.52,0.0062,-0.6573,0.5303,-0.0046
1o0h,-1.0779,0.3787,-0.5335,-0.0312,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,1.3201,0.5408,-0.2803,0.1612
1o3f,-0.0212,0.5507,1.5065,-0.2617,0.1494,0.6865,0.3485,-0.6096,1.1785,0.5157,-0.6908,-1.5374,-0.9013
1o3p,0.7880,0.9362,0.2065,0.0082,0.0703,0.3936,1.2189,-0.7179,0.0453,0.6497,-0.6908,-1.6306,-0.517
1om1,0.6233,1.0428,0.3165,-0.0498,-0.0829,0.2411,-0.4223,-0.3825,0.7466,-0.6106,-1.0398,0.1844,-0.5622
1p1q,0.4097,0.4084,-1.5635,-0.78,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.3011,0.7523,-0.3065,0.5832
1pb9,-1.4641,0.9445,-2.8335,-1.5958,-1.4668,-0.8582,-1.214,0.0382,-1.2618,-0.5838,0.7123,-0.5896,1.2992
1pbq,-0.8485,1.0925,-0.1835,-0.7117,-0.982,0.3595,-0.6862,-0.0545,-0.2033,0.0598,-0.4103,-0.6693,0.6134
1ppm,1.0323,1.5686,-0.6535,1.2085,1.2043,1.0091,0.4062,0.0875,0.9746,1.0788,0.7984,0.9816,-1.1726
1pr5,-1.4434,0.7589,-2.5335,-0.5881,-0.6269,-0.5604,-0.9501,-0.4607,-0.683,-0.4765,0.1184,-1.5752,0.4476
1pxo,0.1045,1.3978,2.2465,-0.1077,-0.3792,0.8315,-0.387,-0.592,0.3696,-0.7715,-0.7494,-0.5042,-0.5547
1pz5,0.4123,1.6779,-1.0535,2.0405,3.1383,-1.9879,1.2082,-0.0781,0.4284,2.3928,-0.188,1.4927,-3.2676
1q7a,-0.6990,0.9014,0.7365,-0.4483,-0.1916,0.9396,0.6477,-0.415,0.438,-1.1737,-1.2289,0.6228,-0.3663
1q8t,-0.2224,1.0176,-1.6935,-0.363,-0.5788,0.3121,0.7264,-0.0746,-0.4982,-1.1201,-1.0015,0.4051,0.6888
1rdi,-0.8854,0.8069,-4.3935,-1.6242,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-1.2273,1.1369,-1.8861,1.6081
1rdj,-1.1985,0.7715,-4.7935,-1.644,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-1.2273,0.9574,-1.9292,1.6081
1rdl,-1.3550,0.7759,-4.2135,-1.6012,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.3346,0.9806,-1.9119,1.578
1re8,1.4019,1.2476,3.0665,1.4416,0.6968,0.4826,1.1755,-0.7185,1.7002,1.3469,0.5143,0.6472,-1.3836
1rnt,-1.4059,0.6505,-1.2635,-0.5375,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,0.3011,1.0597,-0.0224,0.0181
1s39,-1.0197,0.9905,1.2465,-1.1721,-0.9942,0.019,-0.6862,-0.0618,-0.1827,-0.4497,0.3887,-0.2648,0.3722
1sl3,1.4243,1.4840,5.3965,1.2735,0.5592,0.3807,0.54,-0.8556,1.6106,1.4274,-0.198,1.3304,-1.3836
1slg,-0.6018,1.6888,-2.5535,1.1519,2.3798,-2.4523,0.1632,-0.188,0.4243,-0.1011,0.0934,1.4465,-3.1093
1sqa,-0.2316,1.4082,2.7565,0.0172,0.5274,0.1196,0.8685,-0.6656,1.5344,-0.1279,-1.1612,0.6411,-1.4816
1sv3,-1.3875,0.6854,-2.1035,-1.303,-1.2607,-0.1186,0.0846,0.2239,-0.3325,-1.281,-1.1315,-0.7659,0.6209
1syh,-0.2834,1.3033,-0.0435,-0.4014,-0.6758,-1.2503,-0.379,0.024,-0.2586,0.8375,2.0672,-0.0092,0.3346
1tmn,-0.0086,1.6381,0.8465,0.1415,0.8381,-0.237,0.0716,-0.2905,0.9787,-0.2083,1.4497,0.9775,-0.9918
1toi,-2.0698,0.3579,-2.4035,-1.1212,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1737,0.0453,-0.7463,0.7716
1toj,-1.9632,0.3373,-3.0635,-1.069,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1201,0.0598,-0.7463,0.7716
1tok,-2.7985,1.1836,-3.9835,-1.457,-1.5596,-1.048,-0.6854,0.9736,-0.8835,-1.2005,0.4394,-1.1783,0.7641
1trd,-2.2766,0.3922,-1.0535,-1.4304,-1.3868,-0.2977,-1.214,1.0549,-1.2618,-0.691,0.4496,-0.7683,1.0731
1tsy,-0.9435,0.2256,-1.4935,-0.5265,-0.5168,-0.3922,-1.214,-0.1357,-0.2287,-0.0743,1.4819,-0.0843,0.4476
1ttm,0.4917,0.6419,0.8965,-0.7465,-0.275,0.3698,0.6701,-0.3499,-0.0217,-1.0128,-0.7817,0.153,0.3572
1tyr,-0.3356,1.6686,0.5465,-1.2971,-0.21,1.1782,1.5064,1.196,0.57,-0.8519,-1.276,-0.5399,0.3798
1u1b,0.2705,1.2309,1.3465,0.8462,1.9049,0.0631,-0.9148,-0.977,0.1504,0.2207,0.5044,0.4073,-1.1274
1u2y,-1.8867,1.3963,-4.7135,-1.2398,-1.197,-1.1162,-1.214,0.5212,-1.2618,-1.4419,-0.9477,-1.8282,1.0882
1u33,-0.5913,1.3832,-1.8535,0.958,0.2531,-2.2554,-1.214,-0.3102,-1.2618,1.052,1.6727,-1.331,0.7867
1utp,-2.8283,0.2961,-5.0135,-1.3623,-1.0187,0.2488,-0.136,0.4216,-0.1436,-1.3078,-0.7839,-1.8802,1.1409
1uwt,-2.3955,0.3867,-0.4835,-0.7969,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.033,1.1214,-1.8282,1.0882
1v2o,-1.9970,0.3285,-1.7235,-0.5976,0.3213,-0.5563,0.3838,-0.1029,0.7708,-0.5301,-0.7961,0.4436,-0.6828
1v48,-0.0159,1.5767,1.3465,-0.0874,-0.3549,0.3313,-0.6573,-0.1827,-0.7412,0.2743,0.7181,0.6374,0.0331
1vfn,-1.1903,0.4147,-0.8535,-1.3172,-1.1655,-0.2457,-1.214,-0.0835,-0.5442,-0.8251,-0.4391,-0.4924,0.5154
1vzq,0.7466,1.6058,0.9865,0.9485,0.6058,-0.8287,0.0846,-0.9175,0.5819,1.1592,-0.6888,1.0148,-0.826
1x1z,-1.6690,0.4647,4.6065,0.255,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9481,-0.0023,0.2667
1xgj,-0.7616,0.9313,-0.4535,-0.6246,-0.5808,-0.4505,-0.1884,-0.2122,-0.0126,-0.3424,0.4582,0.0949,-0.1929
1y1m,-2.7939,0.8587,-4.6335,-1.3943,-1.3146,-0.6633,-0.6573,0.521,-1.2618,-0.7447,0.562,-0.5162,1.3293
1y6q,2.4972,0.2107,5.2465,-0.0804,-0.3795,-0.359,-0.9439,-0.4421,-0.698,-0.1279,-0.2732,-1.5048,0.7716
1ydt,0.7696,1.0795,0.8665,0.5575,0.2757,0.6497,0.3489,-0.5891,1.1379,0.1134,-0.9619,0.4989,0.2065
1zc9,-0.3293,1.4505,-3.2335,-0.6892,-0.814,-0.0371,-0.9148,0.6694,-0.5431,0.0598,-0.3037,-0.7007,0.6812
1zoe,0.4171,1.0246,0.9465,-0.6317,-0.9669,1.3048,1.569,-0.1969,-0.7026,-1.0664,-1.276,-1.8148,2.0678
1zs0,1.1091,1.3442,-0.3035,0.3656,0.0788,0.9961,0.585,-0.0601,0.2491,0.5425,-0.5112,0.4032,0.1386
1zvx,1.0567,1.3885,2.7665,0.3738,0.0788,0.9961,0.585,-0.0601,0.2491,0.6766,-0.2552,0.4032,0.1386
2aou,0.3981,1.0279,1.2765,0.0526,0.0606,1.0224,1.2318,-0.359,0.5841,0.0598,-1.1591,-1.5325,0.0256
2ayr,1.7041,1.6288,2.8365,1.1954,1.1983,1.3593,2.7383,-0.8795,1.1934,0.0866,-0.1878,0.1947,-0.9164
2b1v,0.9255,1.2801,-0.7135,-0.3892,-0.5026,0.7255,0.4127,-0.2834,0.0309,-1.4955,-0.6908,-1.3945,0.7641
2b7d,0.2765,1.6627,2.2465,0.5968,0.9154,-0.7793,1.3976,-0.4684,0.7708,0.9715,0.0597,0.1093,-2.4537
2baj,0.9315,1.3385,1.9465,0.3602,-0.0325,1.749,-0.1584,-0.4166,0.9299,-0.0475,-0.4095,0.4154,-0.1251
2bak,0.9608,1.4207,0.9765,1.3596,1.5439,0.859,0.6477,-1.0217,0.798,0.3011,-0.8279,0.7753,-1.6172
2bok,0.1636,1.5091,0.0965,0.3754,0.4303,-0.7682,-0.6862,-0.5634,-0.1586,0.6766,-0.8207,1.0172,0.0633
2brb,-0.6593,1.3139,-1.5935,-0.1793,-0.0044,1.0836,-0.971,-0.5792,0.8239,-0.7178,-1.276,-1.6597,-0.6376
2brm,-0.7206,1.1076,-0.5635,-0.1474,0.0454,1.002,-0.7281,-0.5407,0.8239,-0.7178,-1.0696,-1.5306,-0.6376
2bz6,1.0874,1.6534,0.6365,0.5595,0.1753,-0.2108,0.4048,-0.4103,0.401,1.5078,-1.1062,1.7391,-0.7506
2bzz,0.3519,1.6785,-0.0235,1.7001,1.8861,-0.1794,-1.214,-1.2864,-0.4737,2.4196,-0.0199,0.1581,-0.9767
2c02,-2.1529,0.4316,-2.4135,-0.3694,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,-0.691,-0.1322,-0.2803,0.1612
2ceq,-0.0066,0.2152,0.8265,-0.6656,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.2207,1.4602,-1.704,1.0429
2cer,0.6280,1.5507,2.7665,0.1345,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425,1.6209,-1.5346,0.4551
2cet,0.6297,1.5399,1.5665,0.0354,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425,1.6366,-1.5346,0.4551
2cgr,0.0921,1.6375,0.8265,-0.0725,0.1376,0.0284,0.3276,-0.2914,1.904,0.4352,-0.181,-0.285,-1.3384
2ctc,-1.7344,0.4647,-2.5635,-0.9657,-1.165,-0.3401,-0.971,0.3889,-0.1436,-1.0128,0.506,-0.6744,0.7415
2d0k,-0.1587,1.4678,-1.4335,-0.0202,0.2332,-0.973,0.3983,-0.639,0.3621,-0.1547,-0.112,0.2762,-1.67
2d1o,1.1269,0.6516,1.2465,0.6458,0.7374,-0.1627,0.942,0.8187,-0.1586,0.0866,1.1225,0.5848,-0.2382
2d3u,0.4659,0.5075,0.4665,-0.1676,0.0129,0.7135,0.6268,-0.4959,0.9382,-0.3156,-0.4605,0.4097,-0.615
2d3z,-0.1947,0.8213,0.1865,-0.214,-0.1089,0.7959,0.6477,-0.5403,0.9461,-0.5033,-0.2171,0.609,-0.2834
2drc,-0.6792,1.3021,3.4365,-0.0375,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.5033,0.5597,0.3451,-1.67
2er9,1.2367,1.6567,0.9465,2.3991,3.2866,0.2677,1.5549,-0.3966,0.9923,1.4542,1.1535,1.6556,-2.9963
2f01,1.2252,0.2292,6.5465,-0.4089,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.2352,0.5644,-0.1887,1.0731
2f80,2.8800,0.0778,1.7265,1.3327,1.0178,0.5951,0.8987,-0.5478,0.6119,0.7034,0.6257,1.0983,-0.2758
2fai,0.4512,1.2121,-0.2135,-0.3496,-0.4066,0.8013,0.3918,-0.1941,0.0309,-1.5223,-0.9627,-1.2975,0.7641
2fdp,1.5887,1.5319,1.1365,1.3288,1.3567,1.3127,1.7113,-0.21,1.897,0.8375,1.5664,1.0884,-1.2857
2flb,-0.0072,1.0572,-0.7135,-0.1624,-0.042,0.1067,-0.4223,-0.7294,0.423,0.1403,-0.4457,-1.6518,-0.9616
2fzc,-1.0841,1.5350,-3.7535,-0.7618,-0.8361,-0.3441,-1.214,2.0259,-1.2618,-0.6642,0.753,-0.3598,0.5079
2g5u,-0.2638,1.3227,2.0365,-0.6419,-1.0185,1.5203,0.3276,-0.1361,0.1216,-1.7636,-1.276,-1.8512,1.156
2g8r,-1.4294,1.3632,-2.4635,-0.6984,-0.1343,-1.6154,-1.214,-0.268,-0.2287,-0.0743,-0.5974,0.2014,0.2441
2g94,1.3065,1.6600,3.0665,1.8212,1.5943,0.3032,0.9773,1.5238,-0.717,2.1782,1.5872,1.1624,-0.6526
2gss,-0.1663,1.0357,-1.5135,-1.0226,-0.8261,0.563,-0.1645,0.3896,-0.0179,-1.0128,-1.1124,0.1049,0.6134
2hdq,-1.8448,1.0794,-5.0535,-1.602,-1.436,-0.1023,-0.7162,0.0644,-0.5642,-1.0933,-0.7689,-0.9621,1.1334
2i0d,4.4862,0.5347,5.6465,1.695,1.5969,0.9904,1.4474,-0.5331,1.5412,0.9983,0.0638,1.1754,-1.4514
