%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 146 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.665851165807231
%.kernel.kernels[0].lengthscales: [  0.46952842   0.52620157   0.71597554   2.42122785   0.50290625   0.96797522   2.20986589   0.9035108    0.68087373   0.83719837   1.4625784  379.64169123   1.90699438   0.61293969   0.5838824 ]
%.kernel.kernels[1].variance: 0.04033735634674036
%.likelihood.variance: 0.904616135180554
%loglikelihood: -6638.540078332004
%RMSE:1.574
%Pearson_correlation_coefficient:0.727,P-value:0.000
%Spearman_correlation_coefficient:0.724,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA
1gni,0.2027,0.5907,1.6165,-0.4417,-0.2995,1.3341,0.456,2.9722,-0.8835,-1.3614,-1.1641,-0.5412,1.1635,0.9943,-1.0315,1.0531,-0.6854,-0.7009
1gpk,-0.1154,0.9782,-1.0835,-0.2393,-0.4012,0.2579,0.1701,-0.1158,0.5181,-0.8251,-0.7422,-0.0178,0.5456,-1.2405,-0.8402,0.8691,-0.637,-0.9677
1gz9,-1.5091,1.3083,-2.9435,0.0016,0.0633,-2.1533,-0.9148,-0.2456,-1.2618,0.2743,0.5875,-1.2949,1.3067,-0.712,0.0521,-1.0848,3.2968,2.7681
1h23,1.8351,1.6599,1.8965,1.4138,1.2569,0.9558,1.5405,-0.7908,0.8446,1.3201,-0.4226,0.0878,0.116,-1.2267,0.7109,3.1138,-0.0311,-0.7009
1ha2,-0.2988,0.5316,-0.9135,-0.4143,-0.1425,0.9754,-0.144,-0.2792,1.1115,-1.3078,-1.0205,0.3198,-0.4115,0.5195,-1.0441,-0.2953,-0.7085,-0.434
1hfs,2.8097,1.6949,2.2465,2.9854,2.3295,1.9564,3.2623,-0.7268,2.6524,2.7145,0.2489,1.4508,-2.2427,0.991,0.4441,2.1095,0.2673,0.0996
1hi4,-1.6544,0.4444,-1.9635,-0.3868,-0.0838,-0.1346,-1.214,-0.4461,-0.8678,0.462,-0.1578,-0.4335,-0.0573,1.2352,1.0579,-1.2831,-0.3377,1.4339
1hk4,0.0560,1.6997,-1.1435,-0.5408,-0.56,0.6353,4.0312,-0.2287,0.1139,-0.8251,-1.0453,-0.3627,2.0528,0.9258,-0.0739,-0.8437,0.2697,-0.1672
1if7,1.6564,0.3825,4.0665,-0.5533,0.1935,0.5888,0.8621,-0.5231,0.8048,-1.0933,-0.8331,0.3742,-0.2306,-1.1682,-0.4053,0.5715,-0.6869,-0.434
1j16,-2.0984,0.0833,-2.6135,-1.3886,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-0.9056,-1.276,-2.0498,0.7716,-1.7141,-0.812,-1.2831,-1.2932,-1.2346
1j17,-0.2582,0.2660,-1.2335,0.3562,0.7813,0.984,1.3966,-0.9165,0.792,0.6497,-1.276,0.8833,-0.2608,-0.9536,-0.3931,2.8506,-0.6916,-0.434
1jaq,-0.6292,1.6633,-1.9735,-0.4569,-0.6385,-0.6727,-0.379,3.0645,-1.2618,-0.2888,0.2553,0.3908,0.1311,-0.9891,-0.0011,-0.4901,-0.2902,0.0996
1jq9,0.0233,1.4871,1.9965,1.2966,1.6616,-1.0833,1.1705,0.3381,0.7858,1.3738,0.7822,1.1709,-1.6549,0.9695,3.7658,0.5869,1.947,0.9002
1jqd,-1.4161,0.2204,-1.2935,0.2693,-0.1741,-1.2116,-0.9649,-0.5656,-0.8678,0.0598,0.1651,-0.3489,0.2592,0.9259,0.3044,-0.3044,0.9344,0.0996
1jqe,0.2380,1.2446,-0.0135,0.1364,0.4326,1.2668,1.8239,-0.2759,0.0284,0.4352,-1.276,-1.3764,0.2215,0.4121,-0.3946,0.6275,-0.3761,-0.9677
1jys,-3.0465,0.3669,-2.9335,-1.4828,-1.2174,-0.1567,-1.214,-0.2214,-0.8678,-1.3078,-1.0738,-2.14,0.5154,-0.841,-0.7858,-1.2831,-0.6366,-1.2346
1k4g,-0.7010,0.6375,-0.6035,-0.5019,-0.4364,0.2031,-0.4432,-0.493,-0.0007,-1.0128,-0.1116,0.0707,-0.1101,-0.6561,-0.5741,-0.0066,-0.2855,-0.9677
1k9s,-1.4922,0.3477,0.0665,-0.1669,-0.5348,-0.9012,-1.214,-0.4605,-0.8868,0.1134,0.3632,-1.5672,0.3949,-0.712,-0.0979,-1.2831,0.2895,-0.1672
1kv1,-0.3897,0.4984,-0.5135,-0.384,-0.4689,1.1003,-0.1584,-0.16,0.0175,-1.1469,-0.5399,0.2179,0.2441,-1.4663,-1.0405,0.9148,-0.9673,-0.9677
1l2s,-0.4792,0.9165,-1.8635,-0.6633,-0.7205,0.3457,0.3394,-0.2581,0.1594,-0.7983,0.3934,0.045,0.5757,0.9258,-0.3444,-0.7668,-0.6854,-0.1672
1l83,-2.5199,0.2864,-3.0535,-1.7068,-1.5179,0.3829,-1.214,0.268,-0.1286,-2.005,-1.276,-2.2354,1.1711,-4.3218,-1.3051,-1.2831,-1.2932,-1.2346
1li3,-0.9290,0.2144,-2.2035,-1.4619,-1.4183,0.4935,-0.4223,0.2418,-0.3494,-1.8173,-0.9873,-2.1736,1.2389,0.5338,-1.1941,-1.0409,-0.9796,-0.9677
1li6,-3.8844,0.4331,-2.6535,-1.6971,-1.4327,0.2709,-0.4079,0.179,-0.5132,-1.8709,-1.1169,-2.2022,1.2163,-0.9973,-1.1066,-0.4897,-0.9877,-1.2346
1lol,-1.1626,0.6696,-0.0635,-0.3369,-0.216,-0.7474,-1.214,-0.4515,-0.4135,0.033,0.7586,-0.1188,0.0181,1.2311,0.2478,-1.2831,-0.3752,1.167
1loq,-1.6683,0.4273,-2.7535,-0.3557,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,0.1671,1.1847,-0.0502,0.4175,1.2311,0.6474,-0.6942,-0.3752,1.167
1m0n,0.0251,1.2488,-4.2335,0.595,-0.1164,0.8876,0.1986,0.1017,-0.5431,1.2397,1.4077,-0.0146,0.2366,1.2338,2.4885,0.5762,-0.9796,0.9002
1m0q,-1.8118,1.2837,-2.5635,0.2727,-0.3959,0.6028,-0.6155,0.7803,-0.5431,1.1056,1.7488,-0.4271,0.2366,1.2338,2.0859,0.2458,-0.9796,0.9002
1m2q,0.0430,0.4075,-0.3535,-0.2589,-0.5198,0.5613,-0.4223,-0.2658,0.3182,-0.3156,-0.8468,0.1639,-0.5697,0.5243,-0.3997,-0.9918,-0.3948,-0.434
1mq6,1.1181,0.9647,4.6965,0.646,0.4704,1.5376,-0.1884,-0.815,0.8252,0.9983,-0.8771,0.6231,-0.5396,0.3877,-0.4789,0.6638,0.241,-0.1672
1n2v,-1.4993,0.3242,-2.3735,-0.8139,-0.7025,-0.0498,-0.9357,-0.2012,-0.4325,-0.5838,-0.036,-0.2157,0.3647,-1.3258,-0.3251,-0.3811,-0.9877,-0.7009
1nc1,1.3393,0.4425,-0.3335,-0.0227,-0.5308,-0.1381,-0.68,-0.4871,-0.683,0.4084,0.0954,-1.5243,0.7415,-0.7783,0.257,-0.3801,0.2563,-0.434
1ndw,0.5652,0.7630,-1.2235,-0.3912,-0.5457,0.217,-0.4144,-0.1013,0.4243,0.1671,-0.231,-0.2115,0.1462,-0.7049,0.1788,-0.7212,-0.3481,-0.7009
1ndy,0.6501,0.4623,-0.2835,-0.0346,-0.1097,0.5723,0.0561,-0.4012,0.8021,0.033,-0.2238,-0.1424,-0.2457,-0.7049,-0.0957,-0.7212,-0.3481,-0.7009
1ndz,1.6438,1.4340,1.6565,1.5653,1.1632,0.7932,0.6191,-0.9225,1.1921,2.205,-0.261,0.6244,-1.5871,-0.7049,1.5982,1.577,0.5385,-0.434
1nfy,1.5623,0.4898,2.4365,0.3055,0.3935,0.1875,0.5837,-0.7882,0.7539,0.5157,-1.006,0.6076,-0.095,-1.3403,-0.6052,0.2573,-0.9924,-0.434
1nhu,-0.9698,1.3346,-0.7935,-0.5349,0.2219,1.4086,0.8698,-0.3043,2.0141,-1.2273,-0.74,0.7489,-0.5245,0.9693,-0.9114,-0.5956,-0.3846,-0.434
1nja,-1.2231,0.5432,-0.1435,-0.4462,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.4765,1.0481,-0.0533,0.4476,1.2311,-0.045,-0.5461,-0.3377,0.6333
1nje,-1.0955,0.4127,-2.6535,-0.4597,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.1011,1.5687,-0.0533,0.4476,1.2311,0.3659,-0.5461,-0.3377,0.6333
1nny,1.0587,1.6984,1.2065,1.6728,2.208,0.34,1.6253,-0.8653,2.2817,1.7492,2.237,0.9921,-3.3354,0.935,1.0799,1.3227,1.4729,1.4339
1nvq,1.5228,0.8220,1.7965,0.9592,1.2758,0.7317,-0.387,-0.8289,0.5969,0.1403,0.0168,0.7801,-0.826,-0.967,-0.4108,1.0006,0.8142,-0.1672
1nwl,-1.6621,1.3652,-4.0635,-0.3664,0.0813,-0.2099,-0.1007,-0.321,-0.52,0.0062,-0.6573,0.5303,-0.0046,0.9165,0.9903,2.4503,0.2924,0.0996
1o0h,-1.0241,0.2752,-0.5335,-0.0312,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,1.3201,0.5408,-0.2803,0.1612,1.3418,1.3723,-1.2831,-0.0241,1.4339
1o3f,-0.2306,0.4151,1.5065,-0.2617,0.1494,0.6865,0.3485,-0.6096,1.1785,0.5157,-0.6908,-1.5374,-0.9013,0.5195,1.9106,-0.2211,-0.6741,-0.9677
1o3p,0.6668,0.5598,0.2065,0.0082,0.0703,0.3936,1.2189,-0.7179,0.0453,0.6497,-0.6908,-1.6306,-0.517,0.4885,0.5608,-0.7544,-0.3833,-0.7009
1om1,0.0275,0.5656,0.3165,-0.0498,-0.0829,0.2411,-0.4223,-0.3825,0.7466,-0.6106,-1.0398,0.1844,-0.5622,0.9903,-0.3454,-0.0281,-0.3799,-0.434
1p1q,0.1940,0.2847,-1.5635,-0.78,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.3011,0.7523,-0.3065,0.5832,0.9258,0.9527,-0.6455,-0.0571,-0.434
1pb9,-0.1796,1.3324,-2.8335,-1.5958,-1.4668,-0.8582,-1.214,0.0382,-1.2618,-0.5838,0.7123,-0.5896,1.2992,-1.2388,-0.1862,-1.2831,-0.9425,-0.7009
1pbq,-1.4520,0.7151,-0.1835,-0.7117,-0.982,0.3595,-0.6862,-0.0545,-0.2033,0.0598,-0.4103,-0.6693,0.6134,0.9174,-0.2493,-0.7497,-0.3718,-0.434
1ppm,1.4878,1.4356,-0.6535,1.2085,1.2043,1.0091,0.4062,0.0875,0.9746,1.0788,0.7984,0.9816,-1.1726,0.0888,-0.0487,0.1475,0.2662,1.167
1pr5,-1.2594,0.7318,-2.5335,-0.5881,-0.6269,-0.5604,-0.9501,-0.4607,-0.683,-0.4765,0.1184,-1.5752,0.4476,-0.712,-0.2854,-0.9855,0.5699,-0.1672
1pxo,0.1065,0.9798,2.2465,-0.1077,-0.3792,0.8315,-0.387,-0.592,0.3696,-0.7715,-0.7494,-0.5042,-0.5547,-0.9133,-0.2631,0.0695,-0.6162,-1.2346
1pz5,0.2499,1.6594,-1.0535,2.0405,3.1383,-1.9879,1.2082,-0.0781,0.4284,2.3928,-0.188,1.4927,-3.2676,0.9932,1.2199,3.479,3.5169,1.9675
1q7a,-0.5057,0.7129,0.7365,-0.4483,-0.1916,0.9396,0.6477,-0.415,0.438,-1.1737,-1.2289,0.6228,-0.3663,0.5344,-0.6717,-0.6884,-0.9796,-0.434
1q8t,-0.6171,0.9041,-1.6935,-0.363,-0.5788,0.3121,0.7264,-0.0746,-0.4982,-1.1201,-1.0015,0.4051,0.6888,-1.1308,-0.5014,1.0135,-0.6166,-0.9677
1rdi,-1.0653,0.6009,-4.3935,-1.6242,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-1.2273,1.1369,-1.8861,1.6081,-0.777,-0.182,-0.7456,0.2292,0.0996
1rdj,-1.6100,0.6112,-4.7935,-1.644,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-1.2273,0.9574,-1.9292,1.6081,-0.777,-0.2877,-1.0848,0.252,0.0996
1rdl,-2.4256,0.9397,-4.2135,-1.6012,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.3346,0.9806,-1.9119,1.578,-0.712,-0.1231,-1.2831,0.5656,0.3665
1re8,1.1328,1.1624,3.0665,1.4416,0.6968,0.4826,1.1755,-0.7185,1.7002,1.3469,0.5143,0.6472,-1.3836,0.5344,-0.089,-0.1752,0.2763,0.3665
1rnt,-1.5732,0.4386,-1.2635,-0.5375,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,0.3011,1.0597,-0.0224,0.0181,1.236,0.6716,-1.2831,-0.0241,0.9002
1s39,-0.8126,0.7298,1.2465,-1.1721,-0.9942,0.019,-0.6862,-0.0618,-0.1827,-0.4497,0.3887,-0.2648,0.3722,-0.9765,-0.5833,-1.2831,-0.9421,-0.9677
1sl3,1.6078,1.5039,5.3965,1.2735,0.5592,0.3807,0.54,-0.8556,1.6106,1.4274,-0.198,1.3304,-1.3836,1.7371,-0.0289,-0.1452,-0.3217,-0.7009
1slg,-0.6985,1.7052,-2.5535,1.1519,2.3798,-2.4523,0.1632,-0.188,0.4243,-0.1011,0.0934,1.4465,-3.1093,0.9683,-0.3628,1.5048,3.2308,1.9675
1sqa,-0.3324,1.3281,2.7565,0.0172,0.5274,0.1196,0.8685,-0.6656,1.5344,-0.1279,-1.1612,0.6411,-1.4816,-1.1452,-0.4414,0.6564,-0.2906,-0.9677
1sv3,-1.1145,0.3656,-2.1035,-1.303,-1.2607,-0.1186,0.0846,0.2239,-0.3325,-1.281,-1.1315,-0.7659,0.6209,0.9359,-0.9066,-1.2831,-0.3946,-0.434
1syh,0.7368,1.2288,-0.0435,-0.4014,-0.6758,-1.2503,-0.379,0.024,-0.2586,0.8375,2.0672,-0.0092,0.3346,0.9254,0.3747,-0.3439,-0.3347,-0.1672
1tmn,-0.3981,1.5652,0.8465,0.1415,0.8381,-0.237,0.0716,-0.2905,0.9787,-0.2083,1.4497,0.9775,-0.9918,0.9694,0.1087,1.4529,0.8794,0.0996
1toi,-1.8491,0.2842,-2.4035,-1.1212,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1737,0.0453,-0.7463,0.7716,0.9942,-0.7661,-0.731,-0.6854,-0.7009
1toj,-1.6508,0.2768,-3.0635,-1.069,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1201,0.0598,-0.7463,0.7716,0.9942,-0.7125,-0.731,-0.6854,-0.7009
1tok,-3.2193,0.8093,-3.9835,-1.457,-1.5596,-1.048,-0.6854,0.9736,-0.8835,-1.2005,0.4394,-1.1783,0.7641,0.943,-0.404,-1.2831,-0.0776,-0.1672
1trd,-1.8794,0.3903,-1.0535,-1.4304,-1.3868,-0.2977,-1.214,1.0549,-1.2618,-0.691,0.4496,-0.7683,1.0731,1.2357,0.0415,-1.2831,-1.2932,0.3665
1tsy,-0.7415,0.2129,-1.4935,-0.5265,-0.5168,-0.3922,-1.214,-0.1357,-0.2287,-0.0743,1.4819,-0.0843,0.4476,1.2311,0.2315,-0.2548,-0.6888,0.9002
1ttm,1.5780,0.4905,0.8965,-0.7465,-0.275,0.3698,0.6701,-0.3499,-0.0217,-1.0128,-0.7817,0.153,0.3572,-0.3983,-0.3414,0.1968,-0.7653,-0.1672
1tyr,-2.0919,1.9190,0.5465,-1.2971,-0.21,1.1782,1.5064,1.196,0.57,-0.8519,-1.276,-0.5399,0.3798,0.9429,15.3253,0.1046,-0.6854,-0.7009
1u1b,0.1443,1.0323,1.3465,0.8462,1.9049,0.0631,-0.9148,-0.977,0.1504,0.2207,0.5044,0.4073,-1.1274,1.2575,-0.3106,-0.0797,-0.0469,4.1023
1u2y,-2.1267,1.2000,-4.7135,-1.2398,-1.197,-1.1162,-1.214,0.5212,-1.2618,-1.4419,-0.9477,-1.8282,1.0882,-0.54,-0.9472,-1.2831,0.607,0.0996
1u33,-0.6641,1.1377,-1.8535,0.958,0.2531,-2.2554,-1.214,-0.3102,-1.2618,1.052,1.6727,-1.331,0.7867,-0.54,1.4853,-0.9438,3.629,2.7681
1utp,-2.5335,0.2459,-5.0135,-1.3623,-1.0187,0.2488,-0.136,0.4216,-0.1436,-1.3078,-0.7839,-1.8802,1.1409,-1.1043,-0.5813,-0.8866,-0.9425,-1.2346
1uwt,-2.1500,0.2985,-0.4835,-0.7969,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.033,1.1214,-1.8282,1.0882,-0.54,0.1912,-1.2831,0.607,0.0996
