%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: False in 31 iterations, b'ABNORMAL_TERMINATION_IN_LNSRCH'
%.kernel.kernels[0].variance: 1.660455887014283
%.kernel.kernels[0].lengthscales: [3.17801323e+00 1.28041633e-07]
%.kernel.kernels[1].variance: 0.6947877751626392
%.likelihood.variance: 1.2007128939040717
%loglikelihood: -7158.109631654662
%RMSE:1.784
%Pearson_correlation_coefficient:0.632,P-value:0.000
%Spearman_correlation_coefficient:0.644,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT
3pch,-0.6719,0.6971,-1.0535,-1.0456,-1.3356
3pcj,-1.0660,0.4563,0.7665,-1.0074,-1.257
3std,0.6527,1.6613,4.6565,0.6668,0.2485
4er2,2.4835,0.3592,2.8465,1.2211,1.6844
4fiv,2.4091,0.6631,0.0665,2.4414,2.9702
4tln,-1.4297,1.6626,-2.7335,-1.482,-1.2462
5abp,-0.4035,0.7058,0.1865,-0.9019,-1.2721
5er1,0.3737,1.6623,-0.4335,0.4089,1.0283
6fiv,0.9599,0.6969,1.6265,0.2216,0.4965
6rnt,-2.7674,0.1163,-4.0835,-0.771,-0.3818
6std,-0.0408,1.6615,2.1865,-0.0586,-0.5701
8abp,-0.4098,0.7058,1.5465,-0.9083,-1.2721
1f8b,-2.0021,0.1781,-1.0535,-0.4251,-0.7984
1f8c,-0.4355,1.6611,0.9465,-0.462,-0.7254
1f8d,-0.3474,1.6612,-3.0535,-0.3731,-0.7254
1hnn,-0.7892,1.6611,-0.2135,-0.8217,-0.8064
1igj,-0.1008,1.6649,3.5465,-0.0707,1.0154
1lbk,-1.5402,0.2094,-3.2735,-0.654,-0.8019
1lor,0.2690,1.6624,4.6065,0.257,-0.4763
1n1m,-1.0209,1.6616,-0.7535,-1.0625,-1.0315
1o5b,-0.5929,0.3275,-0.6835,-1.0228,-0.9682
1oyt,0.5823,1.6608,0.7865,0.6006,0.409
1ps3,-0.5873,0.4471,-4.1735,-0.5265,-1.0186
1q8u,-0.0758,1.6605,-0.4935,-0.0782,-0.0562
1qi0,-2.1995,0.2259,-4.1035,-0.9622,-0.6237
1r5y,-0.9867,1.6615,0.0065,-1.0255,-0.9467
1sln,0.4392,1.6611,0.1865,0.4659,0.7301
1uto,-2.5104,0.6971,-4.1835,-1.436,-1.1944
1w3k,-0.2148,1.6613,-2.1535,-0.237,-0.6567
1w3l,0.6654,1.6620,-0.1735,0.6733,0.0411
1w4o,-2.3414,0.1664,-1.2335,-0.7145,-0.4945
1xd0,1.9697,1.6644,0.6665,2.043,1.7599
1yc1,0.5161,1.6617,-0.2835,0.519,-0.0686
1z95,0.7563,1.6630,0.6665,0.7615,-0.0727
1zea,0.9396,1.6806,-1.2335,1.0454,3.1498
2cbj,0.8345,0.1387,1.8165,-0.2476,-0.3886
2fvd,0.5795,1.6613,2.0665,0.5896,0.1453
2g70,-0.6797,1.6612,1.3165,-0.7128,-0.8608
2hb1,-0.9747,1.6620,-2.6535,-1.0227,-1.2539
2iwx,0.0501,1.6608,0.2265,0.0422,-0.2722
2j62,0.6455,1.6617,4.8865,0.6544,0.0844
2jdm,-0.9696,0.1924,-1.0535,-1.2678,-1.1983
2jdu,-0.9529,0.1851,0.2665,-1.2774,-1.1983
2jdy,-2.9588,0.3324,-2.0835,-1.248,-1.1823
2obf,0.2326,1.6610,2.3965,0.2297,-0.1669
2ole,0.0338,1.6606,0.7965,0.0406,0.2131
2p4y,1.4242,1.6629,2.5465,1.468,0.9707
2pcp,-0.3320,1.6606,2.2465,-0.3479,-0.4121
2qbp,0.6593,1.6610,1.9465,0.6878,0.716
2qbr,-0.0628,1.6605,-0.1235,-0.0661,-0.0871
2qmj,-1.8254,0.2350,-2.2435,0.8412,0.9594
2r23,-0.0825,1.6606,-2.7335,-0.0807,0.0842
2v00,-0.7282,1.6610,-2.7935,-0.7572,-0.7117
2v7a,0.6192,1.6611,1.8465,0.6496,0.7936
2vl4,-1.1070,0.0855,-0.4435,-1.0627,-1.2037
2vo5,-0.2159,1.6607,-1.5635,-0.2316,-0.4411
2vot,1.6724,0.6970,0.6865,0.0716,-0.3771
2vvn,1.4573,0.6973,0.8465,-0.4191,-0.9329
2vw5,0.4063,1.6616,2.0665,0.437,0.8692
2w66,-0.4723,1.6615,-2.4035,-0.5043,-0.8901
2wbg,-0.2215,0.6956,-2.0035,-0.0413,-0.3692
2wca,0.0179,0.6996,-0.8535,-0.3913,-0.1893
2weg,-0.3124,0.4410,0.0465,-1.2527,-1.1937
2wtv,0.4364,0.7135,2.2865,0.6744,0.4153
2x00,0.7530,1.6622,4.8765,0.7981,1.231
2x0y,-0.3583,1.6608,-1.8535,-0.3793,-0.5691
2x8z,-0.6628,0.2240,1.5065,-0.9569,-1.0426
2xb8,0.1046,0.4364,1.1365,0.2719,-0.5519
2xbv,0.9581,1.6615,1.9765,0.9874,0.6493
2xdl,-0.4727,1.6613,-3.3535,-0.5032,-0.8434
2xhm,1.1799,1.6620,0.3465,1.2173,0.8421
2xnb,0.4046,1.6608,0.3765,0.4139,0.1711
2xys,0.2062,1.6605,0.9665,0.2139,0.1873
2y5h,0.7179,0.4434,-0.6635,0.3274,0.4661
2yfe,-0.2278,1.6605,0.1765,-0.2332,-0.1023
2yge,0.0658,0.7014,-1.3935,0.729,0.9818
2yki,1.2607,1.6622,3.0065,1.3028,0.9696
2ymd,0.9337,0.6970,-3.2935,-0.8843,-0.8496
2zjw,-0.0854,1.6610,1.2465,-0.1003,-0.456
2zwz,-0.9993,1.6616,1.3365,-1.0414,-1.0531
2zx6,-0.0703,1.6605,4.1465,-0.0726,-0.054
2zxd,-1.0167,1.6616,-1.2335,-1.0595,-1.0717
3acw,-0.0659,1.6606,-1.6935,-0.0735,-0.2264
3ag9,1.1357,1.6833,1.5965,1.2528,3.4568
3ao4,-0.6453,1.6611,-4.3835,-0.676,-0.7955
3b3s,-0.0880,0.4596,-3.9035,-1.415,-1.3079
3b3w,-0.0423,0.4596,-2.2635,-1.3489,-1.3079
3b68,1.1144,1.6655,1.9465,1.1245,-0.0298
3bfu,-0.3349,0.6971,-0.1835,-0.9449,-1.1736
3bkk,1.3691,1.6633,-0.3735,1.4041,0.7046
3bpc,-0.3872,1.6610,-1.6535,-0.3912,-0.0064
3cft,-0.8901,1.6613,-2.2635,-0.923,-0.7888
3cj2,-0.9792,1.6616,-1.6035,-1.0085,-0.6427
3coy,0.9808,1.6627,-0.4335,0.9989,0.274
3cyx,1.7262,0.1054,1.5465,2.0913,2.1809
3d4z,-0.6487,0.1869,-1.5635,-0.7276,-1.0165
3dd0,0.9934,0.4375,2.5465,-0.8838,-0.7636
3dxg,-2.3259,0.1655,-4.0535,-0.701,-0.4945
3e93,1.3592,1.6624,2.3965,1.4084,1.1678
3ebp,-0.2891,1.6614,-0.5435,-0.2851,0.2233
3ehy,-0.5408,1.6612,-0.6035,-0.5712,-0.8202
3ejr,0.2915,1.6608,2.1165,0.294,-0.0118
3f17,-0.1012,1.6610,2.1765,-0.1167,-0.4712
3f3a,-1.2902,0.3308,-2.2635,-0.6129,-0.7671
3f3c,-0.6443,1.6618,-0.4335,-0.684,-1.0911
3f3e,0.0442,0.4411,1.2465,-1.2816,-1.3079
3f80,-0.7870,1.6620,-2.2335,-0.8314,-1.1949
3fcq,-0.9372,1.6615,-3.6835,-0.979,-1.0623
3fv1,1.5241,0.6970,2.8465,0.0911,-0.5826
3g0w,0.2595,1.6623,3.0665,0.2476,-0.4744
3g2n,-0.0353,1.6619,-2.3635,-0.0561,-0.6673
3g2z,-1.2176,1.6620,-4.0935,-1.2624,-1.07
3gbb,-0.3091,1.6615,0.4465,-0.3366,-0.7978
3gcs,1.8767,0.7014,0.7965,0.8741,0.1163
3ge7,0.2119,1.6607,2.2465,0.2272,0.4317
3gnw,1.3678,1.6629,2.6465,1.4307,1.6114
3gy4,-1.1625,1.6619,-1.3535,-1.2108,-1.2037
3huc,-0.1570,1.6608,-0.4635,-0.1542,0.1416
3imc,-1.0169,1.6616,-3.4935,-1.0586,-1.0342
3ivg,0.7003,1.6612,-2.1535,0.7186,0.3726
3jvs,-0.4384,1.6623,0.0865,-0.434,0.2853
3k5v,0.1328,1.6608,-0.1535,0.1281,-0.1967
3kgp,-1.1332,1.6619,-3.8835,-1.1807,-1.1876
3kv2,-0.8118,1.6621,0.8665,-0.8575,-1.2322
3kwa,-0.9139,1.6613,-2.3735,-0.9461,-0.7574
3l3n,-0.3899,0.7120,1.7265,1.2831,0.9671
3l4u,-0.2199,1.6611,1.0665,-0.2404,-0.5981
3l4w,-0.8808,0.6970,-0.4535,-0.7874,-1.0086
3l7b,-0.2107,1.6616,-4.0535,-0.2351,-0.7305
3lka,-0.9781,1.6616,-3.6335,-1.0213,-1.0976
3mfv,-0.7371,1.6616,-3.9335,-0.7766,-1.053
3mss,-0.8704,1.6619,-1.7935,-0.8897,-0.3497
3myg,0.1043,1.6610,4.2465,0.1197,0.4694
3n7a,-0.9424,1.6620,-2.7535,-0.9898,-1.2429
3n86,0.5441,1.6638,-0.8135,0.5362,-0.4336
3nox,-0.1824,1.6607,2.2065,-0.1812,0.0974
3nq3,-1.2841,1.6622,-2.6735,-1.3285,-1.0355
3nw9,1.3910,1.6630,2.5465,1.4307,0.8478
3oe5,0.7676,1.6625,0.4265,0.7767,0.0488
3ov1,-0.0536,1.6611,-1.2535,-0.043,0.3606
3owj,-0.5237,1.6613,-0.3835,-0.5312,-0.0765
3ozt,0.7254,1.6619,-2.3235,0.7366,0.1316
3pe2,0.0480,1.6605,3.3065,0.0495,0.032
3pww,1.8559,0.1204,0.8665,1.8734,2.1809
3pxf,-1.9738,0.3130,-2.0235,-1.1766,-0.287
3s8o,0.0670,1.6618,0.3965,0.088,0.6643
3su2,0.4942,0.4775,0.8965,1.2127,2.0791
3su3,0.5004,0.5695,2.6765,1.2833,2.4597
3su5,0.4424,0.6982,-0.8735,1.1822,2.4597
3u9q,-1.1298,1.6618,-2.0735,-1.1726,-1.0355
3udh,-0.9690,1.6614,-3.6035,-1.005,-0.8648
3ueu,-0.7181,0.4496,-1.2135,-1.1876,-0.8549
3uex,-0.3632,0.2252,0.4665,-0.7477,-0.2815
3uo4,0.1548,1.6605,0.0665,0.1629,0.2159
3uri,2.3004,1.6713,2.5465,2.4234,3.2757
3utu,1.2125,1.6631,4.4665,1.2749,1.6478
3vh9,-1.1000,1.6617,-0.2135,-1.1442,-1.0879
3zso,0.4960,1.6642,-1.3335,0.5444,1.4224
3zsx,-0.0570,1.6624,-3.1735,-0.0368,0.6778
4de1,-0.4194,0.6968,-0.4935,-0.2029,-0.2079
4de2,-0.1408,1.6605,-2.3335,-0.1454,-0.1059
4des,-0.9591,0.7072,-0.6035,-0.3419,-0.5203
4dew,-1.0889,0.6931,0.5465,-0.4522,-0.4526
4djr,1.3859,1.6624,5.0665,1.4386,1.2748
4djv,0.1485,1.6606,0.2665,0.1585,0.2762
4g8m,0.0143,0.6883,1.4365,-0.9962,-1.1911
4gid,2.3454,1.6662,4.3165,2.4282,1.9497
4gqq,-1.3646,1.6626,-3.5635,-1.4072,-0.9503
1c5z,-2.1967,0.1135,-2.4435,-1.3742,-1.2488
1eby,2.1311,1.6653,3.2465,2.2029,1.6583
1g2k,1.6333,1.6634,1.5065,1.7009,1.6816
1gpn,-0.1354,1.6606,0.0265,-0.145,-0.2706
1h22,1.1020,1.6617,2.6465,1.145,1.049
1k1i,0.1451,1.6633,0.1265,0.1774,1.0072
1lpg,0.8351,1.6638,0.6365,0.8923,1.5978
1nc3,-1.4082,0.1551,-1.4535,-0.1165,-0.6729
1owh,-0.3526,1.6610,0.9465,-0.3556,0.0148
1p1n,0.6096,0.2604,0.3465,-0.6413,-0.9473
1pxn,-0.0619,1.6609,0.6965,-0.0747,-0.3978
1qf1,0.1362,1.6607,0.8665,0.1343,-0.1037
1qkt,1.5733,0.4432,2.5865,-0.3263,-0.2728
1s38,-0.8819,1.6613,-1.3035,-0.9184,-0.9083
1syi,-0.4311,1.6610,-1.0135,-0.4561,-0.6758
1y6r,1.4538,0.6969,3.6565,-0.0615,-0.4523
1ydr,-0.2196,1.6605,-0.9335,-0.2295,-0.2523
1z6e,0.8851,1.6613,3.2665,0.9187,0.8144
1z9g,-0.7294,0.6969,-0.8135,-0.7978,-0.838
2al5,0.3398,0.3387,1.9465,-0.5599,-0.9495
2br1,0.2761,1.6605,-1.3135,0.286,0.2344
2c3i,-0.1697,1.6605,1.1465,-0.1742,-0.092
2cbv,-2.7254,0.6970,-0.9735,-0.9397,-1.1157
2fxs,0.1182,1.6608,-0.3935,0.1135,-0.1912
2j7h,-0.5751,0.6665,0.7365,-1.224,-1.2229
2p15,0.8474,1.6613,3.8465,0.8739,0.5949
2pog,-0.1812,1.6606,3.0865,-0.193,-0.3269
2qbq,0.2371,1.6605,0.9865,0.2455,0.1984
2qe4,-0.0687,1.6605,1.5065,-0.0728,-0.1119
2qnq,0.4860,0.6971,-0.3435,1.4689,1.2277
2r9w,-0.0918,1.6606,-1.3535,-0.0892,0.1164
2vkm,2.1667,1.6653,2.2865,2.2491,1.9909
2w4x,-0.6030,1.6615,-1.6035,-0.6382,-0.957
2wer,1.2422,0.4413,0.5965,-0.0218,-0.2674
2wn9,-0.6179,1.6611,2.0665,-0.632,-0.2617
2wnc,-0.3169,1.6606,-0.1335,-0.3263,-0.2026
2wvt,-0.9813,1.6617,-0.3335,-1.026,-1.1455
2xii,0.1156,1.6605,0.7465,0.1221,0.1758
2xj7,-1.1883,0.6818,0.2065,-0.5296,-0.8144
2zb1,0.2561,1.6606,-0.1335,0.2606,0.0638
2zda,0.4059,1.6606,1.9465,0.4204,0.3418
2zy1,0.2325,1.6609,0.9465,0.2314,-0.1107
3arp,0.8314,1.6620,0.6965,0.8772,1.2257
3arq,0.3106,1.6612,-0.0535,0.335,0.6956
3aru,-0.7137,1.6613,-3.2335,-0.7307,-0.3224
3arv,-0.4357,1.6611,-0.8135,-0.4406,-0.0191
3ary,-0.9270,1.6614,-0.4535,-0.9578,-0.7061
3b1m,1.0620,1.6616,2.0265,1.1028,0.9895
3b27,-0.6204,1.6614,-1.2935,-0.6551,-0.9349
3b5r,0.6906,1.6639,2.3165,0.6886,-0.2876
3b65,0.3956,1.6623,2.8165,0.3893,-0.331
3bgz,-0.1140,1.6605,-0.1935,-0.1162,-0.035
3bv9,0.9815,1.6649,-1.0935,1.0478,1.8457
3cj4,-0.5955,1.6611,0.0565,-0.6088,-0.2413
3coz,0.8423,1.6623,-0.8835,0.8567,0.1974
3d6q,-1.6270,0.6982,-2.6935,-0.7729,-0.2417
3dx1,-1.1816,1.6621,-2.8735,-1.2334,-1.3093
3dx2,-0.8031,1.6618,0.3665,-0.8459,-1.1372
3e5a,0.4351,1.6608,1.7765,0.4577,0.5964
3e92,0.2767,1.6606,1.5465,0.2821,0.0879
3f3d,-1.4194,0.6971,0.7065,-1.2808,-1.3523
3fur,0.4362,1.6607,1.5465,0.4479,0.2431
3fv2,0.0387,1.6627,1.6565,0.016,-0.7517
3g31,-1.5684,1.6641,-3.5635,-1.6096,-0.8372
3gc5,-0.2162,1.6605,0.8065,-0.2276,-0.3047
3gr2,-1.3002,1.6622,-3.9335,-1.3447,-1.0311
3gv9,-1.2246,1.6621,-4.3335,-1.2744,-1.2296
3jvr,-0.8883,1.6620,-0.7335,-0.907,-0.3266
