%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 32 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.3488046205793602
%.kernel.kernels[0].lengthscales: [0.36733917 0.11090464 0.21809767 0.57451728 0.04795648]
%.kernel.kernels[1].variance: 0.26898235759388167
%.likelihood.variance: 1.2609880308959942
%loglikelihood: -6968.3440881253755
%RMSE:1.707
%Pearson_correlation_coefficient:0.664,P-value:0.000
%Spearman_correlation_coefficient:0.658,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ
1bcu,-1.0743,0.5392,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35
1bma,0.5240,1.3531,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058
1bra,-2.2290,0.0885,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726
1bxo,1.4600,1.3557,3.5465,1.7364,1.4263,0.6615,0.3225,0.538
1c84,-0.9321,0.9567,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342
1d7j,-1.7081,1.2336,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366
1det,-2.0251,0.8287,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172
1df8,1.1346,0.2084,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302
1dhi,-0.0856,0.4502,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488
1e1v,-0.8487,0.7996,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791
1e5a,-0.5154,1.3547,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418
1e66,0.4578,1.2455,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103
1ela,0.2299,1.2922,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784
1elb,0.3220,1.3531,0.6965,0.0673,0.4087,0.7071,1.185,1.1935
1f4e,-0.7417,0.9337,-3.4935,-0.8778,-0.6455,-0.1681,0.1697,-0.0893
1f4f,0.1121,1.3577,-1.8335,0.2608,-0.0808,-1.379,0.9549,-0.1408
1f4g,0.6383,1.3578,0.0265,0.9626,0.2873,-1.5311,0.9549,-0.0712
1f5k,-2.2258,0.0917,-2.7135,-1.364,-1.2488,-0.3983,-0.6862,0.3726
1fcx,1.8271,1.1622,0.7365,0.8816,0.4517,1.291,2.0289,-0.4443
1fcz,1.1294,1.3030,2.7665,0.666,0.149,1.1866,1.3158,-0.2541
1fd0,1.8226,1.1382,1.9465,0.9646,0.4873,1.3356,1.8068,-0.4506
1fh7,-0.5489,0.8199,-1.2135,-0.6007,-0.7846,-1.6435,-1.214,-0.1141
1fh8,-0.7407,0.5543,0.4365,-0.8072,-0.8068,-1.3264,-1.214,-0.1349
1fh9,-0.5074,0.8337,-0.0235,-0.3638,-0.7775,-1.3927,-1.214,-0.1508
1fkb,1.0040,1.3835,3.2465,0.94,3.5241,1.7675,3.427,-0.0669
1fki,-0.0445,1.3393,0.5465,-0.3495,0.4205,1.0845,0.7762,0.2869
1fkn,0.9390,1.3670,2.3465,2.3645,2.6978,-2.1261,1.5131,1.6678
1flr,1.3802,0.4934,3.5465,0.0456,-0.0416,0.6748,0.0846,-0.4441
1fo0,2.5764,1.3816,-0.8635,4.4805,3.3633,-2.1118,0.107,0.5969
1ftm,0.3187,0.4132,1.1565,-0.7727,-1.0519,-1.0058,-0.9148,0.4506
1fzk,1.4362,0.6110,1.9465,2.7587,3.3387,-1.3626,2.0474,-0.5839
1g7q,0.3259,1.3671,-0.3935,1.9569,2.132,-3.603,1.3538,0.4112
1gni,0.3970,0.4235,1.6165,-0.4417,-0.2995,1.3341,0.456,2.9722
1gpk,-0.4511,0.8575,-1.0835,-0.2393,-0.4012,0.2579,0.1701,-0.1158
1gz9,-1.3866,0.8659,-2.9435,0.0016,0.0633,-2.1533,-0.9148,-0.2456
1h23,2.3575,1.0832,1.8965,1.4138,1.2569,0.9558,1.5405,-0.7908
1ha2,-0.8920,0.8154,-0.9135,-0.4143,-0.1425,0.9754,-0.144,-0.2792
1hfs,3.5994,1.3682,2.2465,2.9854,2.3295,1.9564,3.2623,-0.7268
1hi4,-1.6167,0.3202,-1.9635,-0.3868,-0.0838,-0.1346,-1.214,-0.4461
1hk4,0.8672,1.3896,-1.1435,-0.5408,-0.56,0.6353,4.0312,-0.2287
1if7,1.7823,0.7015,4.0665,-0.5533,0.1935,0.5888,0.8621,-0.5231
1j16,-2.2318,0.0865,-2.6135,-1.3886,-1.2488,-0.3983,-0.6862,0.3726
1j17,-0.2259,0.3157,-1.2335,0.3562,0.7813,0.984,1.3966,-0.9165
1jaq,-0.7827,1.3588,-1.9735,-0.4569,-0.6385,-0.6727,-0.379,3.0645
1jq9,0.6024,1.3547,1.9965,1.2966,1.6616,-1.0833,1.1705,0.3381
1jqd,-0.9006,0.1969,-1.2935,0.2693,-0.1741,-1.2116,-0.9649,-0.5656
1jqe,0.6714,1.2382,-0.0135,0.1364,0.4326,1.2668,1.8239,-0.2759
1jys,-2.5317,0.3455,-2.9335,-1.4828,-1.2174,-0.1567,-1.214,-0.2214
1k4g,0.5163,0.8209,-0.6035,-0.5019,-0.4364,0.2031,-0.4432,-0.493
1k9s,-0.5940,0.4538,0.0665,-0.1669,-0.5348,-0.9012,-1.214,-0.4605
1kv1,-0.2741,0.6429,-0.5135,-0.384,-0.4689,1.1003,-0.1584,-0.16
1l2s,-0.2189,0.9858,-1.8635,-0.6633,-0.7205,0.3457,0.3394,-0.2581
1l83,-2.5145,0.4282,-3.0535,-1.7068,-1.5179,0.3829,-1.214,0.268
1li3,-1.7500,0.7513,-2.2035,-1.4619,-1.4183,0.4935,-0.4223,0.2418
1li6,-2.3645,1.0300,-2.6535,-1.6971,-1.4327,0.2709,-0.4079,0.179
1lol,-0.2256,0.7877,-0.0635,-0.3369,-0.216,-0.7474,-1.214,-0.4515
1loq,-1.1699,0.8312,-2.7535,-0.3557,-0.4945,-0.7093,-1.214,-0.0977
1m0n,0.9876,1.2758,-4.2335,0.595,-0.1164,0.8876,0.1986,0.1017
1m0q,0.4389,1.3527,-2.5635,0.2727,-0.3959,0.6028,-0.6155,0.7803
1m2q,0.3285,0.7240,-0.3535,-0.2589,-0.5198,0.5613,-0.4223,-0.2658
1mq6,1.3859,1.2720,4.6965,0.646,0.4704,1.5376,-0.1884,-0.815
1n2v,-1.1342,0.5884,-2.3735,-0.8139,-0.7025,-0.0498,-0.9357,-0.2012
1nc1,0.5693,0.7611,-0.3335,-0.0227,-0.5308,-0.1381,-0.68,-0.4871
1ndw,-0.0831,0.5576,-1.2235,-0.3912,-0.5457,0.217,-0.4144,-0.1013
1ndy,0.4619,0.6814,-0.2835,-0.0346,-0.1097,0.5723,0.0561,-0.4012
1ndz,1.7983,1.1904,1.6565,1.5653,1.1632,0.7932,0.6191,-0.9225
1nfy,1.0490,0.6520,2.4365,0.3055,0.3935,0.1875,0.5837,-0.7882
1nhu,-0.0169,1.3482,-0.7935,-0.5349,0.2219,1.4086,0.8698,-0.3043
1nja,-0.6718,0.5441,-0.1435,-0.4462,-0.5711,-0.3032,-0.9501,-0.1787
1nje,-0.6730,0.5414,-2.6535,-0.4597,-0.5711,-0.3032,-0.9501,-0.1787
1nny,2.0283,1.1521,1.2065,1.6728,2.208,0.34,1.6253,-0.8653
1nvq,1.3829,0.8684,1.7965,0.9592,1.2758,0.7317,-0.387,-0.8289
1nwl,0.7094,0.9878,-4.0635,-0.3664,0.0813,-0.2099,-0.1007,-0.321
1o0h,-1.2865,0.1127,-0.5335,-0.0312,-0.1291,-0.2696,-1.214,-0.5488
1o3f,0.1590,0.6175,1.5065,-0.2617,0.1494,0.6865,0.3485,-0.6096
1o3p,0.3954,1.1331,0.2065,0.0082,0.0703,0.3936,1.2189,-0.7179
1om1,0.5259,1.1230,0.3165,-0.0498,-0.0829,0.2411,-0.4223,-0.3825
1p1q,0.3122,0.4101,-1.5635,-0.78,-1.0519,-1.0058,-0.9148,0.4506
1pb9,-1.5302,1.2118,-2.8335,-1.5958,-1.4668,-0.8582,-1.214,0.0382
1pbq,-1.4176,0.9847,-0.1835,-0.7117,-0.982,0.3595,-0.6862,-0.0545
1ppm,1.1778,1.3532,-0.6535,1.2085,1.2043,1.0091,0.4062,0.0875
1pr5,-0.8878,0.7247,-2.5335,-0.5881,-0.6269,-0.5604,-0.9501,-0.4607
1pxo,-0.1788,0.8076,2.2465,-0.1077,-0.3792,0.8315,-0.387,-0.592
1pz5,0.5562,1.3684,-1.0535,2.0405,3.1383,-1.9879,1.2082,-0.0781
1q7a,-0.6764,0.9058,0.7365,-0.4483,-0.1916,0.9396,0.6477,-0.415
1q8t,0.4577,1.1534,-1.6935,-0.363,-0.5788,0.3121,0.7264,-0.0746
1rdi,-2.0697,0.3916,-4.3935,-1.6242,-1.1983,-0.6111,-0.9148,0.4658
1rdj,-2.3963,0.9522,-4.7935,-1.644,-1.2766,-0.8126,-0.9148,0.4337
1rdl,-2.5285,0.7182,-4.2135,-1.6012,-1.2721,-1.1292,-1.214,0.4478
1re8,1.8339,1.1586,3.0665,1.4416,0.6968,0.4826,1.1755,-0.7185
1rnt,-0.4172,1.0622,-1.2635,-0.5375,-0.2728,-0.6584,-1.214,-0.4172
1s39,-2.0233,0.5459,1.2465,-1.1721,-0.9942,0.019,-0.6862,-0.0618
1sl3,1.9659,1.2106,5.3965,1.2735,0.5592,0.3807,0.54,-0.8556
1slg,-0.4427,1.3685,-2.5535,1.1519,2.3798,-2.4523,0.1632,-0.188
1sqa,-1.4318,0.8334,2.7565,0.0172,0.5274,0.1196,0.8685,-0.6656
1sv3,-1.1805,1.1975,-2.1035,-1.303,-1.2607,-0.1186,0.0846,0.2239
1syh,-0.7601,1.2724,-0.0435,-0.4014,-0.6758,-1.2503,-0.379,0.024
1tmn,-0.9595,1.0453,0.8465,0.1415,0.8381,-0.237,0.0716,-0.2905
1toi,-0.6992,0.2181,-2.4035,-1.1212,-1.1866,-0.023,-0.4144,0.3699
1toj,-0.6712,0.2347,-3.0635,-1.069,-1.1866,-0.023,-0.4144,0.3699
1tok,-1.5968,1.3401,-3.9835,-1.457,-1.5596,-1.048,-0.6854,0.9736
1trd,-1.1079,0.4200,-1.0535,-1.4304,-1.3868,-0.2977,-1.214,1.0549
1tsy,-0.9203,0.2528,-1.4935,-0.5265,-0.5168,-0.3922,-1.214,-0.1357
1ttm,0.0100,0.9463,0.8965,-0.7465,-0.275,0.3698,0.6701,-0.3499
1tyr,-0.6015,1.3592,0.5465,-1.2971,-0.21,1.1782,1.5064,1.196
1u1b,0.2066,1.2485,1.3465,0.8462,1.9049,0.0631,-0.9148,-0.977
1u2y,-2.0829,0.5940,-4.7135,-1.2398,-1.197,-1.1162,-1.214,0.5212
1u33,-0.2291,1.3271,-1.8535,0.958,0.2531,-2.2554,-1.214,-0.3102
1utp,-2.0804,0.5199,-5.0135,-1.3623,-1.0187,0.2488,-0.136,0.4216
1uwt,-1.5460,0.2973,-0.4835,-0.7969,-1.197,-1.1162,-1.214,0.5212
1v2o,-1.9195,0.3678,-1.7235,-0.5976,0.3213,-0.5563,0.3838,-0.1029
1v48,-0.7568,1.1375,1.3465,-0.0874,-0.3549,0.3313,-0.6573,-0.1827
1vfn,0.1556,0.4078,-0.8535,-1.3172,-1.1655,-0.2457,-1.214,-0.0835
1vzq,0.5522,1.3510,0.9865,0.9485,0.6058,-0.8287,0.0846,-0.9175
1x1z,-1.6940,0.5721,4.6065,0.255,-0.4763,-0.8,-1.214,-0.0741
1xgj,-0.2636,0.9276,-0.4535,-0.6246,-0.5808,-0.4505,-0.1884,-0.2122
1y1m,-1.4458,1.2373,-4.6335,-1.3943,-1.3146,-0.6633,-0.6573,0.521
1y6q,2.5697,0.2098,5.2465,-0.0804,-0.3795,-0.359,-0.9439,-0.4421
1ydt,1.8807,0.7806,0.8665,0.5575,0.2757,0.6497,0.3489,-0.5891
1zc9,-0.7183,1.0936,-3.2335,-0.6892,-0.814,-0.0371,-0.9148,0.6694
1zoe,0.5254,1.3537,0.9465,-0.6317,-0.9669,1.3048,1.569,-0.1969
1zs0,0.4474,0.9379,-0.3035,0.3656,0.0788,0.9961,0.585,-0.0601
1zvx,0.4535,0.9445,2.7665,0.3738,0.0788,0.9961,0.585,-0.0601
2aou,1.3134,1.1246,1.2765,0.0526,0.0606,1.0224,1.2318,-0.359
2ayr,1.8370,1.3066,2.8365,1.1954,1.1983,1.3593,2.7383,-0.8795
2b1v,1.0741,0.6843,-0.7135,-0.3892,-0.5026,0.7255,0.4127,-0.2834
2b7d,0.4050,1.3543,2.2465,0.5968,0.9154,-0.7793,1.3976,-0.4684
2baj,0.8622,1.3535,1.9465,0.3602,-0.0325,1.749,-0.1584,-0.4166
2bak,1.3864,0.9007,0.9765,1.3596,1.5439,0.859,0.6477,-1.0217
2bok,0.0496,0.8617,0.0965,0.3754,0.4303,-0.7682,-0.6862,-0.5634
2brb,-0.0561,1.3341,-1.5935,-0.1793,-0.0044,1.0836,-0.971,-0.5792
2brm,-0.0654,1.1300,-0.5635,-0.1474,0.0454,1.002,-0.7281,-0.5407
2bz6,0.4310,1.2630,0.6365,0.5595,0.1753,-0.2108,0.4048,-0.4103
2bzz,0.7516,1.3647,-0.0235,1.7001,1.8861,-0.1794,-1.214,-1.2864
2c02,-1.6814,0.3242,-2.4135,-0.3694,-0.1291,-0.2696,-1.214,-0.5488
2ceq,-0.5129,0.2042,0.8265,-0.6656,-1.0165,-0.6958,-1.214,-0.0451
2cer,1.1397,0.8278,2.7665,0.1345,-0.3332,-0.1458,-0.4144,-0.4179
2cet,1.1485,0.7329,1.5665,0.0354,-0.3332,-0.1458,-0.4144,-0.4179
2cgr,0.2557,1.2933,0.8265,-0.0725,0.1376,0.0284,0.3276,-0.2914
2ctc,-2.1332,0.6183,-2.5635,-0.9657,-1.165,-0.3401,-0.971,0.3889
2d0k,-0.2005,1.3328,-1.4335,-0.0202,0.2332,-0.973,0.3983,-0.639
2d1o,1.1144,0.6525,1.2465,0.6458,0.7374,-0.1627,0.942,0.8187
2d3u,1.1955,0.7240,0.4665,-0.1676,0.0129,0.7135,0.6268,-0.4959
2d3z,0.7832,0.7029,0.1865,-0.214,-0.1089,0.7959,0.6477,-0.5403
2drc,-0.2371,1.0627,3.4365,-0.0375,0.2714,-0.8765,0.3983,-0.5488
2er9,1.6262,1.3603,0.9465,2.3991,3.2866,0.2677,1.5549,-0.3966
2f01,1.1453,0.1964,6.5465,-0.4089,-0.8944,-0.3025,-0.379,-0.2302
2f80,3.0912,0.0553,1.7265,1.3327,1.0178,0.5951,0.8987,-0.5478
2fai,0.2048,0.8121,-0.2135,-0.3496,-0.4066,0.8013,0.3918,-0.1941
2fdp,1.6495,1.3229,1.1365,1.3288,1.3567,1.3127,1.7113,-0.21
2flb,0.6579,0.9658,-0.7135,-0.1624,-0.042,0.1067,-0.4223,-0.7294
2fzc,-0.3873,1.3090,-3.7535,-0.7618,-0.8361,-0.3441,-1.214,2.0259
2g5u,0.2774,1.3529,2.0365,-0.6419,-1.0185,1.5203,0.3276,-0.1361
2g8r,-1.2689,1.3526,-2.4635,-0.6984,-0.1343,-1.6154,-1.214,-0.268
2g94,1.4420,1.3579,3.0665,1.8212,1.5943,0.3032,0.9773,1.5238
2gss,0.2308,0.9315,-1.5135,-1.0226,-0.8261,0.563,-0.1645,0.3896
2hdq,-2.2002,1.0622,-5.0535,-1.602,-1.436,-0.1023,-0.7162,0.0644
2i0d,4.0844,0.8374,5.6465,1.695,1.5969,0.9904,1.4474,-0.5331
2j77,-1.4039,0.1008,-1.5635,-1.0918,-1.2037,-1.367,-1.214,0.6124
2j78,-1.5175,0.3274,-0.0335,-0.7641,-1.197,-1.1162,-1.214,0.5212
2qwb,-0.5073,1.0020,-3.7135,-0.4501,-0.7588,-1.7408,-1.214,0.9317
2qwd,-0.6235,1.0896,-1.6035,-0.4574,-0.7254,-1.724,-1.214,0.9206
2qwe,-0.7704,0.4981,1.0265,-0.0538,-0.5432,-2.2103,-0.9497,1.0376
2rkm,-0.6368,1.3607,-2.5535,-0.1517,-0.5096,-1.4751,0.1777,3.135
2std,2.2938,0.6436,3.3965,-0.2077,-0.5807,1.3228,0.1344,-0.0827
2usn,-0.2465,1.3041,0.0565,-0.3581,-0.0366,1.0412,-0.7281,-0.6122
3gss,-0.2727,1.3497,-0.6335,0.5531,0.4548,-1.1979,-0.4079,0.9307
3pce,-2.0890,0.2435,-4.4535,-1.1085,-1.2254,-0.2339,-0.4432,0.3661
3pch,-0.8263,0.7825,-1.0535,-1.0456,-1.3356,-0.0107,-0.1793,0.307
3pcj,-1.4820,0.4185,0.7665,-1.0074,-1.257,-0.6146,-0.9501,0.3628
3std,1.1998,1.3397,4.6565,0.6668,0.2485,1.4455,-0.1858,-0.6288
4er2,2.4553,0.3975,2.8465,1.2211,1.6844,-0.0959,0.929,5.2552
4fiv,2.1757,0.8579,0.0665,2.4414,2.9702,0.9633,1.2844,-0.4809
4tln,-2.2471,1.0532,-2.7335,-1.482,-1.2462,-0.3991,-0.9566,2.4856
5abp,-0.6082,0.5103,0.1865,-0.9019,-1.2721,-1.1292,-1.214,0.4478
5er1,-0.2641,1.3582,-0.4335,0.4089,1.0283,-0.1295,-0.4562,1.6225
6fiv,0.8648,0.6598,1.6265,0.2216,0.4965,0.5294,0.107,-0.009
6rnt,-1.5380,0.6598,-4.0835,-0.771,-0.3818,-0.4407,-1.214,-0.4392
6std,0.5267,1.1647,2.1865,-0.0586,-0.5701,0.9623,-0.144,-0.1185
8abp,-0.6214,0.5089,1.5465,-0.9083,-1.2721,-1.1292,-1.214,0.4478
1f8b,-2.0245,0.1986,-1.0535,-0.4251,-0.7984,-1.4928,-0.9497,0.8026
1f8c,-0.6363,1.0932,0.9465,-0.462,-0.7254,-1.724,-1.214,0.9206
1f8d,-1.1178,1.2352,-3.0535,-0.3731,-0.7254,-1.724,-0.9497,0.8483
1hnn,-1.3183,0.9324,-0.2135,-0.8217,-0.8064,-0.4592,-0.4432,-0.0048
1igj,0.6030,1.3481,3.5465,-0.0707,1.0154,0.62,2.8215,-0.7831
1lbk,-1.7338,0.4032,-3.2735,-0.654,-0.8019,-1.8597,-1.214,2.585
1lor,-1.6944,0.5730,4.6065,0.257,-0.4763,-0.8,-1.214,-0.0741
1n1m,-0.3554,1.0844,-0.7535,-1.0625,-1.0315,-0.1751,-0.6573,0.6043
1o5b,-0.6118,0.3179,-0.6835,-1.0228,-0.9682,0.1622,0.5643,-0.168
1oyt,0.7215,1.2171,0.7865,0.6006,0.409,-0.3852,0.0846,-0.7528
1ps3,-0.8001,0.5255,-4.1735,-0.5265,-1.0186,-1.4529,-1.214,-0.054
1q8u,0.1302,1.1637,-0.4935,-0.0782,-0.0562,0.1373,-0.1086,-0.2283
1qi0,-2.5494,0.4525,-4.1035,-0.9622,-0.6237,-1.7996,-1.214,0.0167
1r5y,-0.8790,0.5749,0.0065,-1.0255,-0.9467,-0.1098,-0.4223,-0.0749
1sln,-0.0096,1.3463,0.1865,0.4659,0.7301,-0.9819,0.691,0.2526
1uto,-1.8520,0.3105,-4.1835,-1.436,-1.1944,0.0084,-0.971,0.3714
1w3k,-0.6377,0.7956,-2.1535,-0.237,-0.6567,-1.8615,-1.214,-0.0156
1w3l,-0.7554,1.2269,-0.1735,0.6733,0.0411,-2.5318,-1.214,-0.3483
1w4o,-2.0992,0.2298,-1.2335,-0.7145,-0.4945,-0.7093,-1.214,-0.0386
1xd0,-0.2553,1.3107,0.6665,2.043,1.7599,-3.7373,-0.9148,-0.7398
1yc1,0.1415,0.5426,-0.2835,0.519,-0.0686,0.4208,0.342,-0.6269
1z95,0.5629,1.3029,0.6665,0.7615,-0.0727,0.7505,0.9326,-0.0739
1zea,-0.9941,1.3887,-1.2335,1.0454,3.1498,-3.1182,0.3918,-0.176
2cbj,0.6475,0.2570,1.8165,-0.2476,-0.3886,-0.3936,-0.461,-0.2048
2fvd,0.1026,0.9585,2.0665,0.5896,0.1453,0.2985,-0.1295,-0.5329
2g70,-1.1363,0.7143,1.3165,-0.7128,-0.8608,-0.2676,-0.971,0.0031
2hb1,-0.6319,1.3236,-2.6535,-1.0227,-1.2539,-0.444,-0.5183,0.0178
2iwx,0.3241,1.1658,0.2265,0.0422,-0.2722,1.0741,-0.1007,0.1014
2j62,2.1047,1.0316,4.8865,0.6544,0.0844,0.0945,-0.4144,-0.3152
2jdm,-1.0054,0.2086,-1.0535,-1.2678,-1.1983,-0.6111,-0.9148,0.4658
2jdu,-1.0237,0.2060,0.2665,-1.2774,-1.1983,-0.6111,-0.9148,0.4658
2jdy,-2.6779,0.3567,-2.0835,-1.248,-1.1823,-0.9277,-1.214,0.4884
2obf,0.7868,0.9418,2.3965,0.2297,-0.1669,0.2087,0.6124,-0.4448
2ole,0.3533,0.8475,0.7965,0.0406,0.2131,0.7003,0.6557,-0.3532
2p4y,2.0703,1.3545,2.5465,1.468,0.9707,1.6761,1.4748,-0.731
2pcp,-0.0407,0.8550,2.2465,-0.3479,-0.4121,0.7613,0.1777,-0.1163
2qbp,1.4909,1.0377,1.9465,0.6878,0.716,0.5029,1.0522,-0.7446
2qbr,1.0973,0.8685,-0.1235,-0.0661,-0.0871,0.5663,0.4955,-0.5474
2qmj,-1.3809,0.4309,-2.2435,0.8412,0.9594,-3.0916,-0.407,-0.557
2r23,-1.0321,1.3100,-2.7335,-0.0807,0.0842,-2.6618,-1.214,0.3298
2v00,0.0677,0.4396,-2.7935,-0.7572,-0.7117,0.2137,-0.4144,-0.1992
2v7a,0.6485,0.8579,1.8465,0.6496,0.7936,0.2412,0.0846,-0.9859
2vl4,-1.2142,0.1479,-0.4435,-1.0627,-1.2037,-1.3038,-1.214,0.6124
2vo5,-0.2655,1.2653,-1.5635,-0.2316,-0.4411,-0.7779,-1.214,-0.2549
2vot,2.3510,0.4691,0.6865,0.0716,-0.3771,-0.1991,-0.6862,-0.4544
2vvn,-0.3598,0.9737,0.8465,-0.4191,-0.9329,-0.5969,-0.9148,-0.2653
2vw5,0.9512,1.3556,2.0665,0.437,0.8692,1.3107,2.0269,0.7445
2w66,-0.7313,1.2694,-2.4035,-0.5043,-0.8901,-1.5196,-1.214,0.936
2wbg,-0.4281,0.5384,-2.0035,-0.0413,-0.3692,-0.1927,-0.9357,-0.1338
2wca,0.5314,0.6531,-0.8535,-0.3913,-0.1893,-0.1532,-0.1827,-0.1413
2weg,-0.9284,0.2083,0.0465,-1.2527,-1.1937,0.009,-0.6862,0.3968
2wtv,1.5801,0.9562,2.2865,0.6744,0.4153,1.26,0.6124,-0.8372
2x00,1.7232,1.3603,4.8765,0.7981,1.231,1.868,3.1764,-0.4297
2x0y,-0.7489,0.7162,-1.8535,-0.3793,-0.5691,-0.8186,-1.214,0.0167
2x8z,-0.6683,0.3195,1.5065,-0.9569,-1.0426,-0.3545,-0.6573,0.5157
2xb8,0.1249,0.4490,1.1365,0.2719,-0.5519,-0.7438,-0.1649,-0.0003
2xbv,0.3550,0.7073,1.9765,0.9874,0.6493,0.4789,0.1055,-0.6984
2xdl,0.1416,1.3241,-3.3535,-0.5032,-0.8434,0.4434,0.1762,0.5762
2xhm,1.1902,1.3420,0.3465,1.2173,0.8421,0.6073,0.585,0.2692
2xnb,0.7646,0.9512,0.3765,0.4139,0.1711,0.2759,0.4048,-0.7878
2xys,0.0722,0.7160,0.9665,0.2139,0.1873,0.0072,-0.2063,-0.7977
2y5h,0.7150,0.4706,-0.6635,0.3274,0.4661,0.4351,-0.6862,-0.8251
2yfe,-0.0394,1.2074,0.1765,-0.2332,-0.1023,0.8055,0.9694,0.134
2yge,0.0388,0.7456,-1.3935,0.729,0.9818,0.6053,0.442,0.7164
2yki,1.0871,1.0829,3.0065,1.3028,0.9696,1.4041,0.5496,-1.0257
2ymd,-0.3795,0.4175,-3.2935,-0.8843,-0.8496,0.066,-0.1793,-0.0856
2zjw,0.3191,0.8122,1.2465,-0.1003,-0.456,0.2677,-0.6862,-0.4595
2zwz,-1.2314,1.2769,1.3365,-1.0414,-1.0531,-1.4785,-0.9148,0.8306
2zx6,1.1332,1.2035,4.1465,-0.0726,-0.054,-0.6779,-0.4079,-0.4836
2zxd,-1.2598,1.3478,-1.2335,-1.0595,-1.0717,-0.8544,-1.214,0.8196
3acw,0.2496,0.6860,-1.6935,-0.0735,-0.2264,0.4332,-0.4851,-0.5937
3ag9,-0.4059,1.3902,1.5965,1.2528,3.4568,-2.7186,1.8477,-0.3569
3ao4,-0.9117,0.9816,-4.3835,-0.676,-0.7955,0.294,-0.4223,-0.5708
3b3s,-0.2319,0.4215,-3.9035,-1.415,-1.3079,-0.6319,-0.9566,2.372
3b3w,-0.1860,0.4611,-2.2635,-1.3489,-1.3079,-0.6319,-0.9566,2.372
3b68,1.6168,1.3157,1.9465,1.1245,-0.0298,0.8925,0.6687,-0.1798
3bfu,-0.2729,0.5495,-0.1835,-0.9449,-1.1736,-1.1429,-1.214,0.2579
3bkk,1.3173,1.3254,-0.3735,1.4041,0.7046,0.161,0.3564,-0.3942
3bpc,-0.8995,1.3497,-1.6535,-0.3912,-0.0064,-1.6724,-0.3721,0.0324
3cft,-0.4906,1.2688,-2.2635,-0.923,-0.7888,0.2718,-0.6862,0.1154
