%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 34 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 0.5937657332627665
%.kernel.kernels[0].lengthscales: [0.31932679]
%.kernel.kernels[1].variance: 0.18082900905589777
%.likelihood.variance: 2.772698259912256
%loglikelihood: -7356.2538064608225
%RMSE:1.867
%Pearson_correlation_coefficient:0.585,P-value:0.000
%Spearman_correlation_coefficient:0.589,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2
2b7d,0.7515,0.0086,2.2465,0.5968
2baj,0.4344,0.0076,1.9465,0.3602
2bak,1.5410,0.0143,0.9765,1.3596
2bok,0.4558,0.0077,0.0965,0.3754
2brb,0.0258,0.0060,-1.5935,-0.1793
2brm,0.0911,0.0061,-0.5635,-0.1474
2bz6,0.7232,0.0084,0.6365,0.5595
2bzz,1.9224,0.0210,-0.0235,1.7001
2c02,-0.2973,0.0059,-2.4135,-0.3694
2ceq,-0.4290,0.0056,0.8265,-0.6656
2cer,0.3223,0.0066,2.7665,0.1345
2cet,0.3172,0.0064,1.5665,0.0354
2cgr,0.2218,0.0062,0.8265,-0.0725
2ctc,-1.0279,0.0079,-2.5635,-0.9657
2d0k,0.2830,0.0063,-1.4335,-0.0202
2d1o,0.7662,0.0089,1.2465,0.6458
2d3u,0.0501,0.0060,0.4665,-0.1676
2d3z,-0.0468,0.0060,0.1865,-0.214
2drc,0.2659,0.0063,3.4365,-0.0375
2er9,1.1545,0.0445,0.9465,2.3991
2f01,-0.3276,0.0059,6.5465,-0.4089
2f80,1.4955,0.0141,1.7265,1.3327
2fai,-0.2767,0.0059,-0.2135,-0.3496
2fdp,1.4884,0.0141,1.1365,1.3288
2flb,0.0608,0.0061,-0.7135,-0.1624
2fzc,-0.5721,0.0062,-3.7535,-0.7618
2g5u,-0.4072,0.0055,2.0365,-0.6419
2g8r,-0.4682,0.0057,-2.4635,-0.6984
2g94,2.0827,0.0224,3.0665,1.8212
2gss,-1.1434,0.0079,-1.5135,-1.0226
2hdq,-2.2039,0.0199,-5.0535,-1.602
2i0d,1.9153,0.0209,5.6465,1.695
2j77,-1.2648,0.0077,-1.5635,-1.0918
2j78,-0.5765,0.0062,-0.0335,-0.7641
2qwb,-0.3460,0.0058,-3.7135,-0.4501
2qwd,-0.3481,0.0058,-1.6035,-0.4574
2qwe,0.2469,0.0063,1.0265,-0.0538
2rkm,0.0824,0.0061,-2.5535,-0.1517
2std,-0.0337,0.0060,3.3965,-0.2077
2usn,-0.2861,0.0059,0.0565,-0.3581
3gss,0.7170,0.0083,-0.6335,0.5531
3pce,-1.2916,0.0077,-4.4535,-1.1085
3pch,-1.1859,0.0078,-1.0535,-1.0456
3pcj,-1.1140,0.0079,0.7665,-1.0074
3std,0.7649,0.0091,4.6565,0.6668
4er2,1.2475,0.0139,2.8465,1.2211
4fiv,1.1277,0.0459,0.0665,2.4414
4tln,-1.9785,0.0138,-2.7335,-1.482
5abp,-0.8840,0.0075,0.1865,-0.9019
5er1,0.5073,0.0078,-0.4335,0.4089
6fiv,0.3228,0.0069,1.6265,0.2216
6rnt,-0.5901,0.0063,-4.0835,-0.771
6std,0.2408,0.0063,2.1865,-0.0586
8abp,-0.8989,0.0076,1.5465,-0.9083
1f8b,-0.3362,0.0059,-1.0535,-0.4251
1f8c,-0.3493,0.0058,0.9465,-0.462
1f8d,-0.3007,0.0059,-3.0535,-0.3731
1hnn,-0.6976,0.0068,-0.2135,-0.8217
1igj,0.2244,0.0062,3.5465,-0.0707
1lbk,-0.4177,0.0056,-3.2735,-0.654
1lor,0.3356,0.0070,4.6065,0.257
1n1m,-1.2157,0.0078,-0.7535,-1.0625
1o5b,-1.1437,0.0079,-0.6835,-1.0228
1oyt,0.7536,0.0086,0.7865,0.6006
1ps3,-0.3603,0.0057,-4.1735,-0.5265
1q8u,0.2134,0.0062,-0.4935,-0.0782
1qi0,-1.0204,0.0079,-4.1035,-0.9622
1r5y,-1.1488,0.0079,0.0065,-1.0255
1sln,0.5993,0.0080,0.1865,0.4659
1uto,-1.8785,0.0126,-4.1835,-1.436
1w3k,-0.0939,0.0060,-2.1535,-0.237
1w3l,0.7636,0.0091,-0.1735,0.6733
1w4o,-0.4912,0.0058,-1.2335,-0.7145
1xd0,1.9986,0.0284,0.6665,2.043
1yc1,0.6773,0.0082,-0.2835,0.519
1z95,0.7186,0.0100,0.6665,0.7615
1zea,0.8112,0.0131,-1.2335,1.0454
2cbj,-0.1149,0.0059,1.8165,-0.2476
2fvd,0.7473,0.0085,2.0665,0.5896
2g70,-0.4886,0.0058,1.3165,-0.7128
2hb1,-1.1436,0.0079,-2.6535,-1.0227
2iwx,0.3194,0.0064,0.2265,0.0422
2j62,0.7661,0.0090,4.8865,0.6544
2jdm,-1.5420,0.0087,-1.0535,-1.2678
2jdu,-1.5587,0.0089,0.2665,-1.2774
2jdy,-1.5086,0.0084,-2.0835,-1.248
2obf,0.3249,0.0069,2.3965,0.2297
2ole,0.3190,0.0064,0.7965,0.0406
2p4y,1.6737,0.0161,2.5465,1.468
2pcp,-0.2748,0.0059,2.2465,-0.3479
2qbp,0.7595,0.0093,1.9465,0.6878
2qbr,0.2308,0.0062,-0.1235,-0.0661
2qmj,0.6696,0.0108,-2.2435,0.8412
2r23,0.2097,0.0062,-2.7335,-0.0807
2v00,-0.5634,0.0061,-2.7935,-0.7572
2v7a,0.7663,0.0089,1.8465,0.6496
2vl4,-1.2160,0.0078,-0.4435,-1.0627
2vo5,-0.0828,0.0060,-1.5635,-0.2316
2vot,0.3249,0.0065,0.6865,0.0716
2vvn,-0.3333,0.0059,0.8465,-0.4191
2vw5,0.5527,0.0079,2.0665,0.437
2w66,-0.3572,0.0057,-2.4035,-0.5043
2wbg,0.2618,0.0063,-2.0035,-0.0413
2wca,-0.3158,0.0059,-0.8535,-0.3913
2weg,-1.5164,0.0085,0.0465,-1.2527
2wtv,0.7633,0.0092,2.2865,0.6744
2x00,0.6937,0.0104,4.8765,0.7981
2x0y,-0.3062,0.0059,-1.8535,-0.3793
2x8z,-1.0090,0.0078,1.5065,-0.9569
2xb8,0.3441,0.0071,1.1365,0.2719
2xbv,0.7178,0.0124,1.9765,0.9874
2xdl,-0.3570,0.0057,-3.3535,-0.5032
2xhm,1.2376,0.0139,0.3465,1.2173
2xnb,0.5153,0.0078,0.3765,0.4139
2xys,0.3213,0.0068,0.9665,0.2139
2y5h,0.3933,0.0074,-0.6635,0.3274
2yfe,-0.0861,0.0060,0.1765,-0.2332
2yge,0.7397,0.0097,-1.3935,0.729
2yki,1.4378,0.0140,3.0065,1.3028
2ymd,-0.8427,0.0074,-3.2935,-0.8843
2zjw,0.1784,0.0062,1.2465,-0.1003
2zwz,-1.1783,0.0078,1.3365,-1.0414
2zx6,0.2216,0.0062,4.1465,-0.0726
2zxd,-1.2105,0.0078,-1.2335,-1.0595
3acw,0.2204,0.0062,-1.6935,-0.0735
3ag9,1.3263,0.0139,1.5965,1.2528
3ao4,-0.4404,0.0056,-4.3835,-0.676
3b3s,-1.8328,0.0120,-3.9035,-1.415
3b3w,-1.6937,0.0104,-2.2635,-1.3489
3b68,0.9931,0.0137,1.9465,1.1245
3bfu,-0.9824,0.0078,-0.1835,-0.9449
3bkk,1.6041,0.0149,-0.3735,1.4041
3bpc,-0.3158,0.0059,-1.6535,-0.3912
3cft,-0.9329,0.0077,-2.2635,-0.923
3cj2,-1.1161,0.0079,-1.6035,-1.0085
3coy,0.7329,0.0125,-0.4335,0.9989
3cyx,1.8856,0.0311,1.5465,2.0913
3d4z,-0.5117,0.0059,-1.5635,-0.7276
3dd0,-0.8416,0.0074,2.5465,-0.8838
3dxg,-0.4718,0.0057,-4.0535,-0.701
3e93,1.6094,0.0149,2.3965,1.4084
3ebp,-0.1840,0.0059,-0.5435,-0.2851
3ehy,-0.3696,0.0056,-0.6035,-0.5712
3ejr,0.3605,0.0072,2.1165,0.294
3f17,0.1497,0.0061,2.1765,-0.1167
3f3a,-0.3872,0.0055,-2.2635,-0.6129
3f3c,-0.4498,0.0057,-0.4335,-0.684
3f3e,-1.5661,0.0089,1.2465,-1.2816
3f80,-0.7195,0.0069,-2.2335,-0.8314
3fcq,-1.0562,0.0079,-3.6835,-0.979
3fv1,0.3256,0.0065,2.8465,0.0911
3g0w,0.3312,0.0070,3.0665,0.2476
3g2n,0.2440,0.0063,-2.3635,-0.0561
3g2z,-1.5329,0.0086,-4.0935,-1.2624
3gbb,-0.2611,0.0059,0.4465,-0.3366
3gcs,0.6595,0.0111,0.7965,0.8741
3ge7,0.3242,0.0069,2.2465,0.2272
3gnw,1.6355,0.0153,2.6465,1.4307
3gy4,-1.4489,0.0079,-1.3535,-1.2108
3huc,0.0774,0.0061,-0.4635,-0.1542
3imc,-1.2089,0.0078,-3.4935,-1.0586
3ivg,0.7456,0.0096,-2.1535,0.7186
3jvs,-0.3402,0.0059,0.0865,-0.434
3k5v,0.3230,0.0066,-0.1535,0.1281
3kgp,-1.4025,0.0077,-3.8835,-1.1807
3kv2,-0.7799,0.0071,0.8665,-0.8575
3kwa,-0.9852,0.0078,-2.3735,-0.9461
3l3n,1.3960,0.0139,1.7265,1.2831
3l4u,-0.1006,0.0060,1.0665,-0.2404
3l4w,-0.6232,0.0064,-0.4535,-0.7874
3l7b,-0.0900,0.0060,-4.0535,-0.2351
3lka,-1.1409,0.0079,-3.6335,-1.0213
3mfv,-0.6012,0.0063,-3.9335,-0.7766
3mss,-0.8556,0.0074,-1.7935,-0.8897
3myg,0.3239,0.0066,4.2465,0.1197
3n7a,-1.0786,0.0079,-2.7535,-0.9898
3n86,0.6985,0.0083,-0.8135,0.5362
3nox,0.0218,0.0060,2.2065,-0.1812
3nq3,-1.6533,0.0099,-2.6735,-1.3285
3nw9,1.6355,0.0153,2.5465,1.4307
3oe5,0.7082,0.0102,0.4265,0.7767
3ov1,0.2598,0.0063,-1.2535,-0.043
3owj,-0.3611,0.0057,-0.3835,-0.5312
3ozt,0.7351,0.0098,-2.3235,0.7366
3pe2,0.3214,0.0064,3.3065,0.0495
3pww,2.1247,0.0230,0.8665,1.8734
3pxf,-1.3962,0.0077,-2.0235,-1.1766
3s8o,0.3256,0.0065,0.3965,0.088
3su2,1.2256,0.0139,0.8965,1.2127
3su3,1.3966,0.0139,2.6765,1.2833
3su5,1.1453,0.0139,-0.8735,1.1822
3u9q,-1.3902,0.0077,-2.0735,-1.1726
3udh,-1.1092,0.0079,-3.6035,-1.005
3ueu,-1.4130,0.0078,-1.2135,-1.1876
3uex,-0.5460,0.0061,0.4665,-0.7477
3uo4,0.3196,0.0067,0.0665,0.1629
3uri,1.1366,0.0452,2.5465,2.4234
3utu,1.3778,0.0139,4.4665,1.2749
3vh9,-1.3470,0.0076,-0.2135,-1.1442
3zso,0.7078,0.0083,-1.3335,0.5444
3zsx,0.2667,0.0063,-3.1735,-0.0368
4de1,-0.0235,0.0060,-0.4935,-0.2029
4de2,0.0951,0.0061,-2.3335,-0.1454
4des,-0.2676,0.0059,-0.6035,-0.3419
4dew,-0.3466,0.0058,0.5465,-0.4522
4djr,1.6441,0.0155,5.0665,1.4386
4djv,0.3200,0.0067,0.2665,0.1585
4g8m,-1.0916,0.0079,1.4365,-0.9962
4gid,1.1338,0.0454,4.3165,2.4282
4gqq,-1.8159,0.0118,-3.5635,-1.4072
1c5z,-1.7457,0.0110,-2.4435,-1.3742
1eby,1.5621,0.0379,3.2465,2.2029
1g2k,1.9235,0.0210,1.5065,1.7009
1gpn,0.0958,0.0061,0.0265,-0.145
1h22,1.0464,0.0138,2.6465,1.145
1k1i,0.3189,0.0067,0.1265,0.1774
1lpg,0.6584,0.0113,0.6365,0.8923
1nc3,0.1501,0.0061,-1.4535,-0.1165
1owh,-0.2834,0.0059,0.9465,-0.3556
1p1n,-0.4067,0.0055,0.3465,-0.6413
1pxn,0.2187,0.0062,0.6965,-0.0747
1qf1,0.3224,0.0066,0.8665,0.1343
1qkt,-0.2475,0.0059,2.5865,-0.3263
1s38,-0.9223,0.0077,-1.3035,-0.9184
1syi,-0.3477,0.0058,-1.0135,-0.4561
1y6r,0.2371,0.0063,3.6565,-0.0615
1ydr,-0.0787,0.0060,-0.9335,-0.2295
1z6e,0.6633,0.0116,3.2665,0.9187
1z9g,-0.6452,0.0065,-0.8135,-0.7978
2al5,-0.3666,0.0056,1.9465,-0.5599
2br1,0.3540,0.0072,-1.3135,0.286
2c3i,0.0364,0.0060,1.1465,-0.1742
2cbv,-0.9708,0.0078,-0.9735,-0.9397
2fxs,0.3244,0.0065,-0.3935,0.1135
2j7h,-1.4697,0.0081,0.7365,-1.224
2p15,0.6596,0.0111,3.8465,0.8739
2pog,-0.0028,0.0060,3.0865,-0.193
2qbq,0.3304,0.0070,0.9865,0.2455
2qe4,0.2214,0.0062,1.5065,-0.0728
2qnq,1.6746,0.0161,-0.3435,1.4689
2r9w,0.1966,0.0062,-1.3535,-0.0892
2vkm,1.4310,0.0402,2.2865,2.2491
2w4x,-0.4042,0.0055,-1.6035,-0.6382
2wer,0.2816,0.0063,0.5965,-0.0218
2wn9,-0.3996,0.0055,2.0665,-0.632
2wnc,-0.2475,0.0059,-0.1335,-0.3263
2wvt,-1.1499,0.0079,-0.3335,-1.026
2xii,0.3236,0.0066,0.7465,0.1221
2xj7,-0.3608,0.0057,0.2065,-0.5296
2zb1,0.3375,0.0070,-0.1335,0.2606
2zda,0.5257,0.0079,1.9465,0.4204
2zy1,0.3254,0.0069,0.9465,0.2314
3arp,0.6591,0.0112,0.6965,0.8772
3arq,0.4021,0.0074,-0.0535,0.335
3aru,-0.5167,0.0059,-3.2335,-0.7307
3arv,-0.3427,0.0059,-0.8135,-0.4406
3ary,-1.0109,0.0078,-0.4535,-0.9578
3b1m,0.9386,0.0136,2.0265,1.1028
3b27,-0.4187,0.0056,-1.2935,-0.6551
3b5r,0.7592,0.0093,2.3165,0.6886
3b65,0.4767,0.0077,2.8165,0.3893
3bgz,0.1505,0.0061,-0.1935,-0.1162
3bv9,0.8158,0.0131,-1.0935,1.0478
3cj4,-0.3849,0.0055,0.0565,-0.6088
3coz,0.6637,0.0110,-0.8835,0.8567
3d6q,-0.5937,0.0063,-2.6935,-0.7729
3dx1,-1.4847,0.0082,-2.8735,-1.2334
3dx2,-0.7528,0.0070,0.3665,-0.8459
3e5a,0.5863,0.0080,1.7765,0.4577
3e92,0.3511,0.0072,1.5465,0.2821
3f3d,-1.5648,0.0089,0.7065,-1.2808
3fur,0.5705,0.0080,1.5465,0.4479
3fv2,0.3087,0.0064,1.6565,0.016
3g31,-2.2150,0.0206,-3.5635,-1.6096
3gc5,-0.0748,0.0060,0.8065,-0.2276
3gr2,-1.6851,0.0103,-3.9335,-1.3447
3gv9,-1.5535,0.0088,-4.3335,-1.2744
3jvr,-0.8960,0.0076,-0.7335,-0.907
3jya,-0.6616,0.0066,0.4365,-0.8054
3kr8,0.3189,0.0067,1.6465,0.1774
3n76,0.4699,0.0077,0.3965,0.3848
3nq9,-2.3060,0.0348,-2.4235,-1.7021
3nx7,-0.1049,0.0060,1.6465,-0.2426
3o9i,1.9431,0.0212,5.3665,1.7149
3oe4,0.6895,0.0121,1.0165,0.961
3ozs,0.7067,0.0123,-1.1235,0.9781
3p5o,0.3207,0.0064,0.8065,0.0469
3prs,2.1241,0.0230,1.3665,1.8721
3pyy,-0.0583,0.0060,0.4065,-0.2196
3qgy,0.5061,0.0078,1.3465,0.4082
3qqs,-0.3395,0.0059,-0.6335,-0.4324
3r88,-1.2755,0.0077,-1.6335,-1.0984
3rlr,0.2907,0.0063,1.0665,-0.0111
3rr4,-0.3486,0.0058,-1.9035,-0.4592
3rsx,-1.1404,0.0079,-2.0435,-1.021
3ryj,-0.3988,0.0055,1.3465,-0.631
3syr,0.2007,0.0062,-1.3535,-0.0866
3tsk,0.9074,0.0135,0.7165,1.0898
3twp,-1.9764,0.0138,-2.5335,-1.481
3u5j,-0.3689,0.0056,-0.8435,-0.5686
3u8k,-0.4020,0.0055,2.2065,-0.6353
3u8n,-0.3386,0.0059,3.7165,-0.4304
3uev,-1.2592,0.0077,-0.5635,-1.0884
3uew,-1.1040,0.0079,-0.1435,-1.0024
3ui7,-0.3041,0.0059,2.5465,-0.3768
3up2,0.3302,0.0070,0.9465,0.245
3uuo,-0.3834,0.0055,1.5065,-0.6058
3wtj,-0.3801,0.0055,0.0765,-0.5992
3wz8,0.7652,0.0091,-0.6335,0.6647
3zdg,-1.0561,0.0079,0.6465,-0.9789
3zt2,-0.2234,0.0059,-3.6135,-0.3095
4abg,-1.2532,0.0077,-2.8835,-1.0848
4agn,-0.3413,0.0059,-2.4835,-0.4368
4agp,-0.1266,0.0059,-1.7635,-0.2537
4agq,0.0208,0.0060,-1.4435,-0.1817
4bkt,-1.1631,0.0079,-2.8335,-1.0332
4cig,0.3199,0.0067,-2.7835,0.1593
4ciw,-0.3612,0.0057,-1.6335,-0.5322
4cr9,-1.1629,0.0079,-2.3535,-1.033
4cra,0.7210,0.0124,0.7665,0.99
4crc,1.0462,0.0138,2.2665,1.1449
4ddh,-0.3827,0.0055,-3.1535,-0.6045
4ddk,-0.8557,0.0074,-4.1635,-0.8898
4de3,-0.3103,0.0059,-0.9335,-0.3841
4dld,0.1912,0.0062,-0.6335,-0.0925
4dli,-0.0648,0.0060,-0.8335,-0.2227
4e5w,0.6969,0.0083,1.2065,0.5348
4e6q,0.3235,0.0066,1.9065,0.1233
4ea2,0.3241,0.0066,-0.0135,0.1174
4eky,0.5377,0.0079,-2.9335,0.4277
4eo8,-0.3066,0.0059,1.6965,-0.3797
4eor,0.3236,0.0069,-0.1535,0.225
4f09,-0.3465,0.0058,0.2465,-0.4519
4f2w,0.1904,0.0062,4.8465,-0.093
4f3c,0.3196,0.0067,5.3665,0.1633
4f9w,0.2831,0.0063,0.4865,-0.0201
4gfm,-0.3252,0.0059,0.7665,-0.4049
4gkm,-0.3553,0.0058,-1.2835,-0.4917
4gr0,2.0846,0.0224,3.0965,1.8231
4hge,0.3230,0.0069,1.4665,0.2225
4ih5,-0.3810,0.0055,-2.3435,-0.601
4ih7,-0.5023,0.0059,-1.2135,-0.7217
4ivb,0.3252,0.0065,2.2665,0.0754
4ivc,0.3194,0.0067,3.5465,0.1659
4ivd,0.3440,0.0071,3.0665,0.2716
4j21,0.2508,0.0063,0.9565,-0.0507
4j28,-1.0841,0.0079,-0.7535,-0.9925
4j3l,0.3968,0.0074,1.3465,0.3305
4jfs,-0.7706,0.0071,-1.1835,-0.8535
4jia,0.3208,0.0068,2.7665,0.2106
4jsz,-2.0348,0.0147,-4.1535,-1.5088
4jxs,-0.3468,0.0058,-1.7135,-0.4528
4k18,0.5058,0.0078,2.5065,0.408
4k77,-0.3241,0.0059,0.1765,-0.4033
4kz6,-1.1475,0.0079,-3.3535,-1.0248
4kzq,-0.0153,0.0060,-0.3535,-0.199
4kzu,0.0194,0.0060,0.0465,-0.1824
4llx,-2.0803,0.0156,-3.5635,-1.5313
4lzs,-0.9621,0.0078,-1.6535,-0.9358
4m0y,-0.3609,0.0057,0.0065,-0.5299
4m0z,0.3249,0.0069,-1.2635,0.2296
4mgd,-0.3189,0.0059,-1.7635,-0.3955
4mme,0.1792,0.0062,0.0465,-0.0998
4ogj,0.2398,0.0063,0.3365,-0.0594
4owm,-1.9792,0.0138,-3.4935,-1.4823
4pcs,-1.2182,0.0078,1.3965,-1.064
4qac,0.3256,0.0065,2.9465,0.0897
4qd6,-0.3315,0.0059,2.1865,-0.4158
