%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 0.669770149679548
%.kernel.kernels[0].lengthscales: [0.30042335 0.43908394]
%.kernel.kernels[1].variance: 0.11950708709420357
%.likelihood.variance: 2.614912711136562
%loglikelihood: -7286.076705184681
%RMSE:1.869
%Pearson_correlation_coefficient:0.572,P-value:0.000
%Spearman_correlation_coefficient:0.578,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT
2weg,-1.4219,0.0116,0.0465,-1.2527,-1.1937
2wtv,1.0914,0.0238,2.2865,0.6744,0.4153
2x00,0.5256,0.0534,4.8765,0.7981,1.231
2x0y,-0.3109,0.0136,-1.8535,-0.3793,-0.5691
2x8z,-1.0786,0.0138,1.5065,-0.9569,-1.0426
2xb8,-0.1786,0.0510,1.1365,0.2719,-0.5519
2xbv,0.9526,0.0312,1.9765,0.9874,0.6493
2xdl,-0.6101,0.0168,-3.3535,-0.5032,-0.8434
2xhm,1.6313,0.0363,0.3465,1.2173,0.8421
2xnb,0.7555,0.0193,0.3765,0.4139,0.1711
2xys,0.6429,0.0163,0.9665,0.2139,0.1873
2y5h,0.7306,0.0242,-0.6635,0.3274,0.4661
2yfe,0.0343,0.0156,0.1765,-0.2332,-0.1023
2yge,0.7605,0.0318,-1.3935,0.729,0.9818
2yki,2.0590,0.0306,3.0065,1.3028,0.9696
2ymd,-0.6967,0.0148,-3.2935,-0.8843,-0.8496
2zjw,0.3713,0.0173,1.2465,-0.1003,-0.456
2zwz,-1.1781,0.0131,1.3365,-1.0414,-1.0531
2zx6,0.4045,0.0148,4.1465,-0.0726,-0.054
2zxd,-1.2076,0.0128,-1.2335,-1.0595,-1.0717
3acw,0.4704,0.0138,-1.6935,-0.0735,-0.2264
3ag9,0.5053,0.5538,1.5965,1.2528,3.4568
3ao4,-0.5145,0.0123,-4.3835,-0.676,-0.7955
3b3s,-1.6340,0.0161,-3.9035,-1.415,-1.3079
3b3w,-1.4166,0.0148,-2.2635,-1.3489,-1.3079
3b68,-0.0962,0.1107,1.9465,1.1245,-0.0298
3bfu,-1.2325,0.0180,-0.1835,-0.9449,-1.1736
3bkk,1.2613,0.0630,-0.3735,1.4041,0.7046
3bpc,-0.3450,0.0200,-1.6535,-0.3912,-0.0064
3cft,-0.6951,0.0170,-2.2635,-0.923,-0.7888
3cj2,-0.9983,0.0282,-1.6035,-1.0085,-0.6427
3coy,0.1385,0.0456,-0.4335,0.9989,0.274
3cyx,2.0982,0.0691,1.5465,2.0913,2.1809
3d4z,-0.9192,0.0166,-1.5635,-0.7276,-1.0165
3dd0,-0.5748,0.0162,2.5465,-0.8838,-0.7636
3dxg,-0.0332,0.0135,-4.0535,-0.701,-0.4945
3e93,2.3556,0.0291,2.3965,1.4084,1.1678
3ebp,-0.4668,0.0266,-0.5435,-0.2851,0.2233
3ehy,-0.5971,0.0140,-0.6035,-0.5712,-0.8202
3ejr,0.3836,0.0162,2.1165,0.294,-0.0118
3f17,0.3321,0.0173,2.1765,-0.1167,-0.4712
3f3a,-0.5030,0.0126,-2.2635,-0.6129,-0.7671
3f3c,-1.0005,0.0282,-0.4335,-0.684,-1.0911
3f3e,-1.2463,0.0140,1.2465,-1.2816,-1.3079
3f80,-1.2819,0.0286,-2.2335,-0.8314,-1.1949
3fcq,-1.1181,0.0136,-3.6835,-0.979,-1.0623
3fv1,0.2837,0.0398,2.8465,0.0911,-0.5826
3g0w,-0.1570,0.0390,3.0665,0.2476,-0.4744
3g2n,0.3199,0.0405,-2.3635,-0.0561,-0.6673
3g2z,-1.7185,0.0157,-4.0935,-1.2624,-1.07
3gbb,-0.3892,0.0222,0.4465,-0.3366,-0.7978
3gcs,0.0646,0.0443,0.7965,0.8741,0.1163
3ge7,0.4838,0.0237,2.2465,0.2272,0.4317
3gnw,1.7113,0.0708,2.6465,1.4307,1.6114
3gy4,-1.3153,0.0113,-1.3535,-1.2108,-1.2037
3huc,-0.0126,0.0195,-0.4635,-0.1542,0.1416
3imc,-1.2017,0.0133,-3.4935,-1.0586,-1.0342
3ivg,0.9423,0.0261,-2.1535,0.7186,0.3726
3jvs,-0.8090,0.0429,0.0865,-0.434,0.2853
3k5v,0.3939,0.0174,-0.1535,0.1281,-0.1967
3kgp,-1.2926,0.0113,-3.8835,-1.1807,-1.1876
3kv2,-1.3324,0.0322,0.8665,-0.8575,-1.2322
3kwa,-0.7365,0.0188,-2.3735,-0.9461,-0.7574
3l3n,2.0162,0.0306,1.7265,1.2831,0.9671
3l4u,-0.0704,0.0171,1.0665,-0.2404,-0.5981
3l4w,-0.9321,0.0146,-0.4535,-0.7874,-1.0086
3l7b,-0.1234,0.0252,-4.0535,-0.2351,-0.7305
3lka,-1.1763,0.0132,-3.6335,-1.0213,-1.0976
3mfv,-1.0143,0.0170,-3.9335,-0.7766,-1.053
3mss,-0.7037,0.0371,-1.7935,-0.8897,-0.3497
3myg,0.1724,0.0262,4.2465,0.1197,0.4694
3n7a,-1.2563,0.0211,-2.7535,-0.9898,-1.2429
3n86,-0.3303,0.0845,-0.8135,0.5362,-0.4336
3nox,-0.0421,0.0186,2.2065,-0.1812,0.0974
3nq3,-2.0380,0.0221,-2.6735,-1.3285,-1.0355
3nw9,1.7378,0.0489,2.5465,1.4307,0.8478
3oe5,0.0937,0.0387,0.4265,0.7767,0.0488
3ov1,0.0200,0.0248,-1.2535,-0.043,0.3606
3owj,-0.2414,0.0230,-0.3835,-0.5312,-0.0765
3ozt,0.3254,0.0325,-2.3235,0.7366,0.1316
3pe2,0.5382,0.0147,3.3065,0.0495,0.032
3pww,2.1798,0.0787,0.8665,1.8734,2.1809
3pxf,-2.2266,0.1399,-2.0235,-1.1766,-0.287
3s8o,-0.1164,0.0367,0.3965,0.088,0.6643
3su2,0.5645,0.1213,0.8965,1.2127,2.0791
3su3,0.5739,0.1417,2.6765,1.2833,2.4597
3su5,0.7599,0.1391,-0.8735,1.1822,2.4597
3u9q,-1.4835,0.0143,-2.0735,-1.1726,-1.0355
3udh,-0.9944,0.0172,-3.6035,-1.005,-0.8648
3ueu,-1.7571,0.0273,-1.2135,-1.1876,-0.8549
3uex,-0.1713,0.0254,0.4665,-0.7477,-0.2815
3uo4,0.5749,0.0168,0.0665,0.1629,0.2159
3uri,1.4634,0.2557,2.5465,2.4234,3.2757
3utu,1.2347,0.0825,4.4665,1.2749,1.6478
3vh9,-1.3498,0.0123,-0.2135,-1.1442,-1.0879
3zso,0.7303,0.0987,-1.3335,0.5444,1.4224
3zsx,-0.2415,0.0408,-3.1735,-0.0368,0.6778
4de1,0.1786,0.0143,-0.4935,-0.2029,-0.2079
4de2,0.2670,0.0148,-2.3335,-0.1454,-0.1059
4des,-0.2186,0.0136,-0.6035,-0.3419,-0.5203
4dew,-0.1709,0.0125,0.5465,-0.4522,-0.4526
4djr,2.3420,0.0340,5.0665,1.4386,1.2748
4djv,0.5202,0.0185,0.2665,0.1585,0.2762
4g8m,-1.2257,0.0166,1.4365,-0.9962,-1.1911
4gid,1.2501,0.1204,4.3165,2.4282,1.9497
4gqq,-2.4906,0.0408,-3.5635,-1.4072,-0.9503
1c5z,-1.6435,0.0143,-2.4435,-1.3742,-1.2488
1eby,1.6102,0.1095,3.2465,2.2029,1.6583
1g2k,2.2500,0.0587,1.5065,1.7009,1.6816
1gpn,0.3341,0.0137,0.0265,-0.145,-0.2706
1h22,1.5528,0.0318,2.6465,1.145,1.049
1k1i,-0.0239,0.0546,0.1265,0.1774,1.0072
1lpg,0.7320,0.1139,0.6365,0.8923,1.5978
1nc3,0.2147,0.0332,-1.4535,-0.1165,-0.6729
1owh,-0.3416,0.0196,0.9465,-0.3556,0.0148
1p1n,-0.7629,0.0161,0.3465,-0.6413,-0.9473
1pxn,0.4373,0.0162,0.6965,-0.0747,-0.3978
1qf1,0.4718,0.0152,0.8665,0.1343,-0.1037
1qkt,-0.0441,0.0145,2.5865,-0.3263,-0.2728
1s38,-0.8405,0.0145,-1.3035,-0.9184,-0.9083
1syi,-0.4603,0.0140,-1.0135,-0.4561,-0.6758
1y6r,0.4264,0.0187,3.6565,-0.0615,-0.4523
1ydr,0.1270,0.0142,-0.9335,-0.2295,-0.2523
1z6e,0.9419,0.0289,3.2665,0.9187,0.8144
1z9g,-0.5917,0.0132,-0.8135,-0.7978,-0.838
2al5,-0.7117,0.0209,1.9465,-0.5599,-0.9495
2br1,0.7361,0.0180,-1.3135,0.286,0.2344
2c3i,0.1792,0.0152,1.1465,-0.1742,-0.092
2cbv,-1.1655,0.0153,-0.9735,-0.9397,-1.1157
2fxs,0.4288,0.0168,-0.3935,0.1135,-0.1912
2j7h,-1.3042,0.0114,0.7365,-1.224,-1.2229
2p15,0.9742,0.0268,3.8465,0.8739,0.5949
2pog,0.2144,0.0137,3.0865,-0.193,-0.3269
2qbq,0.6771,0.0168,0.9865,0.2455,0.1984
2qe4,0.4383,0.0143,1.5065,-0.0728,-0.1119
2qnq,2.3505,0.0319,-0.3435,1.4689,1.2277
2r9w,0.2036,0.0180,-1.3535,-0.0892,0.1164
2vkm,1.5662,0.0841,2.2865,2.2491,1.9909
2w4x,-0.7743,0.0168,-1.6035,-0.6382,-0.957
2wer,0.5169,0.0147,0.5965,-0.0218,-0.2674
2wn9,0.0208,0.0186,2.0665,-0.632,-0.2617
2wnc,-0.0634,0.0152,-0.1335,-0.3263,-0.2026
2wvt,-1.1999,0.0137,-0.3335,-1.026,-1.1455
2xii,0.5464,0.0162,0.7465,0.1221,0.1758
2xj7,-0.5952,0.0150,0.2065,-0.5296,-0.8144
2zb1,0.5563,0.0153,-0.1335,0.2606,0.0638
2zda,0.9876,0.0211,1.9465,0.4204,0.3418
2zy1,0.2803,0.0174,0.9465,0.2314,-0.1107
3arp,0.5413,0.0483,0.6965,0.8772,1.2257
3arq,0.5017,0.0311,-0.0535,0.335,0.6956
3aru,-0.0764,0.0211,-3.2335,-0.7307,-0.3224
3arv,-0.3488,0.0212,-0.8135,-0.4406,-0.0191
3ary,-0.7561,0.0213,-0.4535,-0.9578,-0.7061
3b1m,1.3625,0.0320,2.0265,1.1028,0.9895
3b27,-0.7503,0.0149,-1.2935,-0.6551,-0.9349
3b5r,-0.1316,0.0786,2.3165,0.6886,-0.2876
3b65,-0.4229,0.0411,2.8165,0.3893,-0.331
3bgz,0.2855,0.0155,-0.1935,-0.1162,-0.035
3bv9,0.7355,0.1307,-1.0935,1.0478,1.8457
3cj4,0.0113,0.0186,0.0565,-0.6088,-0.2413
3coz,0.2423,0.0390,-0.8835,0.8567,0.1974
3d6q,-0.3245,0.0316,-2.6935,-0.7729,-0.2417
3dx1,-1.1653,0.0141,-2.8735,-1.2334,-1.3093
3dx2,-1.1938,0.0202,0.3665,-0.8459,-1.1372
3e5a,1.0016,0.0245,1.7765,0.4577,0.5964
3e92,0.5883,0.0158,1.5465,0.2821,0.0879
3f3d,-1.1613,0.0172,0.7065,-1.2808,-1.3523
3fur,0.9036,0.0205,1.5465,0.4479,0.2431
3fv2,0.3387,0.0745,1.6565,0.016,-0.7517
3g31,-2.6898,0.1190,-3.5635,-1.6096,-0.8372
3gc5,0.1333,0.0139,0.8065,-0.2276,-0.3047
3gr2,-2.1081,0.0238,-3.9335,-1.3447,-1.0311
3gv9,-1.3961,0.0119,-4.3335,-1.2744,-1.2296
3jvr,-0.8410,0.0425,-0.7335,-0.907,-0.3266
