%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.5221001131129814
%.kernel.kernels[0].lengthscales: [0.36822722 0.14963058 0.2964185  0.69196113 0.07348571 0.3151871  1.23038882]
%.kernel.kernels[1].variance: 0.1637174033658069
%.likelihood.variance: 1.0856459224440753
%loglikelihood: -6920.6321042006
%RMSE:1.685
%Pearson_correlation_coefficient:0.674,P-value:0.000
%Spearman_correlation_coefficient:0.669,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all
1ftm,0.4856,0.4034,1.1565,-0.7727,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.0866
1fzk,1.4478,0.8181,1.9465,2.7587,3.3387,-1.3626,2.0474,-0.5839,0.7858,2.3391
1g7q,0.3222,1.4869,-0.3935,1.9569,2.132,-3.603,1.3538,0.4112,-1.2618,3.1972
1gni,0.4502,0.4160,1.6165,-0.4417,-0.2995,1.3341,0.456,2.9722,-0.8835,-1.3614
1gpk,0.1461,1.2533,-1.0835,-0.2393,-0.4012,0.2579,0.1701,-0.1158,0.5181,-0.8251
1gz9,-1.3448,1.0876,-2.9435,0.0016,0.0633,-2.1533,-0.9148,-0.2456,-1.2618,0.2743
1h23,2.4616,1.2316,1.8965,1.4138,1.2569,0.9558,1.5405,-0.7908,0.8446,1.3201
1ha2,-0.4830,1.3495,-0.9135,-0.4143,-0.1425,0.9754,-0.144,-0.2792,1.1115,-1.3078
1hfs,3.6861,1.5453,2.2465,2.9854,2.3295,1.9564,3.2623,-0.7268,2.6524,2.7145
1hi4,-1.7462,0.3711,-1.9635,-0.3868,-0.0838,-0.1346,-1.214,-0.4461,-0.8678,0.462
1hk4,0.8880,1.5638,-1.1435,-0.5408,-0.56,0.6353,4.0312,-0.2287,0.1139,-0.8251
1if7,1.8311,0.6845,4.0665,-0.5533,0.1935,0.5888,0.8621,-0.5231,0.8048,-1.0933
1j16,-2.1525,0.1107,-2.6135,-1.3886,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-0.9056
1j17,-0.1204,0.3048,-1.2335,0.3562,0.7813,0.984,1.3966,-0.9165,0.792,0.6497
1jaq,-0.8994,1.5216,-1.9735,-0.4569,-0.6385,-0.6727,-0.379,3.0645,-1.2618,-0.2888
1jq9,0.6423,1.5291,1.9965,1.2966,1.6616,-1.0833,1.1705,0.3381,0.7858,1.3738
1jqd,-1.2959,0.3321,-1.2935,0.2693,-0.1741,-1.2116,-0.9649,-0.5656,-0.8678,0.0598
1jqe,0.9001,1.5183,-0.0135,0.1364,0.4326,1.2668,1.8239,-0.2759,0.0284,0.4352
1jys,-2.5859,0.4939,-2.9335,-1.4828,-1.2174,-0.1567,-1.214,-0.2214,-0.8678,-1.3078
1k4g,0.6645,0.9105,-0.6035,-0.5019,-0.4364,0.2031,-0.4432,-0.493,-0.0007,-1.0128
1k9s,-1.3459,0.4986,0.0665,-0.1669,-0.5348,-0.9012,-1.214,-0.4605,-0.8868,0.1134
1kv1,-0.3968,0.7561,-0.5135,-0.384,-0.4689,1.1003,-0.1584,-0.16,0.0175,-1.1469
1l2s,0.2418,0.9152,-1.8635,-0.6633,-0.7205,0.3457,0.3394,-0.2581,0.1594,-0.7983
1l83,-2.6133,0.4065,-3.0535,-1.7068,-1.5179,0.3829,-1.214,0.268,-0.1286,-2.005
1li3,-1.6442,0.5831,-2.2035,-1.4619,-1.4183,0.4935,-0.4223,0.2418,-0.3494,-1.8173
1li6,-3.0765,0.7930,-2.6535,-1.6971,-1.4327,0.2709,-0.4079,0.179,-0.5132,-1.8709
1lol,0.1901,1.0322,-0.0635,-0.3369,-0.216,-0.7474,-1.214,-0.4515,-0.4135,0.033
1loq,-1.1353,0.6264,-2.7535,-0.3557,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,0.1671
1m0n,0.9439,1.5209,-4.2335,0.595,-0.1164,0.8876,0.1986,0.1017,-0.5431,1.2397
1m0q,0.4681,1.5268,-2.5635,0.2727,-0.3959,0.6028,-0.6155,0.7803,-0.5431,1.1056
1m2q,-0.1085,1.0448,-0.3535,-0.2589,-0.5198,0.5613,-0.4223,-0.2658,0.3182,-0.3156
1mq6,1.5557,1.4294,4.6965,0.646,0.4704,1.5376,-0.1884,-0.815,0.8252,0.9983
1n2v,-1.3769,0.5487,-2.3735,-0.8139,-0.7025,-0.0498,-0.9357,-0.2012,-0.4325,-0.5838
1nc1,0.9361,0.7324,-0.3335,-0.0227,-0.5308,-0.1381,-0.68,-0.4871,-0.683,0.4084
1ndw,-0.1550,1.1504,-1.2235,-0.3912,-0.5457,0.217,-0.4144,-0.1013,0.4243,0.1671
1ndy,0.9347,0.9490,-0.2835,-0.0346,-0.1097,0.5723,0.0561,-0.4012,0.8021,0.033
1ndz,1.8317,1.2812,1.6565,1.5653,1.1632,0.7932,0.6191,-0.9225,1.1921,2.205
1nfy,1.2454,0.6640,2.4365,0.3055,0.3935,0.1875,0.5837,-0.7882,0.7539,0.5157
1nhu,-0.0404,1.5248,-0.7935,-0.5349,0.2219,1.4086,0.8698,-0.3043,2.0141,-1.2273
1nja,-0.9843,0.6166,-0.1435,-0.4462,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.4765
1nje,-0.8953,0.5361,-2.6535,-0.4597,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.1011
1nny,2.0946,1.3786,1.2065,1.6728,2.208,0.34,1.6253,-0.8653,2.2817,1.7492
1nvq,1.6299,0.7321,1.7965,0.9592,1.2758,0.7317,-0.387,-0.8289,0.5969,0.1403
1nwl,0.0711,1.4312,-4.0635,-0.3664,0.0813,-0.2099,-0.1007,-0.321,-0.52,0.0062
1o0h,-1.1432,0.4713,-0.5335,-0.0312,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,1.3201
1o3f,0.0990,0.5969,1.5065,-0.2617,0.1494,0.6865,0.3485,-0.6096,1.1785,0.5157
1o3p,0.3950,1.1984,0.2065,0.0082,0.0703,0.3936,1.2189,-0.7179,0.0453,0.6497
1om1,0.2047,1.2313,0.3165,-0.0498,-0.0829,0.2411,-0.4223,-0.3825,0.7466,-0.6106
1p1q,0.5117,0.4649,-1.5635,-0.78,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.3011
1pb9,-1.3870,1.0710,-2.8335,-1.5958,-1.4668,-0.8582,-1.214,0.0382,-1.2618,-0.5838
1pbq,-0.9364,1.1417,-0.1835,-0.7117,-0.982,0.3595,-0.6862,-0.0545,-0.2033,0.0598
1ppm,1.2199,1.5265,-0.6535,1.2085,1.2043,1.0091,0.4062,0.0875,0.9746,1.0788
1pr5,-1.0763,0.7005,-2.5335,-0.5881,-0.6269,-0.5604,-0.9501,-0.4607,-0.683,-0.4765
1pxo,-0.0722,0.9006,2.2465,-0.1077,-0.3792,0.8315,-0.387,-0.592,0.3696,-0.7715
1pz5,0.5956,1.5426,-1.0535,2.0405,3.1383,-1.9879,1.2082,-0.0781,0.4284,2.3928
1q7a,-0.3612,1.0920,0.7365,-0.4483,-0.1916,0.9396,0.6477,-0.415,0.438,-1.1737
1q8t,0.0184,1.2553,-1.6935,-0.363,-0.5788,0.3121,0.7264,-0.0746,-0.4982,-1.1201
1rdi,-2.1567,0.3613,-4.3935,-1.6242,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-1.2273
1rdj,-2.6337,0.7498,-4.7935,-1.644,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-1.2273
1rdl,-2.8642,0.6863,-4.2135,-1.6012,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.3346
1re8,1.7925,1.3040,3.0665,1.4416,0.6968,0.4826,1.1755,-0.7185,1.7002,1.3469
1rnt,-0.9368,1.1256,-1.2635,-0.5375,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,0.3011
1s39,-1.6925,0.5859,1.2465,-1.1721,-0.9942,0.019,-0.6862,-0.0618,-0.1827,-0.4497
1sl3,1.6495,1.4703,5.3965,1.2735,0.5592,0.3807,0.54,-0.8556,1.6106,1.4274
1slg,-0.5511,1.5508,-2.5535,1.1519,2.3798,-2.4523,0.1632,-0.188,0.4243,-0.1011
1sqa,-0.5303,1.4523,2.7565,0.0172,0.5274,0.1196,0.8685,-0.6656,1.5344,-0.1279
1sv3,-1.4395,1.0230,-2.1035,-1.303,-1.2607,-0.1186,0.0846,0.2239,-0.3325,-1.281
1syh,0.1497,1.3984,-0.0435,-0.4014,-0.6758,-1.2503,-0.379,0.024,-0.2586,0.8375
1tmn,-0.4092,1.5012,0.8465,0.1415,0.8381,-0.237,0.0716,-0.2905,0.9787,-0.2083
1toi,-0.9031,0.2174,-2.4035,-1.1212,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1737
1toj,-0.8887,0.2221,-3.0635,-1.069,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1201
1tok,-1.7111,1.4962,-3.9835,-1.457,-1.5596,-1.048,-0.6854,0.9736,-0.8835,-1.2005
1trd,-1.3717,0.4290,-1.0535,-1.4304,-1.3868,-0.2977,-1.214,1.0549,-1.2618,-0.691
1tsy,-0.7335,0.2375,-1.4935,-0.5265,-0.5168,-0.3922,-1.214,-0.1357,-0.2287,-0.0743
1ttm,0.6297,1.0066,0.8965,-0.7465,-0.275,0.3698,0.6701,-0.3499,-0.0217,-1.0128
1tyr,-0.4756,1.5331,0.5465,-1.2971,-0.21,1.1782,1.5064,1.196,0.57,-0.8519
1u1b,0.1554,1.3934,1.3465,0.8462,1.9049,0.0631,-0.9148,-0.977,0.1504,0.2207
1u2y,-2.8009,0.5825,-4.7135,-1.2398,-1.197,-1.1162,-1.214,0.5212,-1.2618,-1.4419
1u33,-0.4337,1.3414,-1.8535,0.958,0.2531,-2.2554,-1.214,-0.3102,-1.2618,1.052
1utp,-2.3665,0.5125,-5.0135,-1.3623,-1.0187,0.2488,-0.136,0.4216,-0.1436,-1.3078
1uwt,-1.4463,0.2462,-0.4835,-0.7969,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.033
1v2o,-1.9955,0.3603,-1.7235,-0.5976,0.3213,-0.5563,0.3838,-0.1029,0.7708,-0.5301
1v48,0.2029,1.4502,1.3465,-0.0874,-0.3549,0.3313,-0.6573,-0.1827,-0.7412,0.2743
1vfn,-0.8075,0.6820,-0.8535,-1.3172,-1.1655,-0.2457,-1.214,-0.0835,-0.5442,-0.8251
1vzq,0.5939,1.5240,0.9865,0.9485,0.6058,-0.8287,0.0846,-0.9175,0.5819,1.1592
1x1z,-1.4155,0.7237,4.6065,0.255,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497
1xgj,0.0347,1.0613,-0.4535,-0.6246,-0.5808,-0.4505,-0.1884,-0.2122,-0.0126,-0.3424
1y1m,-1.3131,1.0818,-4.6335,-1.3943,-1.3146,-0.6633,-0.6573,0.521,-1.2618,-0.7447
1y6q,2.4282,0.2433,5.2465,-0.0804,-0.3795,-0.359,-0.9439,-0.4421,-0.698,-0.1279
1ydt,1.7568,0.8892,0.8665,0.5575,0.2757,0.6497,0.3489,-0.5891,1.1379,0.1134
1zc9,0.2347,1.1831,-3.2335,-0.6892,-0.814,-0.0371,-0.9148,0.6694,-0.5431,0.0598
1zoe,0.4915,1.4689,0.9465,-0.6317,-0.9669,1.3048,1.569,-0.1969,-0.7026,-1.0664
1zs0,0.3104,1.4070,-0.3035,0.3656,0.0788,0.9961,0.585,-0.0601,0.2491,0.5425
1zvx,0.3327,1.4092,2.7665,0.3738,0.0788,0.9961,0.585,-0.0601,0.2491,0.6766
2aou,1.3684,1.1951,1.2765,0.0526,0.0606,1.0224,1.2318,-0.359,0.5841,0.0598
2ayr,1.9123,1.5255,2.8365,1.1954,1.1983,1.3593,2.7383,-0.8795,1.1934,0.0866
2b1v,0.2465,0.9643,-0.7135,-0.3892,-0.5026,0.7255,0.4127,-0.2834,0.0309,-1.4955
2b7d,0.4615,1.5276,2.2465,0.5968,0.9154,-0.7793,1.3976,-0.4684,0.7708,0.9715
2baj,0.6867,1.5060,1.9465,0.3602,-0.0325,1.749,-0.1584,-0.4166,0.9299,-0.0475
2bak,1.1688,1.4851,0.9765,1.3596,1.5439,0.859,0.6477,-1.0217,0.798,0.3011
2bok,-0.2447,1.1350,0.0965,0.3754,0.4303,-0.7682,-0.6862,-0.5634,-0.1586,0.6766
2brb,-0.2283,1.4340,-1.5935,-0.1793,-0.0044,1.0836,-0.971,-0.5792,0.8239,-0.7178
2brm,-0.1956,1.2681,-0.5635,-0.1474,0.0454,1.002,-0.7281,-0.5407,0.8239,-0.7178
2bz6,0.7443,1.3242,0.6365,0.5595,0.1753,-0.2108,0.4048,-0.4103,0.401,1.5078
2bzz,0.7127,1.5452,-0.0235,1.7001,1.8861,-0.1794,-1.214,-1.2864,-0.4737,2.4196
2c02,-1.7700,0.6292,-2.4135,-0.3694,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,-0.691
2ceq,-0.3611,0.1969,0.8265,-0.6656,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.2207
2cer,0.7460,1.1334,2.7665,0.1345,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425
2cet,0.6362,1.0705,1.5665,0.0354,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425
2cgr,0.1248,1.5326,0.8265,-0.0725,0.1376,0.0284,0.3276,-0.2914,1.904,0.4352
2ctc,-2.1449,0.5662,-2.5635,-0.9657,-1.165,-0.3401,-0.971,0.3889,-0.1436,-1.0128
2d0k,-0.1871,1.4906,-1.4335,-0.0202,0.2332,-0.973,0.3983,-0.639,0.3621,-0.1547
2d1o,1.1252,0.7034,1.2465,0.6458,0.7374,-0.1627,0.942,0.8187,-0.1586,0.0866
2d3u,0.8934,1.0251,0.4665,-0.1676,0.0129,0.7135,0.6268,-0.4959,0.9382,-0.3156
2d3z,0.5569,0.9792,0.1865,-0.214,-0.1089,0.7959,0.6477,-0.5403,0.9461,-0.5033
2drc,-0.4360,1.2115,3.4365,-0.0375,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.5033
2er9,1.6030,1.5374,0.9465,2.3991,3.2866,0.2677,1.5549,-0.3966,0.9923,1.4542
2f01,1.2000,0.2084,6.5465,-0.4089,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.2352
2f80,3.1031,0.0534,1.7265,1.3327,1.0178,0.5951,0.8987,-0.5478,0.6119,0.7034
2fai,-0.7660,1.1378,-0.2135,-0.3496,-0.4066,0.8013,0.3918,-0.1941,0.0309,-1.5223
2fdp,1.6225,1.4509,1.1365,1.3288,1.3567,1.3127,1.7113,-0.21,1.897,0.8375
2flb,0.8759,1.1106,-0.7135,-0.1624,-0.042,0.1067,-0.4223,-0.7294,0.423,0.1403
2fzc,0.1361,1.3510,-3.7535,-0.7618,-0.8361,-0.3441,-1.214,2.0259,-1.2618,-0.6642
2g5u,0.1515,1.5207,2.0365,-0.6419,-1.0185,1.5203,0.3276,-0.1361,0.1216,-1.7636
2g8r,-1.0458,1.5133,-2.4635,-0.6984,-0.1343,-1.6154,-1.214,-0.268,-0.2287,-0.0743
2g94,1.4369,1.5376,3.0665,1.8212,1.5943,0.3032,0.9773,1.5238,-0.717,2.1782
2gss,0.0861,1.2397,-1.5135,-1.0226,-0.8261,0.563,-0.1645,0.3896,-0.0179,-1.0128
2hdq,-1.7725,1.0484,-5.0535,-1.602,-1.436,-0.1023,-0.7162,0.0644,-0.5642,-1.0933
2i0d,3.4858,1.0095,5.6465,1.695,1.5969,0.9904,1.4474,-0.5331,1.5412,0.9983
2j77,-0.8017,0.1682,-1.5635,-1.0918,-1.2037,-1.367,-1.214,0.6124,-1.2618,-0.1279
2j78,-1.3616,0.2998,-0.0335,-0.7641,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.1671
2qwb,-0.8920,1.2403,-3.7135,-0.4501,-0.7588,-1.7408,-1.214,0.9317,-1.2618,-0.3424
2qwd,-0.9147,0.9934,-1.6035,-0.4574,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.0062
2qwe,-0.9302,0.5002,1.0265,-0.0538,-0.5432,-2.2103,-0.9497,1.0376,-0.8926,0.5157
2rkm,-0.6425,1.5282,-2.5535,-0.1517,-0.5096,-1.4751,0.1777,3.135,-1.2618,0.2207
2std,2.4113,0.6496,3.3965,-0.2077,-0.5807,1.3228,0.1344,-0.0827,-0.1755,-1.1469
2usn,-0.1980,1.3833,0.0565,-0.3581,-0.0366,1.0412,-0.7281,-0.6122,0.9746,-0.4229
3gss,-0.2913,1.5220,-0.6335,0.5531,0.4548,-1.1979,-0.4079,0.9307,-0.3962,2.2587
3pce,-1.8404,0.2373,-4.4535,-1.1085,-1.2254,-0.2339,-0.4432,0.3661,-0.3325,-0.691
3pch,-0.7781,0.5641,-1.0535,-1.0456,-1.3356,-0.0107,-0.1793,0.307,-0.3643,-0.8787
3pcj,-1.3883,0.4473,0.7665,-1.0074,-1.257,-0.6146,-0.9501,0.3628,-0.1936,-0.8787
3std,1.5815,1.4273,4.6565,0.6668,0.2485,1.4455,-0.1858,-0.6288,1.9081,-0.4765
4er2,2.6621,0.4661,2.8465,1.2211,1.6844,-0.0959,0.929,5.2552,-1.2618,0.6229
4fiv,2.1657,0.9627,0.0665,2.4414,2.9702,0.9633,1.2844,-0.4809,1.7301,1.8833
4tln,-2.4394,0.8318,-2.7335,-1.482,-1.2462,-0.3991,-0.9566,2.4856,-1.2618,-1.2273
5abp,-1.4294,0.5597,0.1865,-0.9019,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.7983
5er1,-0.3271,1.5334,-0.4335,0.4089,1.0283,-0.1295,-0.4562,1.6225,-0.1436,-0.3156
6fiv,0.8061,0.7611,1.6265,0.2216,0.4965,0.5294,0.107,-0.009,0.9746,-0.3692
6rnt,-1.9283,0.6739,-4.0835,-0.771,-0.3818,-0.4407,-1.214,-0.4392,-0.8678,-0.1547
6std,0.5226,1.1488,2.1865,-0.0586,-0.5701,0.9623,-0.144,-0.1185,-0.1927,-0.5838
8abp,-1.2956,0.4854,1.5465,-0.9083,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.6642
1f8b,-2.1013,0.2265,-1.0535,-0.4251,-0.7984,-1.4928,-0.9497,0.8026,-0.8926,0.2475
1f8c,-0.8979,0.9944,0.9465,-0.462,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.1671
1f8d,-1.3653,1.0692,-3.0535,-0.3731,-0.7254,-1.724,-0.9497,0.8483,-0.8926,0.1403
1hnn,-1.0326,0.8886,-0.2135,-0.8217,-0.8064,-0.4592,-0.4432,-0.0048,-0.3474,-0.6106
1igj,0.3647,1.5483,3.5465,-0.0707,1.0154,0.62,2.8215,-0.7831,-0.8985,-1.0933
1lbk,-1.7481,0.7490,-3.2735,-0.654,-0.8019,-1.8597,-1.214,2.585,-1.2618,0.5157
1lor,-1.4176,0.7249,4.6065,0.257,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497
1n1m,-1.3757,1.1728,-0.7535,-1.0625,-1.0315,-0.1751,-0.6573,0.6043,-1.2618,-0.7715
1o5b,-0.5522,0.3330,-0.6835,-1.0228,-0.9682,0.1622,0.5643,-0.168,-0.2423,-0.7447
1oyt,0.8715,1.3760,0.7865,0.6006,0.409,-0.3852,0.0846,-0.7528,0.9526,0.5693
1ps3,-0.5096,0.6840,-4.1735,-0.5265,-1.0186,-1.4529,-1.214,-0.054,-1.2618,0.4084
1q8u,0.3164,1.4255,-0.4935,-0.0782,-0.0562,0.1373,-0.1086,-0.2283,-0.1354,-0.8787
1qi0,-2.5680,0.4474,-4.1035,-0.9622,-0.6237,-1.7996,-1.214,0.0167,-1.2618,-0.4229
1r5y,-0.7397,0.7945,0.0065,-1.0255,-0.9467,-0.1098,-0.4223,-0.0749,-0.3716,-0.0475
1sln,0.0063,1.5237,0.1865,0.4659,0.7301,-0.9819,0.691,0.2526,0.8007,0.5157
1uto,-2.1547,0.3398,-4.1835,-1.436,-1.1944,0.0084,-0.971,0.3714,-0.1436,-1.1737
1w3k,-0.0140,0.6580,-2.1535,-0.237,-0.6567,-1.8615,-1.214,-0.0156,-1.2618,0.4889
1w3l,-0.5539,1.4716,-0.1735,0.6733,0.0411,-2.5318,-1.214,-0.3483,-1.2618,2.6341
1w4o,-2.0091,0.2090,-1.2335,-0.7145,-0.4945,-0.7093,-1.214,-0.0386,-0.2287,-0.557
1xd0,-0.3512,1.5271,0.6665,2.043,1.7599,-3.7373,-0.9148,-0.7398,-1.2618,1.2397
1yc1,0.3244,1.1712,-0.2835,0.519,-0.0686,0.4208,0.342,-0.6269,0.0344,0.4352
1z95,0.4623,1.4164,0.6665,0.7615,-0.0727,0.7505,0.9326,-0.0739,0.5899,-0.262
1zea,-0.9382,1.5630,-1.2335,1.0454,3.1498,-3.1182,0.3918,-0.176,0.2355,1.5347
2cbj,0.3781,0.3966,1.8165,-0.2476,-0.3886,-0.3936,-0.461,-0.2048,-0.3175,-0.2352
2fvd,0.9476,1.2490,2.0665,0.5896,0.1453,0.2985,-0.1295,-0.5329,0.0203,0.5693
2g70,-1.3420,0.6529,1.3165,-0.7128,-0.8608,-0.2676,-0.971,0.0031,-0.0313,-0.3156
2hb1,-0.5674,1.4508,-2.6535,-1.0227,-1.2539,-0.444,-0.5183,0.0178,-0.8022,-0.5033
