%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 0.5741175496873091
%.kernel.kernels[0].lengthscales: [0.26267814 0.27725832 0.50972622]
%.kernel.kernels[1].variance: 0.26139039962631894
%.likelihood.variance: 2.255772162627592
%loglikelihood: -7112.492048006858
%RMSE:1.796
%Pearson_correlation_coefficient:0.615,P-value:0.000
%Spearman_correlation_coefficient:0.624,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP
1f5k,-1.1572,0.0377,-2.7135,-1.364,-1.2488,-0.3983
1fcx,1.8981,0.1057,0.7365,0.8816,0.4517,1.291
1fcz,1.7456,0.1253,2.7665,0.666,0.149,1.1866
1fd0,1.9238,0.1219,1.9465,0.9646,0.4873,1.3356
1fh7,-1.3572,0.1304,-1.2135,-0.6007,-0.7846,-1.6435
1fh8,-1.0656,0.1155,0.4365,-0.8072,-0.8068,-1.3264
1fh9,-0.7033,0.0800,-0.0235,-0.3638,-0.7775,-1.3927
1fkb,0.9958,0.6463,3.2465,0.94,3.5241,1.7675
1fki,-0.5484,0.1586,0.5465,-0.3495,0.4205,1.0845
1fkn,0.8576,0.4677,2.3465,2.3645,2.6978,-2.1261
1flr,0.9751,0.0508,3.5465,0.0456,-0.0416,0.6748
1fo0,1.8810,0.6429,-0.8635,4.4805,3.3633,-2.1118
1ftm,-1.0373,0.0531,1.1565,-0.7727,-1.0519,-1.0058
1fzk,0.5335,0.3986,1.9465,2.7587,3.3387,-1.3626
1g7q,-0.2242,0.5085,-0.3935,1.9569,2.132,-3.603
1gni,-0.1197,0.1135,1.6165,-0.4417,-0.2995,1.3341
1gpk,-0.4015,0.0554,-1.0835,-0.2393,-0.4012,0.2579
1gz9,-0.6246,0.3237,-2.9435,0.0016,0.0633,-2.1533
1h23,2.6827,0.0756,1.8965,1.4138,1.2569,0.9558
1ha2,-0.2321,0.0623,-0.9135,-0.4143,-0.1425,0.9754
1hfs,2.7408,0.6088,2.2465,2.9854,2.3295,1.9564
1hi4,-0.3996,0.0705,-1.9635,-0.3868,-0.0838,-0.1346
1hk4,-0.1309,0.0381,-1.1435,-0.5408,-0.56,0.6353
1if7,-0.3159,0.1388,4.0665,-0.5533,0.1935,0.5888
1j16,-1.2320,0.0390,-2.6135,-1.3886,-1.2488,-0.3983
1j17,0.5672,0.0942,-1.2335,0.3562,0.7813,0.984
1jaq,-0.5368,0.0600,-1.9735,-0.4569,-0.6385,-0.6727
1jq9,-0.1322,0.3958,1.9965,1.2966,1.6616,-1.0833
1jqd,-0.8803,0.1176,-1.2935,0.2693,-0.1741,-1.2116
1jqe,0.6288,0.1045,-0.0135,0.1364,0.4326,1.2668
1jys,-1.9703,0.0488,-2.9335,-1.4828,-1.2174,-0.1567
1k4g,0.1467,0.0401,-0.6035,-0.5019,-0.4364,0.2031
1k9s,0.5678,0.0757,0.0665,-0.1669,-0.5348,-0.9012
1kv1,0.2992,0.0919,-0.5135,-0.384,-0.4689,1.1003
1l2s,-0.4810,0.0353,-1.8635,-0.6633,-0.7205,0.3457
1l83,-2.4390,0.1835,-3.0535,-1.7068,-1.5179,0.3829
1li3,-1.8036,0.1142,-2.2035,-1.4619,-1.4183,0.4935
1li6,-2.7918,0.1158,-2.6535,-1.6971,-1.4327,0.2709
1lol,0.1237,0.1015,-0.0635,-0.3369,-0.216,-0.7474
1loq,-0.1312,0.0544,-2.7535,-0.3557,-0.4945,-0.7093
1m0n,0.5291,0.1251,-4.2335,0.595,-0.1164,0.8876
1m0q,-0.1738,0.1640,-2.5635,0.2727,-0.3959,0.6028
1m2q,-0.1846,0.0540,-0.3535,-0.2589,-0.5198,0.5613
1mq6,1.4524,0.1457,4.6965,0.646,0.4704,1.5376
1n2v,0.1420,0.0484,-2.3735,-0.8139,-0.7025,-0.0498
1nc1,0.2796,0.0986,-0.3335,-0.0227,-0.5308,-0.1381
1ndw,-0.3712,0.0479,-1.2235,-0.3912,-0.5457,0.217
1ndy,0.6233,0.0528,-0.2835,-0.0346,-0.1097,0.5723
1ndz,2.6645,0.0753,1.6565,1.5653,1.1632,0.7932
1nfy,0.4424,0.0831,2.4365,0.3055,0.3935,0.1875
1nhu,-1.1328,0.1972,-0.7935,-0.5349,0.2219,1.4086
1nja,-0.5704,0.0480,-0.1435,-0.4462,-0.5711,-0.3032
1nje,-0.5603,0.0473,-2.6535,-0.4597,-0.5711,-0.3032
1nny,1.5491,0.2736,1.2065,1.6728,2.208,0.34
1nvq,1.2455,0.1438,1.7965,0.9592,1.2758,0.7317
1nwl,-0.7616,0.1070,-4.0635,-0.3664,0.0813,-0.2099
1o0h,0.0188,0.0546,-0.5335,-0.0312,-0.1291,-0.2696
1o3f,0.0149,0.0541,1.5065,-0.2617,0.1494,0.6865
1o3p,0.7412,0.0457,0.2065,0.0082,0.0703,0.3936
1om1,0.3159,0.0505,0.3165,-0.0498,-0.0829,0.2411
1p1q,-1.0482,0.0530,-1.5635,-0.78,-1.0519,-1.0058
1pb9,-1.4871,0.0735,-2.8335,-1.5958,-1.4668,-0.8582
1pbq,-1.1812,0.0882,-0.1835,-0.7117,-0.982,0.3595
1ppm,2.1633,0.0841,-0.6535,1.2085,1.2043,1.0091
1pr5,-0.5063,0.0546,-2.5335,-0.5881,-0.6269,-0.5604
1pxo,0.3574,0.0555,2.2465,-0.1077,-0.3792,0.8315
1pz5,0.2912,0.6019,-1.0535,2.0405,3.1383,-1.9879
1q7a,-0.2426,0.0590,0.7365,-0.4483,-0.1916,0.9396
1q8t,-0.3349,0.0496,-1.6935,-0.363,-0.5788,0.3121
1rdi,-2.0087,0.1320,-4.3935,-1.6242,-1.1983,-0.6111
1rdj,-1.7753,0.1282,-4.7935,-1.644,-1.2766,-0.8126
1rdl,-1.7630,0.1513,-4.2135,-1.6012,-1.2721,-1.1292
1re8,2.1652,0.1926,3.0665,1.4416,0.6968,0.4826
1rnt,-0.6342,0.0982,-1.2635,-0.5375,-0.2728,-0.6584
1s39,-1.4924,0.0394,1.2465,-1.1721,-0.9942,0.019
1sl3,1.4112,0.2237,5.3965,1.2735,0.5592,0.3807
1slg,-0.5173,0.5333,-2.5535,1.1519,2.3798,-2.4523
1sqa,-0.3040,0.1231,2.7565,0.0172,0.5274,0.1196
1sv3,-1.2001,0.0380,-2.1035,-1.303,-1.2607,-0.1186
1syh,-0.4940,0.0937,-0.0435,-0.4014,-0.6758,-1.2503
1tmn,-0.0741,0.1501,0.8465,0.1415,0.8381,-0.237
1toi,-1.3310,0.0375,-2.4035,-1.1212,-1.1866,-0.023
1toj,-1.3445,0.0426,-3.0635,-1.069,-1.1866,-0.023
1tok,-1.6770,0.1291,-3.9835,-1.457,-1.5596,-1.048
1trd,-1.2333,0.0563,-1.0535,-1.4304,-1.3868,-0.2977
1tsy,-0.5339,0.0428,-1.4935,-0.5265,-0.5168,-0.3922
1ttm,0.8479,0.0690,0.8965,-0.7465,-0.275,0.3698
1tyr,-1.2267,0.4644,0.5465,-1.2971,-0.21,1.1782
1u1b,0.8976,0.4618,1.3465,0.8462,1.9049,0.0631
1u2y,-1.0833,0.0511,-4.7135,-1.2398,-1.197,-1.1162
1u33,-0.3835,0.2791,-1.8535,0.958,0.2531,-2.2554
1utp,-2.5693,0.0546,-5.0135,-1.3623,-1.0187,0.2488
1uwt,-1.2396,0.0915,-0.4835,-0.7969,-1.197,-1.1162
1v2o,-1.2972,0.1882,-1.7235,-0.5976,0.3213,-0.5563
1v48,-0.1775,0.0664,1.3465,-0.0874,-0.3549,0.3313
1vfn,-1.3523,0.0398,-0.8535,-1.3172,-1.1655,-0.2457
1vzq,-0.4328,0.1880,0.9865,0.9485,0.6058,-0.8287
1x1z,-0.2614,0.1165,4.6065,0.255,-0.4763,-0.8
1xgj,-0.4389,0.0493,-0.4535,-0.6246,-0.5808,-0.4505
1y1m,-1.2259,0.0473,-4.6335,-1.3943,-1.3146,-0.6633
1y6q,0.4798,0.0498,5.2465,-0.0804,-0.3795,-0.359
1ydt,1.4664,0.0665,0.8665,0.5575,0.2757,0.6497
1zc9,-0.2235,0.0451,-3.2335,-0.6892,-0.814,-0.0371
1zoe,-0.1687,0.2346,0.9465,-0.6317,-0.9669,1.3048
1zs0,1.1793,0.0661,-0.3035,0.3656,0.0788,0.9961
1zvx,1.1873,0.0666,2.7665,0.3738,0.0788,0.9961
2aou,0.9584,0.0575,1.2765,0.0526,0.0606,1.0224
2ayr,1.5980,0.1072,2.8365,1.1954,1.1983,1.3593
2b1v,-0.0366,0.0488,-0.7135,-0.3892,-0.5026,0.7255
2b7d,0.7347,0.2337,2.2465,0.5968,0.9154,-0.7793
2baj,0.8909,0.2774,1.9465,0.3602,-0.0325,1.749
2bak,2.0843,0.1585,0.9765,1.3596,1.5439,0.859
2bok,0.3361,0.1434,0.0965,0.3754,0.4303,-0.7682
2brb,0.3749,0.0726,-1.5935,-0.1793,-0.0044,1.0836
2brm,0.4973,0.0675,-0.5635,-0.1474,0.0454,1.002
2bz6,-0.4582,0.1417,0.6365,0.5595,0.1753,-0.2108
2bzz,1.3545,0.1861,-0.0235,1.7001,1.8861,-0.1794
2c02,-0.4071,0.0737,-2.4135,-0.3694,-0.1291,-0.2696
2ceq,-0.8395,0.0560,0.8265,-0.6656,-1.0165,-0.6958
2cer,0.3185,0.0883,2.7665,0.1345,-0.3332,-0.1458
2cet,0.4250,0.0658,1.5665,0.0354,-0.3332,-0.1458
2cgr,-0.2184,0.0601,0.8265,-0.0725,0.1376,0.0284
2ctc,-1.3695,0.0522,-2.5635,-0.9657,-1.165,-0.3401
2d0k,-0.2897,0.1482,-1.4335,-0.0202,0.2332,-0.973
2d1o,1.7929,0.1173,1.2465,0.6458,0.7374,-0.1627
2d3u,0.4169,0.0540,0.4665,-0.1676,0.0129,0.7135
2d3z,0.2404,0.0538,0.1865,-0.214,-0.1089,0.7959
2drc,-0.3516,0.1437,3.4365,-0.0375,0.2714,-0.8765
2er9,1.3515,0.5842,0.9465,2.3991,3.2866,0.2677
2f01,0.0269,0.0894,6.5465,-0.4089,-0.8944,-0.3025
2f80,2.9394,0.0555,1.7265,1.3327,1.0178,0.5951
2fai,-0.0381,0.0507,-0.2135,-0.3496,-0.4066,0.8013
2fdp,2.2152,0.1385,1.1365,1.3288,1.3567,1.3127
2flb,-0.1855,0.0563,-0.7135,-0.1624,-0.042,0.1067
2fzc,-0.3107,0.0483,-3.7535,-0.7618,-0.8361,-0.3441
2g5u,0.1385,0.3116,2.0365,-0.6419,-1.0185,1.5203
2g8r,-1.4809,0.3443,-2.4635,-0.6984,-0.1343,-1.6154
2g94,1.5292,0.1868,3.0665,1.8212,1.5943,0.3032
2gss,-0.7686,0.0693,-1.5135,-1.0226,-0.8261,0.563
2hdq,-2.3051,0.0826,-5.0535,-1.602,-1.436,-0.1023
2i0d,3.2323,0.1293,5.6465,1.695,1.5969,0.9904
2j77,-1.0223,0.0617,-1.5635,-1.0918,-1.2037,-1.367
2j78,-1.2150,0.1018,-0.0335,-0.7641,-1.197,-1.1162
2qwb,-1.4200,0.1083,-3.7135,-0.4501,-0.7588,-1.7408
2qwd,-1.4141,0.1089,-1.6035,-0.4574,-0.7254,-1.724
2qwe,-0.3709,0.1974,1.0265,-0.0538,-0.5432,-2.2103
2rkm,0.8496,0.1479,-2.5535,-0.1517,-0.5096,-1.4751
2std,1.2175,0.2147,3.3965,-0.2077,-0.5807,1.3228
2usn,-0.1739,0.0700,0.0565,-0.3581,-0.0366,1.0412
3gss,0.3417,0.1670,-0.6335,0.5531,0.4548,-1.1979
3pce,-1.1388,0.0412,-4.4535,-1.1085,-1.2254,-0.2339
3pch,-1.1787,0.0976,-1.0535,-1.0456,-1.3356,-0.0107
3pcj,-1.3489,0.0666,0.7665,-1.0074,-1.257,-0.6146
3std,1.8425,0.1613,4.6565,0.6668,0.2485,1.4455
4er2,1.0846,0.2649,2.8465,1.2211,1.6844,-0.0959
4fiv,1.9364,0.3610,0.0665,2.4414,2.9702,0.9633
4tln,-1.5913,0.0502,-2.7335,-1.482,-1.2462,-0.3991
5abp,-1.3619,0.0987,0.1865,-0.9019,-1.2721,-1.1292
5er1,0.8325,0.1770,-0.4335,0.4089,1.0283,-0.1295
6fiv,0.5805,0.0780,1.6265,0.2216,0.4965,0.5294
6rnt,-0.9101,0.0793,-4.0835,-0.771,-0.3818,-0.4407
6std,0.8267,0.1220,2.1865,-0.0586,-0.5701,0.9623
8abp,-1.3553,0.0966,1.5465,-0.9083,-1.2721,-1.1292
1f8b,-1.0078,0.0809,-1.0535,-0.4251,-0.7984,-1.4928
1f8c,-1.4251,0.1104,0.9465,-0.462,-0.7254,-1.724
1f8d,-1.1479,0.0903,-3.0535,-0.3731,-0.7254,-1.724
1hnn,-0.5429,0.0560,-0.2135,-0.8217,-0.8064,-0.4592
1igj,-0.0875,0.1992,3.5465,-0.0707,1.0154,0.62
1lbk,-1.4944,0.1839,-3.2735,-0.654,-0.8019,-1.8597
1lor,-0.2668,0.1170,4.6065,0.257,-0.4763,-0.8
1n1m,-1.1881,0.0391,-0.7535,-1.0625,-1.0315,-0.1751
1o5b,-0.9122,0.0339,-0.6835,-1.0228,-0.9682,0.1622
1oyt,0.3283,0.1741,0.7865,0.6006,0.409,-0.3852
1ps3,-0.6698,0.1068,-4.1735,-0.5265,-1.0186,-1.4529
1q8u,0.0996,0.0510,-0.4935,-0.0782,-0.0562,0.1373
1qi0,-1.8727,0.1915,-4.1035,-0.9622,-0.6237,-1.7996
1r5y,-0.9117,0.0421,0.0065,-1.0255,-0.9467,-0.1098
1sln,0.2643,0.2041,0.1865,0.4659,0.7301,-0.9819
1uto,-2.1102,0.0441,-4.1835,-1.436,-1.1944,0.0084
1w3k,-0.5870,0.1210,-2.1535,-0.237,-0.6567,-1.8615
1w3l,-0.5035,0.2783,-0.1735,0.6733,0.0411,-2.5318
1w4o,-0.9595,0.0749,-1.2335,-0.7145,-0.4945,-0.7093
1xd0,-0.5621,0.5778,0.6665,2.043,1.7599,-3.7373
1yc1,0.3377,0.0897,-0.2835,0.519,-0.0686,0.4208
1z95,0.7414,0.1634,0.6665,0.7615,-0.0727,0.7505
1zea,-1.0171,0.6432,-1.2335,1.0454,3.1498,-3.1182
2cbj,-0.0197,0.0518,1.8165,-0.2476,-0.3886,-0.3936
2fvd,0.4533,0.0900,2.0665,0.5896,0.1453,0.2985
2g70,-0.2479,0.0464,1.3165,-0.7128,-0.8608,-0.2676
2hb1,-1.2713,0.0606,-2.6535,-1.0227,-1.2539,-0.444
2iwx,0.9308,0.0645,0.2265,0.0422,-0.2722,1.0741
2j62,-0.1732,0.1070,4.8865,0.6544,0.0844,0.0945
2jdm,-1.1108,0.0463,-1.0535,-1.2678,-1.1983,-0.6111
2jdu,-1.1186,0.0468,0.2665,-1.2774,-1.1983,-0.6111
2jdy,-1.1649,0.0537,-2.0835,-1.248,-1.1823,-0.9277
2obf,0.5551,0.0743,2.3965,0.2297,-0.1669,0.2087
2ole,0.9446,0.0531,0.7965,0.0406,0.2131,0.7003
2p4y,0.8841,0.2371,2.5465,1.468,0.9707,1.6761
2pcp,-0.0678,0.0492,2.2465,-0.3479,-0.4121,0.7613
2qbp,1.3629,0.0622,1.9465,0.6878,0.716,0.5029
2qbr,0.5661,0.0530,-0.1235,-0.0661,-0.0871,0.5663
2qmj,-1.2241,0.2636,-2.2435,0.8412,0.9594,-3.0916
2r23,-1.4272,0.4028,-2.7335,-0.0807,0.0842,-2.6618
2v00,-0.0670,0.0380,-2.7935,-0.7572,-0.7117,0.2137
2v7a,1.4551,0.0907,1.8465,0.6496,0.7936,0.2412
2vl4,-1.0451,0.0584,-0.4435,-1.0627,-1.2037,-1.3038
2vo5,0.4868,0.0614,-1.5635,-0.2316,-0.4411,-0.7779
2vot,0.4498,0.0745,0.6865,0.0716,-0.3771,-0.1991
2vvn,-0.2781,0.0828,0.8465,-0.4191,-0.9329,-0.5969
2vw5,0.9024,0.1468,2.0665,0.437,0.8692,1.3107
2w66,-0.9741,0.0905,-2.4035,-0.5043,-0.8901,-1.5196
2wbg,0.4148,0.0568,-2.0035,-0.0413,-0.3692,-0.1927
2wca,-0.2959,0.0642,-0.8535,-0.3913,-0.1893,-0.1532
2weg,-1.4854,0.0351,0.0465,-1.2527,-1.1937,0.009
2wtv,1.7063,0.0879,2.2865,0.6744,0.4153,1.26
2x00,1.1796,0.3703,4.8765,0.7981,1.231,1.868
2x0y,-0.2202,0.0621,-1.8535,-0.3793,-0.5691,-0.8186
2x8z,-1.2044,0.0458,1.5065,-0.9569,-1.0426,-0.3545
2xb8,-0.1402,0.1306,1.1365,0.2719,-0.5519,-0.7438
2xbv,1.3212,0.0853,1.9765,0.9874,0.6493,0.4789
2xdl,-0.4951,0.0789,-3.3535,-0.5032,-0.8434,0.4434
2xhm,2.4343,0.0731,0.3465,1.2173,0.8421,0.6073
2xnb,0.5055,0.0629,0.3765,0.4139,0.1711,0.2759
2xys,0.0448,0.0609,0.9665,0.2139,0.1873,0.0072
2y5h,0.8181,0.0739,-0.6635,0.3274,0.4661,0.4351
2yfe,0.1984,0.0542,0.1765,-0.2332,-0.1023,0.8055
2yge,0.8791,0.0931,-1.3935,0.729,0.9818,0.6053
2yki,1.2242,0.1500,3.0065,1.3028,0.9696,1.4041
2ymd,-0.2515,0.0441,-3.2935,-0.8843,-0.8496,0.066
2zjw,-0.2651,0.0768,1.2465,-0.1003,-0.456,0.2677
2zwz,-1.0193,0.1127,1.3365,-1.0414,-1.0531,-1.4785
2zx6,0.0101,0.0952,4.1465,-0.0726,-0.054,-0.6779
2zxd,-1.3787,0.0666,-1.2335,-1.0595,-1.0717,-0.8544
3acw,0.1374,0.0566,-1.6935,-0.0735,-0.2264,0.4332
3ag9,-0.6813,0.6208,1.5965,1.2528,3.4568,-2.7186
3ao4,-0.6554,0.0398,-4.3835,-0.676,-0.7955,0.294
3b3s,-1.2606,0.0470,-3.9035,-1.415,-1.3079,-0.6319
3b3w,-1.1216,0.0445,-2.2635,-1.3489,-1.3079,-0.6319
3b68,0.8895,0.3798,1.9465,1.1245,-0.0298,0.8925
3bfu,-1.1907,0.0600,-0.1835,-0.9449,-1.1736,-1.1429
3bkk,1.7899,0.2694,-0.3735,1.4041,0.7046,0.161
3bpc,-0.8405,0.3090,-1.6535,-0.3912,-0.0064,-1.6724
3cft,-0.1567,0.0463,-2.2635,-0.923,-0.7888,0.2718
3cj2,-0.9087,0.1305,-1.6035,-1.0085,-0.6427,0.8336
3coy,-0.1467,0.2103,-0.4335,0.9989,0.274,-1.0419
3cyx,1.3943,0.1400,1.5465,2.0913,2.1809,0.3794
3d4z,-0.9853,0.0498,-1.5635,-0.7276,-1.0165,-0.6958
3dd0,-0.0962,0.0443,2.5465,-0.8838,-0.7636,0.2769
3dxg,-0.9200,0.0725,-4.0535,-0.701,-0.4945,-0.7093
3e93,2.1533,0.0995,2.3965,1.4084,1.1678,1.1982
3ebp,-0.3968,0.0811,-0.5435,-0.2851,0.2233,0.4448
3ehy,-0.2361,0.0518,-0.6035,-0.5712,-0.8202,-0.4103
3ejr,-0.0348,0.0601,2.1165,0.294,-0.0118,-0.1154
3f17,-0.2870,0.0733,2.1765,-0.1167,-0.4712,0.4563
3f3a,-0.2708,0.0535,-2.2635,-0.6129,-0.7671,-0.423
3f3c,-0.9429,0.0781,-0.4335,-0.684,-1.0911,-0.5284
3f3e,-1.0290,0.0451,1.2465,-1.2816,-1.3079,-0.6319
3f80,-1.4893,0.0814,-2.2335,-0.8314,-1.1949,-0.8165
3fcq,-1.1440,0.0417,-3.6835,-0.979,-1.0623,-0.0493
3fv1,-0.1847,0.1625,2.8465,0.0911,-0.5826,-2.1899
3g0w,-0.0803,0.1875,3.0665,0.2476,-0.4744,0.758
3g2n,0.1060,0.1096,-2.3635,-0.0561,-0.6673,-0.6863
3g2z,-1.7045,0.0426,-4.0935,-1.2624,-1.07,-0.0602
3gbb,-0.5556,0.0842,0.4465,-0.3366,-0.7978,-1.3095
3gcs,1.8585,0.3313,0.7965,0.8741,0.1163,1.5731
3ge7,-0.1524,0.1436,2.2465,0.2272,0.4317,-0.528
3gnw,2.3546,0.3468,2.6465,1.4307,1.6114,1.9225
3gy4,-1.0637,0.0412,-1.3535,-1.2108,-1.2037,-0.527
3huc,0.4228,0.0752,-0.4635,-0.1542,0.1416,1.0612
3imc,-1.4379,0.0599,-3.4935,-1.0586,-1.0342,0.5338
3ivg,1.0733,0.0966,-2.1535,0.7186,0.3726,0.3638
3jvs,-0.8431,0.1484,0.0865,-0.434,0.2853,1.2534
3k5v,0.8498,0.0644,-0.1535,0.1281,-0.1967,1.0601
3kgp,-1.1017,0.0413,-3.8835,-1.1807,-1.1876,-0.5089
3kv2,-1.2118,0.0927,0.8665,-0.8575,-1.2322,-1.3598
3kwa,-1.4466,0.1608,-2.3735,-0.9461,-0.7574,-1.3206
3l3n,-0.0015,0.2351,1.7265,1.2831,0.9671,-0.7404
3l4u,0.0393,0.1202,1.0665,-0.2404,-0.5981,-1.6315
3l4w,-0.6153,0.0769,-0.4535,-0.7874,-1.0086,-1.5784
3l7b,-0.2783,0.0814,-4.0535,-0.2351,-0.7305,-0.8222
3lka,-1.2606,0.0384,-3.6335,-1.0213,-1.0976,-0.0312
3mfv,-1.0763,0.0532,-3.9335,-0.7766,-1.053,-0.9732
3mss,0.2292,0.1018,-1.7935,-0.8897,-0.3497,0.2221
3myg,0.2964,0.0883,4.2465,0.1197,0.4694,0.419
3n7a,-1.2921,0.0633,-2.7535,-0.9898,-1.2429,-1.0151
3n86,-0.7047,0.2395,-0.8135,0.5362,-0.4336,-0.4639
3nox,0.2235,0.0543,2.2065,-0.1812,0.0974,0.549
3nq3,-2.4945,0.0491,-2.6735,-1.3285,-1.0355,0.4416
3nw9,2.6105,0.1384,2.5465,1.4307,0.8478,0.4664
3oe5,-0.1137,0.1372,0.4265,0.7767,0.0488,0.1486
3ov1,-0.5375,0.1366,-1.2535,-0.043,0.3606,-0.5755
3owj,-0.3979,0.0780,-0.3835,-0.5312,-0.0765,0.937
3ozt,-0.6253,0.1242,-2.3235,0.7366,0.1316,-0.2066
3pe2,1.0234,0.0483,3.3065,0.0495,0.032,0.5615
3pww,1.9425,0.1638,0.8665,1.8734,2.1809,0.3794
3pxf,-1.6303,0.3098,-2.0235,-1.1766,-0.287,0.9378
3s8o,-0.3817,0.1364,0.3965,0.088,0.6643,-0.2149
3su2,0.5686,0.2828,0.8965,1.2127,2.0791,0.9821
3su3,1.3926,0.2839,2.6765,1.2833,2.4597,1.2135
3su5,1.3548,0.2664,-0.8735,1.1822,2.4597,1.2135
3u9q,-1.7889,0.0406,-2.0735,-1.1726,-1.0355,0.4416
3udh,-0.7702,0.0520,-3.6035,-1.005,-0.8648,-0.1849
3ueu,-1.5761,0.1100,-1.2135,-1.1876,-0.8549,0.682
3uex,-0.7707,0.1988,0.4665,-0.7477,-0.2815,1.4031
3uo4,1.0095,0.0673,0.0665,0.1629,0.2159,1.0939
3uri,0.5475,0.5251,2.5465,2.4234,3.2757,-1.5883
3utu,1.1573,0.2611,4.4665,1.2749,1.6478,-0.0303
3vh9,-1.7548,0.0443,-0.2135,-1.1442,-1.0879,0.4611
3zso,1.0332,0.2410,-1.3335,0.5444,1.4224,0.8142
3zsx,-0.2055,0.1507,-3.1735,-0.0368,0.6778,0.3192
4de1,-0.0789,0.0502,-0.4935,-0.2029,-0.2079,0.478
4de2,-0.1180,0.0549,-2.3335,-0.1454,-0.1059,0.0985
4des,0.0411,0.0545,-0.6035,-0.3419,-0.5203,0.7479
4dew,-0.0319,0.0395,0.5465,-0.4522,-0.4526,0.5665
4djr,2.7502,0.0721,5.0665,1.4386,1.2748,0.8831
4djv,0.7184,0.0538,0.2665,0.1585,0.2762,0.4125
4g8m,-1.0691,0.0650,1.4365,-0.9962,-1.1911,-1.3313
4gid,1.5353,0.2668,4.3165,2.4282,1.9497,0.4793
4gqq,-2.7739,0.0784,-3.5635,-1.4072,-0.9503,0.3791
1c5z,-1.1871,0.0382,-2.4435,-1.3742,-1.2488,-0.3983
1eby,1.8808,0.2108,3.2465,2.2029,1.6583,0.6113
1g2k,2.9391,0.1546,1.5065,1.7009,1.6816,0.8571
1gpn,-0.1521,0.0575,0.0265,-0.145,-0.2706,0.1917
1h22,2.2302,0.0749,2.6465,1.145,1.049,0.7154
1k1i,0.1647,0.1992,0.1265,0.1774,1.0072,-0.3448
